00:23:eb:0b:e9:af, 161, sMobileNet, -79, -79, -79, -78, -78, -78, -78, -79, -79, -79, -79, -81, -79, -79, -80, -80, -78, -79, -78, -79, -81, -82, -80, -80, -79, -78, -77, -79, -79, -79, -79, -78, -77, -81, -78, -79, -80, -78, -80, -80, -81, -79, -80, -81, -80, -79, -79, -79, -79, -79, -79, -80, -80, -79, -79, -79, -80, -78, -78, -79, -79, -80, -80, -80, -79, -80, -78, -81, -81, -80, -80, -80, -78, -79, -79, -79, -79, -79, -80, -79, -79, -80, -79, -79, -79, -79, -79, -79, -79, -79, -78, -79, -78, -80, -80, -81, -79, -81, -79, -79, -79, -79, -79, -79, -79, -80, -79, -79, -79, -79, -80, -80, -78, -79, -79, -80, -78, -79, -79, -80, -80, -80, -80, -80, -79, -79, -79, -79, -79, -80, -79, -79, -79, -80, -80, -79, -79, -79, -79, -79, -79, -79, -79, -78, -79, -79, -78, -81, -80, -79, -79, -78, -79, -78, -78, -79, -79, -80, -79, -80, -79, -79, -79, -79, -80, -79, -80, -81, -81, -80, -80, -78, -78, -81, -79, -80, -79, -79, -80, -79, -79, -79, -79, -79, -79, -79, -79, -79, -80, -79, -79, -79, -81, -79, -80, -79, -80, -78, -80, -80, -80, -78, -79, -79, -79, -80, -79, -80, -79, -79, -79, -79, -78, -80, -79, -79, -79, -79, -78, -79, -79, -79, -79, -78, -78, -79, -79, -79, -79, -79, -80, -78, -79, -79, -79, -80, -78, -80, -79, -79, -80, -80, -80, -81, -81, -80, -81, -80, -80, -79, -80, -77, -78, -79, -80, -80, -79, -79, -79, -79, -79, -79, -79, -79, -79, -78, -78, -80, -80, -80, -79, -77, -79, -79, -80, -79, -80, -79, -80, -78, -80, -78, -76, -79, -78, -79, -78, -77, -78, -79, -80, -78, -77, -78, -79, -78, -79, -80, -79, -80, 
00:23:eb:3a:13:60, 11, sMobileNet, -55, -60, -60, -60, -68, -68, -68, -68, -68, -68, -66, -66, -66, -66, -66, -66, -66, -69, -69, -69, -69, -69, -69, -69, -69, -73, -73, -73, -69, -69, -69, -69, -69, -69, -69, -67, -67, -67, -67, -67, -67, -67, -67, -67, -67, -56, -56, -59, -59, -59, -58, -58, -58, -58, -58, -58, -58, -68, -68, -59, -59, -59, -59, -59, -59, -59, -59, -60, -60, -60, -58, -58, -58, -58, -60, -60, -60, -69, -69, -59, -59, -59, -59, -59, -59, -59, -69, -69, -69, -68, -68, -60, -60, -60, -62, -62, -62, -62, -62, -62, -62, -68, -68, -68, -68, -68, -68, -68, -59, -59, -59, -59, -59, -69, -72, -72, -72, -72, -59, -59, -59, -59, -59, -71, -71, -71, -71, -71, -60, -60, -60, -59, -59, -59, -59, -59, -70, -70, -70, -60, -60, -60, -60, -60, -60, -60, -60, -69, -69, -69, -58, -58, -64, -64, -64, -74, -74, -67, -67, -67, -67, -67, -67, -67, -67, -58, -58, -58, -61, -61, -74, -74, -74, -74, -74, -74, -74, -69, -69, -69, -69, -69, -69, -69, -69, -69, 0, -70, -70, -70, -70, -70, -70, -70, -60, -60, -60, -60, -60, -72, 0, 0, -70, -70, 0, 0, 0, -59, -74, 0, -74, -71, 0, 0, -60, -60, -60, -60, -60, -60, -60, -67, -67, -59, -60, -60, -59, -59, -74, -74, -74, -70, -70, -73, -64, -64, -71, -71, -71, -71, -71, -60, -60, -72, -72, -70, -70, -70, -70, -70, -70, -70, -70, -70, -70, -59, -59, -59, -60, -60, -62, -58, -63, -63, -63, -63, -63, -58, -58, -57, -57, -57, -57, -57, -57, -57, -57, -63, -63, -64, -64, -64, -64, -64, -59, -59, -60, -60, -60, -60, -60, -60, -60, -60, -63, -63, -63, -63, -63, -63, 
00:23:eb:2c:a1:60, 11, sMobileNet, -79, -80, -80, -80, -80, -80, -80, -80, -80, -80, 0, 0, -86, -86, -86, -87, -87, -89, -89, -89, -89, -89, -84, -84, -85, -85, -85, -85, -85, -85, -85, -85, -85, -85, 0, -86, -86, -86, -86, -86, -86, -86, -86, -86, 0, 0, 0, -87, -87, -87, -88, -88, -88, -88, -88, -88, -88, -88, -88, 0, 0, 0, -88, -88, -88, -88, -88, -88, -88, -88, -88, 0, 0, 0, -86, -86, -86, -86, -86, -88, -88, -87, -87, -87, -87, -87, -86, -86, -86, -86, -86, -86, -86, -86, -86, -86, -86, -86, -86, -86, 0, -87, -87, -87, -87, -87, -87, -87, -86, -86, -86, -86, -86, -86, -86, -86, -86, 0, -86, -86, -86, -86, -86, -86, -86, -86, -86, -86, -86, -86, -86, -86, -86, -85, -85, -85, -85, -85, -85, -85, -85, -85, 0, 0, 0, 0, 0, 0, 0, -86, -86, -86, -86, -86, -86, -86, -86, -86, 0, 0, 0, 0, 0, 0, 0, -85, -85, -85, -85, -85, -85, -85, -85, -85, -85, -85, 0, 0, 0, 0, 0, 0, -86, -86, -86, -86, -86, -86, -86, -87, -87, -87, -87, -87, -87, -87, -87, -87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -86, -86, -86, -86, -85, -85, -85, -85, -85, -85, -84, -84, -84, -84, -86, -86, -86, -86, -86, -85, -85, -85, -88, -88, -87, -87, -86, -87, -87, -87, -87, -87, -87, -87, -86, -86, -86, -86, -86, -86, -86, -86, -86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
00:25:84:22:f8:51, 6, sMobileNet, -74, -80, -80, -80, -78, -80, -80, -81, -81, -82, -82, -83, -83, -80, -80, -80, -80, -79, -79, -82, -82, -80, -80, -79, -79, -79, -79, -79, -81, -81, -81, -79, -79, -79, -79, -82, -82, -79, -79, -80, -80, -80, -80, -81, -81, -80, -80, -80, -80, -80, -79, -80, -80, -80, -80, -80, -80, -74, -74, -80, -80, -80, -80, -80, -80, -79, -79, -79, -79, -79, -79, -80, -80, -79, -76, -76, -76, -77, -77, -76, -76, -76, -76, -80, -79, -79, -79, -80, -80, -80, -80, -80, -80, -80, -80, -80, -78, -78, -78, -79, -79, -80, -80, -80, -80, -80, -80, -80, -80, -78, -78, -76, -76, -81, -81, -76, -80, -80, -76, -77, -77, -76, -76, -76, -76, -76, -76, -76, -76, -77, -77, -76, -76, -76, -76, -79, -81, -81, -81, -76, -76, -81, -75, -82, -82, -82, -82, -81, -81, -80, -80, -81, -77, -81, -81, -81, -81, -79, -79, -81, -80, -80, -80, -81, -81, -78, -78, -79, -79, -80, -78, -78, -78, -83, -83, -79, -79, -78, -78, -78, -78, -81, -81, -79, -79, -79, -79, -79, -79, -78, -78, -81, -81, -81, -81, -80, -80, -80, -80, -78, -78, -79, -79, -79, -80, -79, -79, -79, -79, -78, -78, -78, -78, -78, -79, -78, -78, -78, -78, -80, -80, -80, -80, -82, -82, -81, -81, -78, -78, -81, -81, -78, -78, -79, -79, -78, -78, -77, -77, -77, -77, -77, -77, -78, -78, -78, -78, -77, -78, -78, -78, -78, -78, -84, -84, -85, -85, -85, -85, -85, -87, -85, -85, -85, -85, -85, -85, -87, -87, -86, -86, -86, -84, -84, -84, -84, -84, -84, -84, -84, -84, -84, -84, -84, -86, -86, -84, -84, -84, -84, -84, -84, -84, -84, -84, 0, 0, 0, 0, 0, 
00:23:eb:0b:e9:a0, 6, sMobileNet, -67, -67, -62, -62, -62, -69, -69, -69, -69, -69, -69, -69, -69, -61, -61, -61, -61, -61, -70, -70, -70, -70, -70, -68, -68, -68, -69, -69, -69, -69, -69, -69, -69, -61, -67, -67, -66, -66, -66, -66, -66, -66, -66, -62, -62, -60, -60, -60, -70, -70, -70, -70, -70, -71, -71, -72, -72, -72, -72, -72, -60, -60, -60, -60, -60, -70, -70, -62, -62, -62, -61, -61, -61, -61, -61, -60, -60, -60, -60, -60, -60, -60, -68, -68, -63, -63, -63, -67, -67, -69, -69, -69, -69, -69, -62, -62, -62, -63, -63, -63, -63, -63, -63, -63, -67, -67, -68, -68, -68, -61, -61, -61, -61, -68, -68, -68, -68, -68, -68, -63, -63, -68, -68, -68, -68, -68, -68, -68, -68, -68, -68, -68, -66, -66, -68, -68, -68, -62, -62, -62, -62, -62, -62, -62, -62, -62, -62, -67, -67, -67, -67, -67, -67, -68, -68, -71, -71, -71, -61, -61, -63, -63, -63, -62, -62, -62, -62, -62, -62, -62, -63, -63, -63, -68, -68, -69, -69, -69, -60, -60, -62, -62, -62, -62, -62, -62, -62, -64, -64, -64, -64, -64, -62, -62, -62, -62, -62, -69, -69, -62, -62, -62, -63, -63, -66, -66, -66, -70, -70, -62, -62, -62, -62, -62, -62, -62, -62, -62, 0, -71, -71, -71, -71, -71, -71, -71, -69, -69, -69, -62, -62, -68, -68, -68, -67, -67, -67, -67, -67, -67, -67, -67, -67, -61, -61, -61, -66, -66, -66, -66, -66, -65, -65, -65, -65, -65, -65, -65, -65, -65, -70, -69, -69, -69, -69, -67, -67, -67, -67, -67, -72, -72, -72, -72, -72, -72, -72, -72, -72, 0, 0, 0, 0, 0, -65, -65, -65, -69, -69, 0, 0, 0, -71, -71, -71, -71, -71, -71, 0, -66, 
00:25:84:23:16:10, 11, sMobileNet, -73, -72, -72, -72, -71, -71, -71, -70, -70, -70, -71, -71, -71, -71, -71, -71, -71, -69, -69, -69, -69, -69, -69, -69, -71, -70, -70, -70, -69, -69, -69, -69, -69, -69, -69, -69, -69, -69, -69, -69, -69, -69, -69, -69, 0, -70, -70, -70, -70, -70, -71, -71, -71, -71, -71, -71, -71, -69, -69, -69, -69, -69, -69, -69, -69, -69, -69, -70, -70, -70, -71, -71, -71, -71, -71, -71, -71, -71, -71, -69, -69, -69, -69, -69, -69, -69, -70, -70, -70, -70, -70, -68, -68, -68, -69, -69, -69, -69, -69, -69, -69, -68, -68, -68, -68, -68, -68, -68, -67, -67, -67, -67, -67, -67, -69, -69, -69, -69, -71, -71, -71, -71, -71, -69, -69, -70, -70, -70, -67, -67, -67, -69, -69, -69, -69, -69, -72, -72, -72, -71, -71, -71, -71, -71, -71, -71, -71, -70, -70, -70, -69, -69, -70, -70, -70, -70, -70, -67, -67, -67, -67, -67, -67, -67, -67, -69, -69, -69, -69, -69, -71, -71, -71, -71, -71, -71, -71, -67, -67, -67, -67, -67, -70, -70, -70, -70, -70, -70, -70, -69, -69, -69, -69, -69, -68, -68, -68, -68, -68, -70, -70, -68, -68, -68, -68, -68, -68, -68, -67, -67, -67, -69, -69, -69, -68, -68, -68, -68, -66, -66, -66, -66, -66, -71, -71, -71, -69, -69, -67, -67, -67, -67, -67, -67, -67, -67, -68, -68, -68, -68, -70, -71, -71, -67, -67, -68, -68, -68, -67, -67, -67, -67, -67, -67, -67, -69, -69, -69, -73, -73, -74, -70, -74, -74, -74, -74, -74, -73, -73, -70, -70, -70, -70, -70, -70, -70, -70, -72, -72, -70, -70, -70, -70, -70, -70, -70, -74, -74, -74, -74, -74, -74, -74, -74, -75, -75, -75, -75, -75, -75, 
00:25:84:22:f8:50, 6, Universitie, -80, -77, -77, -77, -77, -78, -78, -77, -77, -87, -87, -82, -82, -77, -77, -78, -78, -76, -76, -75, -75, -77, -77, -77, -77, -75, -75, -75, -75, -76, -76, -74, -74, -78, -78, -76, -76, -76, -76, -80, -80, -75, -75, -76, -79, -75, -75, -77, -77, -77, -77, -77, -77, -77, -77, -76, -77, -75, -76, -76, -76, -76, -76, -81, -81, -75, -76, -75, -75, -75, -75, -76, -76, -80, -80, -80, -80, -75, -75, 0, 0, 0, 0, -80, -80, -80, -80, -76, -75, -75, -75, -75, -75, -80, -80, -80, -80, -80, -80, -79, -79, -80, -80, -80, -80, -80, -80, -90, -90, -82, -79, -88, -81, -81, -81, -81, -81, -77, -77, -80, -80, -80, -76, -76, -76, -79, -79, -79, -79, -82, -76, -80, -80, -80, -80, -78, -78, -75, -81, -75, -75, -77, -77, -76, -76, -76, -76, -77, -81, -77, -77, -80, -80, -77, -79, -79, -79, -78, -78, -80, -80, -78, -78, -77, -80, -78, -78, -87, -87, -78, -78, -80, -80, -78, -77, -78, -78, -77, -77, -77, -77, -79, -79, -78, -78, -81, -81, -79, -82, -78, -78, -78, -78, -79, -79, -78, -78, -78, -78, -78, -78, -79, -79, -79, -79, -81, -81, -81, -81, -80, -80, -78, -78, -78, -78, -79, -79, -79, -79, -79, -81, -81, -81, -83, -83, -79, -79, -78, -78, -79, -79, -80, -80, -79, -79, -84, -84, -77, -77, -78, -78, -78, -80, -80, -80, -82, -82, -77, -77, -77, -77, -77, -83, -83, -83, -83, -83, -83, -83, -85, -85, -85, -85, -85, -85, -85, -85, -85, -86, -86, -86, -85, -85, -85, -85, -85, -85, -85, -87, -87, -87, -87, -87, -84, -84, -84, -84, -84, -84, -84, -84, -84, 0, 0, 0, 0, 0, -88, -88, -88, 
84:00:d2:72:d8:9d, 11, Xperi, -87, -87, -86, -86, -86, -86, -85, -88, -85, -86, -87, -84, -86, -87, -86, -88, -87, -87, -86, -85, -87, -85, -85, -88, -86, -86, -84, -90, -87, -89, -86, -86, -86, -86, -85, -86, -86, -87, -87, -87, -86, -86, -85, -88, -86, -86, -87, -86, -87, -87, -86, -86, -87, -88, -89, -87, -87, -85, -89, -88, -87, -87, -86, -86, -87, -87, -85, -86, -87, -85, -85, -86, -87, -87, -85, -85, -82, -86, -87, -84, -83, -83, -85, -88, -85, -87, -88, -82, -85, -88, -84, -90, -83, -83, -87, -85, -89, -85, -84, -84, -84, -84, -84, -82, -84, -88, -85, -87, -84, -88, -83, -82, -88, -87, -88, -82, -88, -86, -84, -87, -83, -84, -85, -85, -85, -85, -88, -85, -86, -85, -85, -86, -86, -85, -85, -84, -84, -86, -87, -85, -88, -85, -86, -88, -86, -86, -89, 0, -84, -88, -85, -89, -85, -86, -87, -88, -84, -88, -84, -89, -87, -86, -84, -86, -86, -89, -88, -85, -84, -83, -84, -85, -85, -86, -85, -88, -86, -85, -89, -85, -84, -84, -88, -83, -85, -85, -87, -87, -87, -81, -83, -84, -85, -84, -89, -81, -87, -86, -87, -87, -88, -89, -84, -84, -82, -86, -86, -83, -82, -82, -85, -84, -86, -86, -84, -84, -82, -86, -85, -87, -88, -84, -86, -84, -85, -84, -84, -88, -88, -86, -87, -85, -87, -87, -86, -86, -84, -89, -85, -85, -85, -85, -84, -85, -88, -89, -88, -84, -86, -85, -86, -83, -85, -90, -86, -90, -86, -88, -87, -87, -86, -86, -86, -86, -85, -84, -85, -85, -84, -87, -88, -86, -88, -85, -85, -87, -86, -89, -86, -89, -90, -88, -87, -89, -86, -87, -87, -86, -87, -87, -84, -86, -90, -86, -86, -89, -87, -87, -86, -87, 
00:23:eb:3a:01:f0, 11, sMobileNet, -83, -83, -83, -83, 0, 0, 0, 0, 0, 0, 0, 0, -84, -84, -84, -84, -84, -84, -84, -85, -85, -85, -85, -85, -85, -85, -84, -84, -84, -86, -86, -86, -87, -87, -82, -82, -82, -82, -82, -82, -82, -87, -87, -87, -87, -87, -87, -87, -85, -86, -86, -86, -86, -84, -84, -84, -85, -85, -84, -84, -84, -84, -84, -85, -86, -86, -86, -86, -86, -86, -86, -86, -86, -85, -85, -85, -85, -85, -84, -84, -84, -84, -84, -84, -84, -85, -85, -85, -85, -85, -84, -84, -84, -84, -84, -84, -84, -84, -84, -84, -84, -84, -84, -84, -84, -84, -84, -85, -85, -85, -85, -85, -86, -86, -86, -86, -86, -86, -86, -85, -84, -84, -84, -84, -84, -84, -84, -85, -85, -85, -85, -85, -85, -85, -85, -85, -85, -85, -85, -85, -85, -85, -85, -85, -85, -86, -85, -85, -85, -85, -85, -84, -84, -84, -84, -84, -84, -84, 0, 0, 0, -84, -84, -84, -84, -84, -84, -84, -84, -84, -84, -85, -85, -85, -85, -85, -87, -87, -85, -86, -86, -86, -86, -85, -85, -85, -85, -85, -85, -85, -84, -84, -84, -84, -84, -83, -83, -83, -83, -83, -83, -83, -86, -86, -86, -86, -86, -86, -86, -86, -85, -85, -85, -85, -85, -85, -85, -85, -85, -85, -85, -85, -85, -85, -85, -85, 0, -85, -85, -85, -85, -85, -85, -85, -85, -85, 0, -86, -86, -86, -86, -86, -86, -86, -86, -86, 0, 0, 0, -85, -85, -85, -85, -85, -86, -86, -86, -86, -86, -86, -86, -86, -86, -86, -86, -86, -86, -86, -87, -87, -87, -87, -87, -85, -85, -85, -85, -85, -85, -85, -85, -85, -85, -85, -85, -86, -86, -86, -85, -85, -85, -85, -85, -85, -85, -80, -80, -84, -82, -82, 
00:25:84:23:16:1f, 64, sMobileNet, -83, -84, -86, -85, -85, -85, -84, -85, -86, -83, -83, -83, -85, -82, -81, -81, -84, -84, -85, -86, -85, -84, -84, -83, -84, -85, -84, -83, -83, -83, -84, -84, -82, -82, -85, -83, -83, -84, -84, -84, -86, -86, -86, -86, -86, -85, -85, -85, -85, -85, -85, -85, -85, -85, -86, -84, -86, -86, -85, -85, -86, -86, -86, -86, -84, -84, -85, -85, -85, -85, -84, -84, -84, -82, -84, -84, -84, -85, -85, -84, -86, -85, -85, -85, -85, -85, -85, -85, -85, -84, -84, -84, -84, -85, -85, -85, -82, -84, -84, -84, -84, -84, -84, -84, -85, -84, -85, -84, -83, -84, -85, -85, -84, -84, -84, -84, -84, -84, -84, -85, -85, -85, -84, -85, -84, -84, -84, -84, -85, -85, -85, -84, -84, -83, -84, -84, -84, -85, -85, -84, -84, -86, -84, -85, -85, -85, -83, -83, -84, -84, -85, -83, -85, -85, -85, -85, -85, -86, -85, -85, -86, -83, -83, -85, -85, -84, -85, -86, -85, -84, -84, -83, -83, -84, -85, -85, -84, -84, -86, -84, -85, -85, -85, -84, -84, -85, -85, -83, -85, -84, -84, -83, -83, -85, -84, -84, -83, -84, -83, -84, -83, -85, -84, -85, -85, -84, -83, -83, -84, -82, -83, -84, -84, -84, -84, -85, -85, -84, -84, -84, -84, -84, -84, -84, -83, -81, -85, -84, -85, -84, -84, -83, -85, -84, -84, -84, -84, -85, -85, -85, -85, -85, -84, -84, -85, -84, -85, -85, -84, -85, -84, -85, -85, -85, -85, -86, -85, -86, -84, -84, -84, -84, -84, -85, -85, -86, -85, -83, -86, -86, -86, -85, -86, -85, -85, -84, -84, -84, -84, -84, -85, -83, -83, -83, -83, -83, -86, -85, -84, -84, -85, -85, -85, -85, -84, -85, -85, -85, -85, -84, 
