5615	5_22.3352906815_114.263985859
5612_1	5_22.335255328_114.263980332
5612_2	5_22.3352289736_114.263980332
5612_3	5_22.3352013335_114.26397895
5616	5_22.3352823252_114.263947861
lift31	5_22.3352026191_114.263947861
lift32	5_22.335200048_114.263925753
5617	5_22.335282968_114.263913317
5618	5_22.3352836108_114.2638843
R5	5_22.3353742444_114.263857355
R2	5_22.3353073941_114.263855973
R8	5_22.3353440332_114.263851828
5619_3	5_22.3352842536_114.263844919
R9	5_22.3353742444_114.263815211
R3	5_22.3353427476_114.263814521
5619_2	5_22.3352836108_114.263811066
R6	5_22.3353099653_114.263810375
R7	5_22.3353433904_114.263775831
R4	5_22.3353736016_114.26377514
R1	5_22.3353093225_114.263774449
5619_1	5_22.3352842536_114.263770304
5620_3	5_22.3352842536_114.263737142
case1	5_22.3352482573_114.263692234
case2	5_22.3351942628_114.263692234
5620_2	5_22.335282968_114.26368878
5620_1	5_22.3352823252_114.2636418
