O2	G_N22.3375037596_E114.264240796
O1	G_N22.3375545144_E114.264236584
O3	G_N22.337451125_E114.264236584
O5	G_N22.3375056394_E114.264194472
O4	G_N22.3375563942_E114.264190261
O6	G_N22.3374530048_E114.264190261
A1	G_N22.3376109087_E114.264133409
C1	G_N22.3373909712_E114.264133409
A2	G_N22.337646625_E114.264097613
A4	G_N22.3375789519_E114.264097613
C2	G_N22.3374191683_E114.264097613
C4	G_N22.3373608942_E114.264097613
A3	G_N22.3376146683_E114.264059712
C3	G_N22.3373947308_E114.264059712
S3	G_N22.3375281971_E114.264019705
S4	G_N22.3374774423_E114.264019705
B1	G_N22.3376165481_E114.264007072
D1	G_N22.3373909712_E114.264007072
B2	G_N22.3376522644_E114.263977593
B4	G_N22.3375864712_E114.263973382
D2	G_N22.3374191683_E114.263973382
D4	G_N22.3373665337_E114.263973382
B3	G_N22.3376184279_E114.263946009
D3	G_N22.337392851_E114.263946009
G5	G_N22.3376748221_E114.263884945
G1	G_N22.3376127885_E114.263884945
E1	G_N22.337392851_E114.263884945
F1	G_N22.337295101_E114.263878629
F5	G_N22.3372255481_E114.263878629
F6	G_N22.3371653942_E114.263878629
G2	G_N22.3376428654_E114.263861784
G4	G_N22.3375864712_E114.263855467
E2	G_N22.3374266875_E114.263855467
E4	G_N22.3373684135_E114.263855467
F2	G_N22.3373289375_E114.263851256
F4	G_N22.3372725433_E114.263851256
G6	G_N22.3376748221_E114.263832305
S1	G_N22.3375281971_E114.263832305
S2	G_N22.3374736827_E114.263832305
G3	G_N22.3376146683_E114.263817566
E3	G_N22.337392851_E114.263817566
F3	G_N22.3372988606_E114.263817566
K1	G_N22.337607149_E114.263773348
I1	G_N22.3373890913_E114.263773348
J1	G_N22.3372894615_E114.263773348
K5	G_N22.3376748221_E114.263767031
H1	G_N22.3374962404_E114.263767031
I4	G_N22.337362774_E114.26374808
K2	G_N22.337637226_E114.263741763
K4	G_N22.3375845913_E114.263741763
H2	G_N22.3375281971_E114.263741763
H4	G_N22.3374755625_E114.263741763
I2	G_N22.3374172885_E114.263741763
J2	G_N22.3373157788_E114.263741763
J4	G_N22.3372612644_E114.263741763
K6	G_N22.3376767019_E114.26371439
K3	G_N22.3376109087_E114.26371439
H3	G_N22.3374962404_E114.26371439
I3	G_N22.337392851_E114.26371439
J3	G_N22.3372932212_E114.26371439
M1	G_N22.3374981202_E114.263615426
N1	G_N22.3373890913_E114.263615426
L1	G_N22.3375939904_E114.263607003
M2	G_N22.3374981202_E114.263558574
N2	G_N22.3373947308_E114.263554363
L2	G_N22.3375939904_E114.26354594
