LIFT29	1_N22.3358090595_E114.264089564
LIFT30	1_N22.3357911877_E114.264055879
RM1520_2	1_N22.3358141658_E114.264025632
LTF_3	1_N22.3366669057_E114.264016008
LTF_2	1_N22.3366030778_E114.264016008
LTF_1	1_N22.336555207_E114.264016008
RM1505	1_N22.3364798901_E114.264016008
RM1504	1_N22.3364096795_E114.264016008
LTH_1	1_N22.3360541584_E114.264016008
LTH_2	1_N22.336005011_E114.264016008
LTH_3	1_N22.3359539487_E114.264016008
LTH_4	1_N22.3359079927_E114.264016008
RM1520_1	1_N22.3358518242_E114.264016008
LIFT25	1_N22.3365379734_E114.2639672
LIFT27	1_N22.335915652_E114.2639672
RM1511_1	1_N22.3360637326_E114.2639617
LIFT17	1_N22.3371615714_E114.26393489
LIFT28	1_N22.3359143755_E114.263925266
LIFT26	1_N22.33653925_E114.26391083
LIFT18	1_N22.3371609332_E114.263893644
RM1511_2	1_N22.3360656474_E114.26388677
open1_12A	1_N22.3371654011_E114.263829712
open1_11A	1_N22.3371041264_E114.263829712
CAFE	1_N22.3365405266_E114.263829712
RM1511_3	1_N22.3360656474_E114.263807714
open2_10A	1_N22.3365354203_E114.263779529
open1_11B	1_N22.3371022115_E114.263775405
open1_10A	1_N22.3370607234_E114.263758219
open1_9A	1_N22.3370064698_E114.263758219
open1_4A	1_N22.3367428608_E114.263758219
open1_5A	1_N22.3367971145_E114.263752032
open1_1A	1_N22.3365954185_E114.263752032
open1_8A	1_N22.336954131_E114.263740345
open1_7A	1_N22.3368979625_E114.263740345
open1_6A	1_N22.3368500916_E114.263740345
open1_2A	1_N22.3366490339_E114.263740345
RM1511_4	1_N22.3360656474_E114.263740345
open1_3A	1_N22.3366994579_E114.263730721
open2_10B	1_N22.3365386117_E114.26371491
open2_9A	1_N22.3364894643_E114.263711473
open2_8A	1_N22.3364345723_E114.263711473
stair	1_N22.3371041264_E114.263706661
open1_10B	1_N22.3370588086_E114.263687413
open1_9B	1_N22.3370045549_E114.263687413
open2_1A	1_N22.336101391_E114.263687413
open1_8B	1_N22.3369509396_E114.263680538
open2_7A	1_N22.3363790421_E114.263680538
open2_6A	1_N22.3363247885_E114.263680538
open2_5A	1_N22.3362852152_E114.263680538
open2_4A	1_N22.3362392592_E114.263680538
open1_7B	1_N22.3368941328_E114.263676414
open1_5B	1_N22.3367977527_E114.263676414
open1_4B	1_N22.3367454139_E114.263676414
RM1511_5	1_N22.3360650092_E114.263676414
open1_1B	1_N22.3365935037_E114.263670227
open1_2B	1_N22.3366452042_E114.263665415
open1_3B	1_N22.336697543_E114.263661978
open2_9B	1_N22.3364881877_E114.263654416
open2_8B	1_N22.3364332958_E114.263644792
open2_1B	1_N22.3361001145_E114.263641354
open2_7B	1_N22.3363739359_E114.263631043
open2_5B	1_N22.336280109_E114.263628981
open2_4B	1_N22.3362398974_E114.263628981
open2_6B	1_N22.3363235119_E114.263623481
open2_3B	1_N22.3361977711_E114.263623481
open2_2B	1_N22.3361505385_E114.263623481
RM1125	1_N22.3360267125_E114.263615919
RM1125A	1_N22.3359877775_E114.263613857
RM1104_1	1_N22.3369343443_E114.263608357
LTE_1	1_N22.3360988379_E114.263596671
LTA-B_1	1_N22.3367122234_E114.263572611
LTC-D_1	1_N22.3363918077_E114.263572611
LIFT2_2	1_N22.3372860357_E114.263552675
LIFT3_2	1_N22.3376587903_E114.263547863
LTE_2	1_N22.3360975614_E114.263543738
RM1104_2	1_N22.3369356209_E114.263525177
LTA-B_2	1_N22.3367115852_E114.263518303
LIFT3_1	1_N22.3376473013_E114.263512804
LTC-D_2	1_N22.336392446_E114.263499055
LIFT2_1	1_N22.3373032692_E114.26349768
RM1022-1031	1_N22.3372675256_E114.26349768
LTE_3	1_N22.3360956465_E114.263485306
RM1021	1_N22.3376945339_E114.263463996
RM1104_3	1_N22.3369356209_E114.263458496
LTA-B_3	1_N22.3367128617_E114.263450247
LTC-D_3	1_N22.3363918077_E114.263439935
RM1020	1_N22.3377117674_E114.263421374
LTE_4	1_N22.3360981996_E114.263413125
LTB_3	1_N22.3366688205_E114.263409
LTC_3	1_N22.3365181868_E114.263409
LTD_3	1_N22.3363573407_E114.263409
LTD_2	1_N22.3363069167_E114.263409
LTE_5	1_N22.3361760696_E114.263409
LTB_1	1_N22.3365692491_E114.263406251
LTC_2	1_N22.3364581886_E114.263406251
LTB_2	1_N22.3366164817_E114.263404188
LTC_1	1_N22.3364071264_E114.263404188
LTD_1	1_N22.3362507482_E114.263404188
RM1019	1_N22.3377385751_E114.263401439
LTA_5	1_N22.3369694496_E114.263398689
LTA_4	1_N22.336938174_E114.263398689
LTA_3	1_N22.3368845586_E114.263398689
LTA_2	1_N22.3368092418_E114.263398689
LTA_1	1_N22.3367466905_E114.263398689
RM1001-1018	1_N22.3377685742_E114.263377378
RM1209_2	1_N22.3363637234_E114.263358818
RM1209_1	1_N22.3363630852_E114.263303135
RM1210_2	1_N22.3363630852_E114.263225455
RM1210_1	1_N22.3363630852_E114.26316771
RM1211_2	1_N22.3363643617_E114.26311409
LIFT21	1_N22.3363381923_E114.263085217
RM1211_1	1_N22.3363630852_E114.263022661
RM1213_3	1_N22.3363643617_E114.262960791
RM1213_2	1_N22.3363630852_E114.262910608
RM1213_1	1_N22.3363630852_E114.262869362
