90:f6:52:77:63:52, 4, CLE_LC3018, -52, -47, -51, -32, -31, -47, -33, -33, -34, -34, -49, -32, -33, -35, -57, -33, -35, -29, -31, -25, -30, -36, -33, -33, -31, -35, -35, -29, -31, -40, -32, -30, -32, -43, -32, -41, -31, -30, -29, -31, -39, -32, -32, -33, -33, -36, -31, -44, -32, -38, -32, -32, -29, -30, -29, -35, -29, -33, -26, -33, -32, -49, -38, -33, -27, -34, -30, -40, -29, -36, -34, -55, -38, -30, -33, -32, -34, -32, -32, -56, -33, -31, -51, -29, -32, -37, -56, -36, -27, -26, -30, -30, -30, -32, -31, -37, -33, -34, -41, -35, -34, -30, -29, -28, -57, -41, -31, -34, -33, -30, -40, -35, -29, -29, -33, -33, -35, -58, -33, -33, -36, -33, -54, -47, -36, -30, -34, -33, -36, -60, -31, -33, -31, -41, -40, -37, -33, -39, -43, -38, -36, -35, -33, -36, -38, -35, -34, -36, -37, -34, -36, -35, -38, -37, -29, -35, -33, -39, -33, -38, -37, -31, -34, -39, -36, -37, -41, -38, -35, -37, -34, -45, -37, -38, -41, -40, -34, -38, -34, -34, -34, -34, -33, -35, -32, -30, -31, -33, -42, -30, -37, -30, -32, -36, -31, -36, -30, -36, -35, -31, -37, -34, -49, -33, -32, -29, -42, -33, -35, -34, -36, -37, -28, -53, -33, -50, -30, -36, -51, -29, -39, -53, -32, -31, -32, -34, -57, -35, -29, -58, -39, -29, -34, -30, -32, -39, -34, -30, -39, -39, -32, -34, -33, -36, -36, -30, -39, -38, -28, -57, -37, -40, -32, -41, -28, -35, -28, -38, -33, -28, -29, -29, -33, -36, -36, -33, -34, -31, -33, -34, -44, -36, -33, -35, -32, -33, -33, -34, -57, -33, -30, -33, -34, -38, -35, -33, -37, -37, -63, -43, -36, -40, -35, -32, -36, -32, -58, -40, -33, -33, 
00:19:be:00:05:b0, 6, MtrecA8, -66, -64, -71, -65, -69, -65, -69, -52, -67, -68, -65, -65, -70, -83, -55, -72, -67, -71, -71, -66, -75, -78, -63, -69, -65, -72, -68, -65, -55, -77, -52, -56, -66, -49, -64, -71, -65, -68, -67, -71, -68, -67, -63, -66, -66, -63, -67, -69, -67, -52, -68, -73, -69, -68, -71, -65, -66, -66, -51, -55, -62, -56, -67, -68, -70, -68, -48, -77, -75, -67, -69, -66, -70, -53, -53, -69, -76, -69, -67, -67, -67, -69, -56, -68, -69, -59, -56, -67, -69, -72, -73, -67, -65, -75, -72, -68, -50, -65, -70, -54, -73, -69, -67, -69, -53, -71, -64, -71, -72, -73, -68, -73, -49, -60, -50, -51, -68, -66, -81, -68, -70, -69, -54, -67, -48, -63, -68, -67, -69, -53, -67, -51, -67, -69, -77, -55, -55, -71, -47, -65, -50, -64, -67, -63, -65, -53, -53, -63, -63, -66, -47, -67, -51, -65, -63, -67, -66, -66, -67, -65, -69, -66, -68, -70, -72, -69, -67, -72, -56, -73, -64, -59, -50, -66, -67, -49, -67, -70, -71, -51, -68, -80, -56, -70, -69, -68, -56, -57, -57, -73, -67, -68, -65, -70, -68, -68, -70, -64, -76, -64, -65, -71, -66, -68, -70, -71, -66, -71, -55, -70, -69, -71, -70, -71, -73, -62, -69, -72, -53, -53, -69, -68, -65, -70, -60, -62, -70, -69, -67, -71, -67, -68, -70, -71, -59, -67, -69, -66, -71, -68, -67, -72, -65, -71, -66, -68, -67, -67, -69, -54, -69, -64, -68, -67, -71, -69, -66, -69, -73, -49, -68, -51, -68, -70, -67, -70, -68, -70, -53, -50, -71, -56, -69, -76, -70, -59, -69, -71, -70, -70, -59, -74, -71, -70, -68, -68, -54, -73, -59, -71, -68, -71, -71, -74, -75, -67, -73, -56, -66, -71, 
7c:e9:d3:7f:0c:9f, 6, HP-Print-9F-LaserJe, -78, -79, -79, -79, -62, -80, -78, -77, -76, -83, -76, -76, -76, -85, -77, -77, -77, -77, -74, -78, -78, -85, -78, -82, 0, -76, -81, -81, -63, -78, -87, -63, -64, -65, -66, -66, -67, -67, -71, -79, -80, -80, -78, -78, -75, -79, -82, -90, -81, -81, -81, -79, -79, -75, -75, -76, -76, -77, -77, -78, -88, -88, -68, -78, -78, -78, -68, -83, -79, -79, -81, -81, -79, -81, -84, -84, -78, -78, -83, -83, -83, -62, -82, -84, -63, -63, -62, -78, -78, -80, -75, -75, -75, -75, -75, -75, -66, -79, -79, -66, -77, -81, -81, -81, -81, -81, -81, -62, -81, -81, -81, -77, -69, -66, -76, -76, -77, -77, -78, -78, -78, -76, -82, -80, -79, -75, -78, -81, -77, -77, -78, -78, -65, -67, -65, -60, -64, -77, -63, -75, -82, -80, -78, -80, -80, -76, -82, -81, -81, -81, -62, -80, -62, -80, -85, -85, -78, -78, -81, -81, -81, -80, -79, -76, -74, -79, -78, -73, -73, -79, -79, -74, -66, -81, -80, -81, -77, -83, -81, -69, -78, -78, -67, -67, -64, -64, -63, -80, -61, -81, -82, -82, -78, -78, -79, -84, -79, -77, -77, -79, -77, -82, -65, -62, -62, -78, -81, -76, -79, -76, -76, -78, -79, -81, -84, -81, -83, -82, -82, -89, -78, -84, -77, -77, -78, -77, -73, -75, -77, -79, -81, -76, -82, -82, -78, -78, -82, -77, -77, -77, -77, -78, -76, -76, -76, -80, -80, -80, -79, -79, -84, -81, -81, 0, -77, -77, -78, -74, -78, -80, -78, -78, -81, -75, -79, -79, -76, -89, -68, -80, -82, -87, -69, -60, -84, -67, -65, -64, -60, -70, -63, -63, -84, -84, -80, -80, -78, -78, -78, -78, -78, -77, -82, -81, -83, -76, -76, -66, -78, -79, 
00:1d:70:92:dc:b1, 11, PCCW, -52, -53, -70, -71, -68, -68, -60, -70, -59, -56, -56, -65, -57, -57, -57, -55, -54, -69, -51, -73, -60, -60, -70, -68, -73, -57, -59, -68, -67, -53, -53, -56, -64, -64, -54, -66, -66, -70, -70, -54, -52, -66, -60, -58, -61, -66, -58, -56, -56, -68, -56, -55, -68, -67, -56, -53, -69, -55, -54, -55, -55, -52, -51, -53, -54, -68, -68, -66, -66, -68, -53, -68, -68, -54, -71, -54, -69, -52, -53, -68, -68, -66, -54, -54, -69, -67, -67, -54, -54, -54, -70, -57, -57, -69, -58, -61, -71, -71, -58, -71, -59, -59, -73, -55, -69, -67, -66, -65, -67, -68, -71, -72, -75, -70, -69, -58, -56, -58, -73, -56, -58, -55, -69, -60, -57, -57, -68, -72, -55, -70, -57, -73, -69, -53, -53, -53, -67, -69, -69, -71, -72, -72, -58, -62, -58, -70, -68, -54, -54, -57, -56, -69, -54, -54, -54, -70, -58, -58, -57, -58, -58, -58, -54, -54, -52, -55, -55, -68, -51, -52, -66, -65, -52, -72, -55, -55, -56, -79, -57, -55, -61, -55, -55, -52, -58, -58, -69, -55, -57, -69, -53, -51, -53, -55, -56, -54, -57, -72, -53, -73, -54, -54, -58, -58, -70, -70, -55, -82, -82, -68, -58, -74, -75, -60, -60, -58, -58, -74, -71, -71, -64, -62, -62, -74, -61, -61, -73, -64, -58, -55, -59, -69, -61, -62, -73, -72, -72, -53, -52, -71, -58, -56, -75, -54, -54, -69, -73, -56, -54, -57, -59, -56, -75, -71, -63, -58, -60, -57, -58, -55, -61, -56, -56, -57, -59, -56, -56, -56, -55, -58, -58, -56, -70, -56, -55, -54, -54, -56, -69, -59, -53, -54, -56, -53, -54, -57, -56, -54, -70, -55, -59, -59, -71, -55, -55, -55, -55, -57, -59, -59, 
a0:f3:c1:98:9b:44, 11, ustrobotics, -49, -36, -52, -50, -36, -54, -49, -52, -55, -43, -52, -48, -30, -50, -52, -31, -50, -52, -51, -46, -34, -46, -44, -47, -52, -50, -34, -47, -51, -52, -53, -35, -51, -50, -50, -50, -47, -47, -51, -49, -52, -51, -49, -53, -44, -48, -36, -33, -40, -35, -45, -51, -48, -34, -50, -48, -36, -52, -45, -37, -37, -43, -50, -49, -51, -45, -51, -45, -51, -46, -51, -45, -50, -49, -48, -36, -48, -48, -50, -46, -51, -46, -33, -52, -38, -49, -53, -48, -46, -54, -43, -49, -50, -48, -50, -59, -47, -48, -48, -51, -48, -46, -46, -52, -52, -52, -52, -52, -52, -52, -52, 0, -49, -50, -47, -29, -35, -37, -49, -33, -32, -31, -35, -28, -50, -30, -36, -52, -29, -47, -29, -48, -46, -26, -30, -47, -46, -52, -41, -43, -42, -30, -34, -32, -42, -43, -49, -27, -34, -35, -38, -45, -50, -30, -50, -45, -40, -47, -35, -38, -36, -34, -32, -34, -39, -31, -38, -36, -35, -34, -52, -50, -34, -44, -31, -40, -34, -33, -35, -30, -32, -33, -35, -37, -33, -29, -44, -37, -37, -40, -31, -36, -38, -36, -29, -39, -32, -34, -35, -30, -45, -40, -31, -36, -48, -38, -44, -49, -37, -43, -32, -53, -56, -36, -27, -33, -36, -47, -45, -47, -31, -34, -40, -55, -34, -32, -48, -35, -37, -31, -32, -37, -26, -27, -44, -26, -32, -38, -35, -52, -37, -34, -42, -26, -28, -46, -32, -39, -28, -34, -36, -35, -45, -48, -31, -30, -55, -33, -40, -34, -30, -34, -55, -49, -57, -55, -30, -51, -35, -50, -38, -33, -56, -38, -48, -33, -29, -34, -47, -39, -53, -52, -34, -36, -29, -51, -36, -52, -47, -57, -28, -54, -48, -47, -30, -36, -53, -52, -30, -34, 
00:25:84:22:f2:df, 36, sMobileNet, -58, -58, -61, -57, -58, -59, -60, -59, -61, -62, -59, -60, -57, -58, -58, -59, -58, -59, -59, -61, -59, -61, -56, -55, -56, -57, -59, -60, -59, -57, -56, -56, -58, -58, -59, -57, -57, -59, -58, -59, -57, -56, -58, -56, -56, -57, -61, -58, -59, -59, -56, -58, -58, -60, -57, -56, -62, -58, -60, -59, -57, -60, -58, -57, -62, -59, -62, -56, -58, -59, -59, -56, -57, -60, -56, -60, -57, -57, -59, -60, -59, -58, -58, -58, -56, -57, -59, -58, -58, -57, -58, -59, -57, -58, -58, -59, -57, -57, -57, -59, -60, -60, -61, -59, -58, -57, -58, -57, -57, -58, -58, -59, -59, -56, -55, -57, -59, -58, -59, -58, -56, -61, -56, -57, -56, -57, -57, -58, -58, -58, -58, -58, -57, -59, -58, -59, -56, -58, -58, -59, -58, -58, -59, -59, -58, -58, -58, -57, -57, -56, -60, -57, -57, -58, -56, -59, -58, -60, -58, -60, -58, -56, -57, -59, -60, -59, -57, -60, -58, -59, -57, -56, -58, -55, -58, -58, -56, -57, -54, -60, -60, -57, -47, -58, -58, -58, -59, -59, -59, -57, -59, -56, -59, -57, -59, -57, -61, -58, -58, -58, -59, -56, -59, -57, -63, -55, -60, -61, -61, -59, -60, -59, -58, -58, -57, -60, -61, -56, -62, -58, -59, -58, -58, -56, -60, -58, -59, -57, -57, -59, -62, -60, -59, -60, -60, -59, -58, -59, -59, -61, -58, -60, -58, -55, -61, -60, -58, -62, -58, -58, -58, -60, -61, -59, -60, -58, -57, -56, -58, -59, -57, -58, -58, -58, -58, -62, -62, -57, -56, -59, -58, -59, -58, -62, -61, -60, -62, -59, -62, -57, -59, -60, -58, -60, -59, -59, -58, -60, -57, -59, -57, -59, -57, -59, -57, -59, -60, -61, -55, -61, 
00:1d:70:92:dc:be, 48, PCCW, -76, -75, -76, -74, -75, -76, -75, -75, -74, -76, -76, -75, -75, -78, -79, -78, -75, -74, -76, -76, -75, -75, -76, -75, -78, -78, -77, -76, -75, -77, -77, -76, -76, -75, -77, -77, -77, -75, -76, -76, -75, -77, -77, -75, -75, -75, -75, -75, -76, -75, -75, -76, -74, -75, -76, -74, -75, -75, -76, -76, -77, -76, -75, -75, -76, -77, -75, -75, -75, -76, -74, -77, -76, -76, -77, -76, -76, -76, -76, -76, -75, -75, -77, -79, -77, -76, -78, -76, -77, -78, -76, -77, -76, -77, -77, -76, -77, -75, -77, -76, -77, -77, -76, -76, -75, -76, -77, -76, -75, -75, -77, -77, -75, -76, -77, -75, -74, -75, -76, -75, -77, -75, -75, -76, -77, -75, -75, -76, -72, -77, -75, -76, -76, -74, -78, -77, -76, -77, -76, -75, -77, -77, -77, -76, -78, -76, -76, -78, -78, -76, -78, -78, -80, -78, -77, -78, -78, -79, -78, -78, -78, -76, -77, -76, -77, -76, -76, -76, -76, -76, -78, -77, -75, -79, -77, -76, -77, -77, -79, -76, -78, -77, -75, -73, -76, -75, -75, -75, -75, -75, -75, -76, -75, -75, -77, -76, -77, -74, -77, -76, -77, -77, -75, -76, -76, -77, -76, -78, -76, -76, -75, -77, -75, -75, -76, -66, -77, -74, -75, -77, -74, -74, -75, -76, -76, -74, -75, -75, -73, -76, -76, -75, -73, -75, -75, -74, -75, -64, -75, -74, -77, -75, -74, -76, -74, -76, -74, -74, -74, -76, -74, -77, -76, -66, -78, -76, -75, -76, -75, -78, -76, -76, -73, -73, -75, -74, -75, -74, -77, -75, -74, -75, -75, -75, -74, -75, -75, -74, -75, -76, -76, -74, -73, -75, -74, -74, -74, -76, -76, -73, -77, -75, -75, -73, -74, -74, -73, -74, -74, -74, 
00:1d:70:92:dc:bc, 48, eduroam, -66, -73, -76, -74, -75, -76, -76, -75, -74, -76, -76, -75, -75, -75, -75, -78, -75, -75, -76, -77, -75, -76, -77, -75, -76, -65, -77, -76, -76, -77, -76, -75, -75, -76, -77, -77, -77, -74, -74, -76, -75, -77, -78, -75, -76, -75, -75, -75, -75, -74, -75, -76, -74, -75, -76, -74, -75, -75, -77, -75, -66, -77, -76, -77, -75, -75, -74, -76, -75, -75, -73, -76, -76, -76, -77, -75, -66, -66, -76, -63, -75, -75, -66, -66, -77, -65, -65, -65, -77, -77, -77, -77, -75, -75, -78, -76, -76, -75, -76, -75, -76, -77, -76, -76, -75, -64, -77, -76, -64, -64, -77, -77, -77, -77, -77, -76, -75, -76, -75, -74, -76, -75, -75, -76, -77, -76, -75, -75, -73, -76, -75, -76, -76, -74, -74, -78, -75, -75, -77, -76, -77, -77, -78, -78, -78, -75, -64, -64, -79, -65, -65, -77, -79, -79, -79, -77, -77, -77, -79, -79, -79, -76, -65, -65, -78, -65, -65, -76, -65, -76, -76, -66, -66, -66, -76, -76, -76, -77, -77, -76, -78, -78, -78, -74, -77, -75, -76, -76, -76, -75, -74, -74, -75, -76, -76, -76, -79, -75, -75, -75, -65, -65, -75, -77, -77, -77, -63, -63, -78, -64, -64, -64, -76, -76, -76, -76, -76, -76, -75, -65, -75, -75, -75, -76, -75, -75, -75, -75, -73, -73, -73, -75, -73, -73, -75, -75, -75, -76, -75, -75, -77, -76, -75, -75, -74, -76, -74, -74, -74, -75, -75, -75, -75, -79, -79, -79, -75, -65, -65, -77, -76, -76, -74, -63, -75, -75, -75, -74, -77, -75, -74, -74, -76, -75, -73, -75, -76, -76, -76, -75, -76, -75, -74, -75, -73, -75, -75, -76, -76, -73, -77, -75, -76, -74, -74, -75, -74, -75, -63, -63, 
00:1d:70:92:dc:ba, 48, Alumni, -77, -75, -75, -75, -74, -75, -74, -75, -75, -75, -76, -76, -75, -75, -75, -77, -73, -75, -76, -76, -76, -76, -76, -76, -76, -79, -77, -77, -76, -77, -77, -75, -76, -75, -76, -65, -65, -75, -64, -76, -75, -76, -78, -75, -75, -75, -76, -75, -76, -75, -75, -76, -73, -74, -76, -75, -76, -64, -76, -75, -66, -76, -75, -75, -75, -75, -74, -76, -75, -75, -74, -77, -75, -64, -77, -76, -65, -65, -75, -63, -75, -75, -77, -77, -77, -76, -67, -67, -77, -66, -66, -77, -76, -76, -78, -75, -76, -75, -76, -75, -77, -77, -76, -76, -75, -76, -77, -76, -75, -75, -78, -77, -66, -77, -77, -76, -75, -76, -75, -74, -76, -74, -75, -75, -77, -76, -76, -75, -74, -74, -74, -76, -76, -74, -74, -78, -76, -76, -76, -76, -77, -77, -79, -65, -65, -76, -65, -65, -65, -76, -76, -77, -79, -66, -66, -78, -67, -67, -79, -68, -68, -77, -66, -66, -77, -64, -64, -75, -76, -77, -77, -77, -77, -77, -76, -66, -66, -78, -68, -76, -78, -66, -66, -73, -76, -75, -76, -75, -66, -75, -75, -64, -76, -76, -65, -65, -77, -75, -75, -75, -75, -75, -75, -76, -76, -77, -76, -76, -76, -77, -77, -77, -76, -76, -77, -76, -66, -75, -75, -65, -74, -73, -75, -76, -76, -76, -66, -75, -75, -64, -64, -75, -74, -74, -75, -75, -75, -76, -76, -76, -76, -76, -75, -76, -74, -76, -75, -74, -64, -76, -74, -65, -65, -79, -65, -65, -75, -64, -64, -78, -78, -78, -73, -76, -76, -76, -76, -74, -77, -74, -74, -74, -75, -74, -73, -76, -75, -75, -74, -76, -76, -75, -74, -74, -74, -75, -75, -75, -76, -73, -76, -75, -76, -74, -74, -74, -73, -74, -64, -64, 
00:1d:70:92:dc:b0, 11, Y5ZONE, -54, -59, -69, -69, -67, -54, -53, -67, -54, -55, -52, -73, -56, -56, -56, -59, -59, -73, -60, -67, -56, -54, -68, -69, -54, -72, -58, -58, -72, -59, -54, -54, -73, -56, -56, -71, -53, -71, -71, -57, -59, -75, -53, -55, -52, -70, -70, -60, -55, -71, -71, -58, -73, -70, -57, -58, -71, -59, -67, -58, -58, -57, -57, -59, -58, -75, -75, -78, -78, -74, -59, -71, -71, -58, -71, -71, -70, -54, -57, -71, -72, -70, -55, -56, -54, -70, -70, -56, -56, -54, -66, -53, -53, -71, -55, -53, -67, -57, -54, -67, -52, -52, -68, -56, -68, -72, -71, -69, -73, -71, -68, -67, -68, -66, -68, -72, -54, -54, -69, -53, -56, -55, -54, -57, -57, -53, -56, -65, -53, -66, -54, -67, -66, -54, -54, -60, -72, -69, -70, -70, -68, -60, -59, -59, -58, -70, -74, -58, -58, -58, -60, -71, -71, -71, -53, -68, -55, -69, -57, -57, -58, -58, -59, -60, -56, -56, -57, -58, -57, -61, -70, -71, -57, -70, -70, -70, -68, -60, -60, -60, -60, -60, -61, -58, -60, -60, -71, -58, -59, -71, -57, -59, -59, -59, -57, -60, -58, -70, -63, -63, -58, -56, -54, -54, -69, -56, -56, -69, -55, -55, -57, -67, -71, -64, -60, -59, -59, -70, -60, -77, -56, -54, -50, -69, -54, -54, -69, -54, -54, -53, -55, -55, -61, -55, -72, -52, -58, -65, -59, -68, -56, -53, -69, -60, -60, -75, -60, -60, -60, -59, -59, -59, -71, -71, -54, -60, -60, -56, -69, -65, -65, -55, -54, -55, -56, -56, -54, -71, -57, -55, -58, -57, -70, -56, -61, -56, -56, -58, -74, -54, -56, -53, -56, -71, -53, -59, -58, -55, -70, -56, -58, -55, -74, -57, -57, -57, -57, -59, -59, -61, 
