ec:c8:82:7a:df:63, 6, Y5ZONE, -82, -83, -83, -83, -82, -82, -82, -83, -83, -83, -84, -84, -84, -86, -85, -85, -81, -83, -82, -82, -81, -81, -82, -82, -86, -86, -86, -86, -84, -84, -84, -84, -84, -83, -83, -82, -82, -82, -82, -85, -83, -83, -83, -83, -82, -82, -83, -83, -83, -83, 0, 0, -86, -86, -86, -82, -82, -82, -82, -81, -81, -81, -81, 0, 0, -84, -84, -84, -82, -82, -82, -82, 0, 0, 0, 0, 0, 0, 0, 0, 0, -80, -81, -82, -82, -82, -82, 0, 0, 0, 0, 0, -84, -84, -84, -84, -84, -84, -84, -81, -83, -81, -81, -82, -82, -84, -87, -84, -85, -84, -84, -83, -83, -84, -82, -82, -82, -85, -85, -83, -83, -85, -85, -83, -83, -83, -83, -85, -82, -82, -83, -83, -80, -80, -82, -82, -82, -82, 0, -83, -83, -83, -83, 0, 0, -85, -85, -84, -80, -88, -88, -82, -82, -82, -82, 0, -84, -84, -81, -81, -81, -82, -82, -82, -80, -80, -80, -80, 0, 0, 0, 0, 0, -82, -82, -84, -84, -84, -83, -83, -83, -84, -82, -82, -81, -81, -81, -84, -84, -84, -85, -82, -82, -82, -83, -82, -85, -85, -86, -86, -86, -86, 0, 0, 0, -82, -82, -80, -80, -80, -80, -85, -85, -83, -83, -83, -83, 0, 0, 0, 0, 0, 0, 0, -81, -84, -85, -85, -85, -85, 0, -84, -84, -83, -83, -83, -83, 0, -80, -80, -80, -80, -81, -87, -85, -85, -85, -85, -80, -84, -84, -84, -84, -84, -85, -85, -83, -83, -83, -83, 0, 0, 0, -85, -85, -83, -83, -82, -82, -80, -80, -83, -83, -83, -83, 0, 0, -84, -84, -84, -84, -84, -84, -84, -84, -84, -85, -83, -86, -85, -84, -84, -84, -85, -85, -85, -85, -82, -82, -85, 
ec:c8:82:7a:df:61, 6, PCCW, -79, -79, -79, 0, -83, -83, -83, -82, -82, -82, -85, -85, -83, -84, -86, -82, -83, -82, -84, -84, -81, -81, -81, -85, -85, -85, -85, -81, -81, -81, -81, 0, 0, 0, 0, 0, 0, 0, 0, -86, -86, -82, -82, -82, -82, 0, -83, -84, -82, -82, -82, -82, -86, -86, -86, -86, 0, -81, -81, -82, -82, -82, -82, -82, -84, -84, -84, -83, -83, -83, -83, -83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -83, -83, -80, -80, -80, -85, -84, -84, -82, -82, -82, -82, -81, -83, -81, -82, -83, -80, -83, -85, -85, -85, -84, -84, -83, -83, -83, -83, -82, -82, -85, -83, -83, -83, -85, -85, -82, -82, -82, -82, -82, -83, -83, -83, -87, -81, -81, -81, -81, -81, -81, 0, 0, 0, 0, 0, 0, 0, 0, -84, -84, -84, -84, 0, 0, 0, -81, -81, -81, -84, -84, -82, -82, -82, -82, -82, -81, -81, -81, -84, -84, -84, -84, 0, 0, 0, 0, 0, 0, 0, 0, -82, -82, -82, -82, -82, 0, 0, 0, 0, -85, -86, -86, -86, -86, 0, 0, 0, 0, 0, 0, -85, -87, -85, -85, -85, -85, 0, -81, -81, -81, -81, 0, 0, 0, 0, 0, -82, -82, -82, -82, 0, 0, 0, 0, -83, -83, -83, -84, -84, -84, -84, -84, -82, -82, -82, -82, 0, -85, -85, -85, -85, -85, -82, -82, -80, -86, -85, -85, -82, -82, -81, -84, -84, -82, -83, -83, -83, -83, 0, -83, -83, -83, -83, 0, 0, 0, 0, -84, -84, -84, -83, -83, -83, -84, -84, -80, -80, -80, -80, -84, -84, -84, -84, -84, -84, -83, -83, -83, -83, -83, -83, -83, -84, -84, -83, -83, -83, -83, 0, -82, -83, -83, 
ec:c8:82:7a:dc:53, 11, Y5ZONE, -80, -80, -81, -81, -79, -81, -77, -81, -81, -81, -86, -79, -79, -81, -81, -80, -80, -82, -83, -83, -83, -80, -79, -79, -80, -80, -80, -76, -76, -79, -79, -79, -81, -81, -81, -81, -81, -81, -81, -81, -81, -79, -79, -79, -79, -79, -79, -79, -81, -81, -85, -85, -80, -82, -79, -79, -79, -83, -82, -82, -81, -80, -85, -80, -83, -83, -81, -81, -81, -81, -85, -85, -85, -81, -80, -80, -79, -79, -80, -80, -81, -81, -81, -81, -81, -81, -85, -87, -87, -80, -80, -79, -80, -79, -79, -79, -79, -79, -80, -86, -86, -81, -83, -83, -81, -82, -79, -82, -82, -83, -83, -83, -83, -83, -82, -82, -81, -79, -80, -80, -82, -81, -82, -80, -80, -80, -80, -81, -83, -82, -82, -80, -81, -81, -81, -81, -80, -81, -80, -81, -82, -83, -79, -79, -79, -80, -78, -78, -81, -81, -81, -81, -84, -81, -81, -80, -80, -82, -82, -81, -81, -83, -81, -81, -80, -82, -81, -81, -81, -80, -80, -79, -79, -79, -80, -80, -80, -80, -81, -81, -81, -79, -79, -79, -81, -81, -82, -84, -82, -81, -81, -84, -84, -84, -82, -82, -82, -82, -84, -84, -83, -83, -83, -81, -81, -80, -81, -81, -80, -80, -80, -80, -80, -82, -81, -79, -80, -80, -81, -81, -81, -81, -82, -80, -80, -81, -81, -81, -81, -81, -80, -82, -81, -87, -87, -82, -82, -82, -82, -82, -80, -80, -80, -82, -81, -82, -80, -80, -80, -82, -83, -82, -80, -81, -81, -81, -80, -81, -81, -81, -81, -82, -80, -81, -81, -82, -81, -81, -80, -82, -79, -79, -80, -79, -79, -78, -84, -80, -82, -80, -80, -80, -80, -82, -82, -81, -82, -82, -82, -82, -82, -76, -79, -79, -79, -78, -81, -83, -81, -82, 
ec:c8:82:7a:e1:61, 6, PCCW, -74, -75, -73, -73, -73, -76, -76, -73, -73, -76, -80, -80, -70, -69, -73, -73, -72, -74, -79, -78, -79, -73, -76, -76, -72, -72, -73, -69, -69, -69, -69, -70, -70, -70, -70, -71, -73, -73, -74, -73, -73, -73, -73, -73, -74, -70, -70, -70, -70, -75, -73, -74, -72, -72, -72, -78, -73, -76, -76, -70, -73, -73, -79, -78, -76, -76, -73, -73, -70, -73, -73, -73, -73, 0, 0, -71, -71, -73, -73, -72, -71, -71, -71, -71, 0, 0, 0, 0, -69, -71, -71, -74, -73, -73, -74, -72, -74, -74, -73, -71, -72, -72, -72, -73, -73, -75, -76, -74, -73, -72, -69, -72, -68, -72, -71, -72, -72, -73, -73, -71, -71, -71, -70, -70, -73, -75, -74, -76, -74, -74, -73, -71, -71, -72, -73, -76, -76, -72, -72, -74, -74, -74, -74, 0, -71, -72, -72, -72, -70, -69, -73, -72, -72, -70, -68, -68, -72, -70, -73, -73, -73, -70, -72, -69, -71, -73, -70, -71, -71, -72, -72, -76, -76, -76, -74, -72, -71, -71, -71, -71, -72, -72, -70, -70, -71, -71, -72, -71, -71, -72, -73, -73, -70, -70, -70, -72, -73, -76, -80, -75, -75, -77, -75, -75, -76, -76, -76, -76, -74, -68, -68, -68, -68, 0, -75, -74, -74, -74, -74, -72, -72, -73, -70, -70, -70, -70, -75, -70, -70, -70, -76, -73, -73, -73, -73, -73, -73, -71, -71, -71, -71, 0, -76, -75, -75, -74, -76, -76, -76, -73, -74, -71, -74, -74, -74, -74, -71, -71, -71, -73, -73, -73, -73, -73, -73, -75, -75, -75, -75, -75, -75, 0, -72, -74, -74, -74, -75, -75, -75, -69, -72, -72, -72, -74, -73, -75, -75, -76, -72, -72, -78, -78, -74, -73, -73, -73, -73, -73, -73, -73, 
ec:c8:82:7a:dc:55, 11, Alumni, -80, -80, -80, 0, -78, -78, -80, -80, -80, -80, -85, -85, -85, -83, -83, -83, -83, 0, 0, 0, -84, -84, -84, -80, -80, -80, -80, -82, -82, -80, -80, -80, -80, -80, -80, -80, 0, 0, 0, -81, -82, -80, -80, -80, -79, -79, -80, -80, -81, -81, -84, -84, -84, -81, -81, -81, -80, -83, -83, -83, -83, -81, -81, -81, -81, 0, 0, 0, 0, 0, 0, 0, -79, -79, -80, -80, -80, -80, 0, 0, -81, -81, -81, -81, -81, -81, -81, -87, -87, -87, -87, -80, -80, -80, -80, -80, -80, -80, 0, 0, -80, -80, -84, -84, -81, -81, -81, -81, -81, -83, -83, -84, -84, -84, -84, -84, 0, 0, 0, -81, -81, -81, -81, -81, -81, 0, 0, 0, -82, -82, -82, -82, -81, -81, -80, -80, -81, -81, -82, -82, -82, -82, 0, 0, 0, 0, -79, -78, -78, -78, -78, -81, -83, -80, -80, -80, -81, -81, -81, -81, -81, -80, -80, -80, -80, -80, -80, -80, -81, -81, -81, -81, -81, -81, -81, -82, -82, -80, -80, -79, -79, -79, -79, -79, -79, -79, -79, -82, -82, -82, -81, -81, -81, -81, -82, -82, -82, -82, -85, -85, -85, -85, 0, -79, -79, -82, -82, -82, -82, 0, 0, 0, 0, -81, -81, -81, -81, 0, 0, 0, 0, 0, -81, -80, -80, -80, -81, -81, -82, -82, -82, -82, 0, 0, 0, -82, -82, -82, -82, -82, -80, -79, -79, -79, -79, 0, -81, -81, -81, -81, -81, -81, -81, 0, -80, -82, -81, -81, -81, -81, 0, 0, -80, -80, -80, -80, -80, -80, -81, -81, -81, -81, 0, 0, 0, -79, -79, -79, -79, 0, 0, -81, -84, -84, -84, -84, -82, -82, -82, -82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
ec:c8:82:7a:e4:73, 6, Y5ZONE, -76, -76, -76, -79, -75, -77, -77, -77, -77, -73, -73, -71, -73, -76, -73, -75, -75, -79, -75, -75, -76, -72, -78, -78, -76, -76, -79, -77, -77, -76, -77, -76, -73, -73, -79, -75, -75, -77, -78, -78, -78, -82, -82, -82, -77, -80, -72, -77, -77, -73, -71, -71, -74, -77, -77, -74, -74, -74, -79, -77, -78, -78, -78, -75, -78, -78, -78, -75, -79, -76, -76, -76, -76, 0, 0, -75, -73, -73, -73, -73, -79, -79, -81, -75, -80, -79, -81, -81, -81, -80, -76, -76, -76, -79, -79, -79, -80, -77, -77, -79, -76, -79, -79, -76, -76, -77, -76, -76, -79, -82, -78, -78, -80, -76, -83, -83, -82, -75, -82, -80, -75, -74, -78, -77, 0, -81, -76, -81, -78, -79, -79, -76, -78, -73, -80, -75, -79, -79, -79, -79, -75, -75, -79, -79, -77, -77, -77, -77, -78, -78, -75, -78, -77, -78, -79, -76, -76, -76, -79, -75, -75, -75, -77, -77, -77, -79, -79, -76, -76, -76, -76, -76, -76, -75, -74, -74, -79, -79, -77, -75, -76, -71, -75, -75, -75, -74, -81, -79, -81, -81, -74, -78, -78, -74, -74, -78, -78, -82, -80, -80, -81, -78, -78, -78, -78, -73, -78, -78, -77, -77, -79, -79, -81, -81, -79, -80, -76, -76, -76, -78, -79, -79, -77, -76, -79, -78, -74, -80, -80, -80, -80, -77, -77, -75, -78, -78, -80, -80, -79, -79, -77, -77, -76, -79, -78, -75, -77, -77, -77, -77, -77, -76, -82, -77, -77, -77, -74, -74, -74, -79, -79, -79, -78, -79, -76, -76, -76, -81, -81, -80, -80, -80, -81, -81, -81, -81, 0, -78, -78, -78, -76, -78, -78, -78, -77, -78, -78, -76, -78, -78, -75, -80, -73, -73, -82, -82, -79, -79, -77, -77, 
ec:c8:82:7a:e4:70, 6, sMobileNet, -75, -75, -75, 0, -76, -76, -73, -72, -72, -72, -74, -74, -74, -74, 0, -76, -76, -76, -76, 0, 0, -75, -75, -75, -75, -75, -75, 0, 0, 0, -76, -76, -73, -73, -73, -73, 0, -79, -79, -78, -78, -81, -81, -81, -81, 0, -72, -72, -74, -74, -71, -71, -77, -77, -77, -77, -77, -79, -79, -79, -79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -78, -76, -76, -76, -76, 0, -78, -78, -78, -78, -78, -78, 0, -79, -79, -79, -79, 0, 0, 0, 0, -80, -80, -77, -77, -77, -77, 0, 0, -78, -82, -82, -76, -76, -75, -75, -75, -75, 0, -75, -75, -75, -78, -78, -78, -78, -81, -81, -81, -81, 0, 0, 0, -81, -81, -81, -79, -79, -79, -79, -78, -78, -79, -79, -79, -79, -75, -75, -75, -75, -81, -81, -81, -81, -78, -78, -78, -78, 0, 0, 0, -78, -78, -78, -80, -80, -80, -80, 0, 0, -79, -79, -79, -79, -79, -79, -73, -73, -73, -73, 0, -74, -74, -72, -72, -72, -76, -76, -76, -73, -73, -79, -79, -75, -75, -75, -75, 0, 0, 0, 0, 0, -73, -73, -73, -73, -81, -81, -82, -82, -82, -82, 0, -71, -71, -71, -71, 0, 0, 0, 0, -79, -79, -79, -79, -75, -75, -75, -75, 0, -78, -78, -78, -78, -75, -75, -78, -78, -74, -74, -76, -76, -76, -78, -78, -81, -81, -79, -76, -78, -78, -78, -78, 0, 0, 0, 0, -76, -76, -76, -76, -76, -76, 0, 0, -75, -75, -75, -75, 0, 0, 0, 0, -76, -75, -75, -76, -76, -76, -80, -80, -79, -79, -77, -77, -76, -76, -78, -78, -78, -78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -79, -79, -78, -78, -78, -78, 
34:bd:c8:db:1c:c4, 1, Y5ZONE, -84, -82, -82, -82, -82, -81, -84, -80, -80, -80, -80, -82, -82, -82, -85, -85, -85, -85, -80, -79, -79, -79, -79, -83, -83, -83, -83, -85, -85, -78, -78, -80, -80, -81, -81, -85, -79, -79, -79, -85, -85, -81, -85, -85, -81, -84, -80, -82, -81, -83, -83, -86, -86, -86, -83, -83, -83, -83, 0, -84, -83, -85, -85, -85, -81, -81, -83, -79, -81, -85, -82, -84, -84, -84, -84, -83, -83, -82, -82, -83, -83, -83, -82, -79, -85, -85, -78, -78, -78, -81, -82, -82, -79, -81, -81, -81, -83, -86, -85, -80, -79, -83, -83, -74, -81, -81, -82, -82, -83, -84, -82, -75, -81, -81, -81, -82, -82, -85, -84, -82, -81, -85, -85, -85, -86, -86, -84, -85, -85, -80, -79, -83, -83, -83, -83, -81, -81, -84, -84, -84, -84, 0, 0, 0, 0, -83, -83, -84, -84, -84, -81, -81, -81, -82, -82, -82, -79, -82, -81, -81, -81, -84, -83, -83, -80, -80, -84, -84, -84, -84, -84, -81, -85, -81, -81, -81, -80, -80, -80, -80, 0, 0, 0, 0, 0, 0, 0, -87, -87, -79, -79, -82, -80, -83, -85, -85, -86, -81, -81, -81, -81, 0, 0, 0, 0, 0, -83, -84, -80, -81, -82, -82, -84, -84, -84, -84, -83, -83, -80, -80, -82, -82, -82, -82, -85, -84, -84, -84, -85, -83, -84, -82, -82, -82, -83, -83, -83, -83, -85, -85, -85, -85, 0, 0, -84, -82, -82, -82, -81, -84, -84, -79, -79, -80, -82, -82, -83, -80, -84, -80, -82, -82, -82, -83, -83, -83, -83, -85, -82, -82, -80, -80, -85, -85, -80, -80, -84, -77, -80, -81, -83, -79, -81, -85, -80, -81, -87, -87, -84, -84, -84, -84, 0, -79, -80, -78, -80, -79, -82, -82, 
34:bd:c8:db:1c:c1, 1, Alumni, -86, -80, -80, -80, -80, 0, 0, -82, -82, -82, -82, 0, 0, -83, -83, -83, -83, 0, 0, 0, 0, -84, -84, -84, -84, 0, 0, 0, 0, 0, -83, -83, -83, -83, 0, -85, -85, -85, -85, -86, -86, -80, -80, -80, -80, 0, -81, -81, -82, -82, -79, -79, -79, -79, -80, -80, -80, -80, 0, 0, 0, 0, 0, -83, -83, -84, -84, -85, -85, -85, -85, 0, 0, 0, -82, -82, -82, -82, -84, -84, -85, -85, -85, -85, 0, 0, 0, 0, 0, -83, -83, -83, -83, 0, 0, -79, -79, -79, -79, 0, 0, 0, 0, 0, -83, -83, -83, -83, 0, 0, 0, -85, -85, -85, -85, -81, -81, -81, -81, -83, -83, -83, -83, 0, 0, 0, 0, 0, 0, 0, -78, -78, -78, -78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -84, -84, -81, -81, -81, -81, -81, -79, -79, -85, -85, -85, -85, -83, -83, -85, -85, -79, -79, -82, -82, -82, -82, 0, -80, -80, -83, -83, -83, -83, -80, -80, -83, -83, -84, -84, -81, -81, -81, -81, 0, 0, 0, 0, 0, -79, -79, -84, -84, -84, -84, -84, -84, -84, -84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -83, -83, -83, -83, 0, 0, 0, -84, -84, -83, -83, -85, -85, -84, -84, -82, -82, -82, -82, 0, 0, 0, -84, -84, -84, -84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -80, -80, -77, -77, -77, -77, 0, 0, 0, 0, 0, 0, 0, 0, 0, -80, -80, -80, -80, -80, -80, -80, -80, -80, -80, 0, -82, -82, -81, -81, -86, -86, -86, -86, 0, 0, -80, -80, -77, -77, -77, -77, 
ec:c8:82:7a:e1:63, 6, Y5ZONE, -72, -75, -75, -73, -74, -76, -76, -74, -73, -76, -80, -70, -70, -72, -74, -74, -72, -73, -79, -78, -80, -73, -75, -75, -71, -71, -73, -70, -70, -71, -71, -71, -71, -71, -73, -72, -73, -73, -73, -73, -73, -73, -73, -74, -73, -69, -69, -70, -70, -74, -74, -75, -72, -72, -72, -76, -73, -76, -76, -75, -75, -75, -75, -75, -75, -77, -77, -77, -68, -71, -71, -68, -68, -68, -68, 0, 0, 0, 0, -72, -71, -71, -72, -72, -73, -73, -81, -81, -70, -72, -72, -75, -74, -73, -73, -73, -73, -74, -73, -71, -75, -73, -73, -74, -73, -74, -77, -73, -72, -73, -69, -70, -70, -69, -69, -72, -72, -73, -73, -70, -71, -71, -70, -72, -73, -74, -73, -76, -73, -73, -72, -70, -70, -71, -74, -76, -76, -76, -76, 0, -70, -70, -70, -70, -71, -71, -71, -71, -74, -70, -70, -71, -74, -74, -70, -72, -73, -72, -72, -71, -72, -69, -72, -71, -72, -74, -72, -73, -73, -73, -73, -73, -73, -73, -74, -72, -72, -72, -72, -72, -72, -72, -72, -72, -69, -69, -69, -71, -71, -71, -72, -73, -71, -71, -71, -71, -74, -75, -81, -76, -76, -76, -75, -75, -76, -76, -75, -75, -75, -75, -75, -75, -72, -72, -76, -75, -76, -76, -76, -72, -72, -73, -71, -71, -70, -75, -73, -69, -69, -69, -75, -75, -75, -75, -74, -74, -73, -71, -74, -74, -74, -73, -76, -76, -76, -75, -76, -74, -74, -72, -72, -69, -73, -73, -73, -73, 0, 0, 0, -72, -72, -72, -79, -74, -72, -73, -78, -78, -78, -78, -75, -75, -72, -73, -75, -75, -73, -73, -71, -71, -73, -73, -73, -75, -73, -73, -73, -73, -71, -71, -79, -79, -75, -73, -73, -74, -74, -74, -75, -75, 
