90:f6:52:77:63:52, 4, CLE_LC3018, -47, -48, -45, -45, -39, -42, -44, -63, -42, -48, -42, -51, -42, -67, -46, -45, -52, -52, -38, -50, -52, -52, -42, -43, -41, -44, -47, -45, -43, -54, -46, -45, -50, -41, -53, -41, -47, -51, -43, -50, -46, -52, -44, -45, -44, -43, -51, -59, -51, -57, -42, -65, -54, -45, -51, -63, -41, -45, -46, -45, -64, -46, -66, -47, -48, -38, -47, -41, -59, -51, -50, -44, -48, -47, -61, -50, -64, -64, -49, -62, -44, -47, -49, -52, -43, -45, -46, -68, -51, -62, -49, -62, -49, -49, -50, -45, -46, -51, -47, -49, -46, -48, -51, -50, -66, -51, -48, -53, -48, -49, -48, -46, -50, -47, -50, -51, -46, -48, -44, -53, -51, -51, -46, -49, -51, -46, -43, -48, -49, -45, -45, -50, -42, -43, -50, -45, -45, -50, -57, -62, -51, -51, -47, -50, -50, -50, -60, -49, -48, -53, -53, -68, -66, -52, -48, -54, -46, -56, -53, -49, -53, -50, -55, -53, -51, -52, -54, -49, -50, -68, -47, -48, -65, -48, -53, -48, -45, -51, -45, -44, -47, -52, -49, -46, -48, -52, -49, -68, -51, -50, -50, -49, -53, -49, -54, -61, -48, -51, -55, -64, -49, -47, -69, -69, -50, -56, -49, -52, -50, -50, -44, -51, -46, -63, -43, -48, -50, -48, -51, -50, -48, -61, -61, -51, -47, -47, -44, -48, -51, -51, -50, -51, -48, -51, -52, -51, -64, -50, -57, -47, -39, -46, -50, -46, -48, -49, -51, -49, -48, -46, -55, -53, -52, -55, -69, -49, -47, -68, -48, -43, -50, -52, -52, -58, -51, -48, -43, -47, -52, -50, -51, -50, -47, -53, -47, -49, -50, -51, -52, -44, -52, -48, -60, -52, -63, -53, -44, -55, -54, -48, -54, -52, -52, -52, -52, -47, -49, -50, -52, -51, 
00:19:be:00:05:b0, 6, MtrecA8, -65, -65, -53, -48, -69, -51, -52, -50, -52, -51, -67, -69, -66, -49, -65, -69, -51, -51, -52, -64, -72, -74, -53, -67, -71, -65, -64, -64, -65, -68, -50, -64, -66, -50, -65, -75, -68, -67, -67, -76, -59, -62, -76, -61, -77, -63, -50, -65, -69, -66, -65, -67, -51, -70, -71, -70, -65, -58, -57, -64, -67, -65, -67, -55, -67, -66, -67, -54, -58, -57, -52, -67, -67, -67, -68, -56, -64, -65, -60, -60, -68, -71, -69, -53, -65, -75, -61, -72, -82, -67, -66, -68, -64, -70, -75, -67, -64, -60, -78, -52, -56, -51, -73, -74, -65, -58, -66, -51, -67, -66, -57, -69, -65, -66, -76, -56, -55, -65, -67, -69, -74, -56, -76, -76, -65, -65, -67, -72, -67, -65, -65, -66, -66, -66, -66, -75, -65, -67, -51, -70, -56, -56, -73, -66, -68, -66, -66, -56, -85, -53, -65, -77, -66, -69, -52, -64, -82, -71, -53, -70, -67, -69, -66, -64, -70, -71, -66, -54, -70, -67, -53, -65, -67, -57, -66, -51, -73, -71, -77, -72, -63, -69, -63, -74, -69, -70, -67, -71, -66, -66, -53, -66, -62, -55, -65, -65, -52, -66, -68, -78, -76, -69, -54, -57, -66, -65, -68, -64, -67, -51, -71, -66, -81, -66, -67, -76, -66, -67, -56, -62, -71, -51, -57, -76, -56, -67, -53, -67, -57, -52, -66, -65, -68, -70, -71, -75, -74, -55, -66, -69, -66, -65, -66, -52, -70, -68, -65, -75, -69, -74, -67, -69, -58, -72, -52, -50, -54, -60, -69, -70, -76, -65, -71, -67, -68, -63, -65, -68, -65, -66, -50, -86, -65, -70, -66, -64, -66, -68, -69, -64, -65, -56, -74, -65, -62, -65, -51, -53, -65, -68, -53, -52, -71, -82, -58, -67, -83, -67, -66, -68, 
7c:e9:d3:7f:0c:9f, 6, HP-Print-9F-LaserJe, -68, -68, -51, -49, -56, -49, -51, -52, -49, -50, -52, -66, -51, -50, -69, -68, -51, -50, -69, -66, -68, -69, -68, -71, -67, -69, -68, -68, -72, -66, -68, -69, -69, -56, -70, -70, -71, -76, -77, -72, -67, -70, -71, -71, -71, -69, -52, -69, -55, -59, -71, -76, -52, -72, -71, -71, -72, -68, -68, -73, -68, -51, -68, -73, -72, -68, -69, -58, -68, -49, -54, -71, -71, -71, -67, -69, -68, -69, -70, -70, -70, -70, -54, -52, -67, -69, -55, -53, -61, -72, -55, -69, -71, -52, -75, -52, -64, -56, -53, -53, -70, -69, -58, -51, -71, -50, -69, -48, -70, -65, -51, -69, -69, -69, -57, -69, -68, -72, -53, -68, -67, -69, -53, -67, -74, -71, -70, -68, -67, -67, -69, -70, -68, -69, -66, -66, -68, -68, -52, -52, -54, -51, -68, -68, -50, -71, -67, -51, -68, -74, -51, -71, -70, -68, -60, -69, -69, -69, -66, -69, -68, -68, -68, -70, -72, -68, -75, -70, -69, -68, -51, -52, -50, -63, -58, -72, -49, -68, -67, -67, -52, -70, -52, -69, -49, -69, -69, -72, -68, -70, -69, -69, -51, -51, -52, -54, -54, -53, -52, -49, -68, -70, -52, -52, -55, -70, -62, -69, -68, -53, -53, -70, -52, -53, -72, -69, -70, -67, -70, -70, -66, -52, -64, -66, -54, -51, -69, -70, -67, -67, -68, -68, -68, -68, -66, -68, -74, -53, -68, -67, -68, -68, -62, -62, -51, -68, -51, -70, -70, -72, -70, -53, -53, -53, -49, -55, -54, -50, -50, -68, -53, -51, -51, -55, -53, -71, -72, -68, -69, -66, -51, -69, -69, -54, -67, -67, -50, -50, -68, -67, -68, -75, -66, -68, -67, -52, -51, -70, -50, -58, -66, -49, -66, -68, -53, -67, -70, -66, -69, -70, 
00:1d:70:92:dc:b1, 11, PCCW, -73, -51, -64, -64, -49, -50, -65, -50, -51, -52, -51, -52, -53, -64, -55, -56, -56, -75, -56, -65, -64, -51, -70, -58, -54, -51, -50, -54, -64, -69, -51, -63, -49, -49, -73, -52, -61, -53, -65, -64, -64, -64, -64, -51, -51, -64, -64, -66, -63, -55, -55, -55, -72, -56, -57, -70, -70, -69, -59, -56, -56, -68, -50, -66, -66, -52, -70, -56, -68, -52, -57, -52, -65, -65, -65, -53, -51, -52, -51, -52, -66, -66, -57, -69, -51, -53, -66, -52, -65, -53, -53, -65, -53, -64, -52, -52, -65, -53, -63, -50, -52, -65, -55, -51, -69, -69, -69, -51, -56, -51, -54, -54, -53, -52, -53, -54, -63, -65, -57, -70, -56, -65, -52, -52, -58, -56, -64, -54, -54, -51, -53, -52, -51, -65, -65, -75, -57, -58, -58, -56, -57, -56, -61, -61, -58, -59, -59, -71, -59, -62, -55, -57, -70, -70, -58, -55, -70, -50, -65, -65, -51, -51, -55, -52, -52, -54, -54, -64, -51, -65, -53, -51, -65, -52, -51, -52, -65, -59, -56, -53, -51, -57, -54, -64, -52, -51, -54, -64, -76, -76, -57, -51, -73, -65, -53, -52, -54, -51, -51, -55, -56, -55, -66, -53, -65, -65, -60, -60, -59, -59, -73, -57, -59, -59, -52, -72, -56, -57, -58, -58, -58, -60, -58, -56, -57, -59, -57, -56, -72, -58, -58, -70, -56, -51, -51, -52, -53, -51, -52, -53, -52, -53, -58, -71, -58, -59, -57, -57, -57, -58, -54, -74, -66, -59, -72, -69, -52, -51, -52, -65, -55, -51, -55, -71, -65, -59, -57, -57, -56, -52, -54, -54, -53, -53, -54, -52, -54, -58, -58, -54, -51, -68, -52, -65, -69, -69, -56, -51, -51, -64, -53, -54, -71, -57, -66, -52, -66, -51, -51, -52, 
a0:f3:c1:98:9b:44, 11, ustrobotics, -50, -29, -42, -43, -26, -34, -44, -26, -30, -26, -27, -29, -28, -51, -29, -34, -45, -41, -26, -48, -31, -29, -44, -29, -33, -30, -30, -47, -45, -43, -26, -50, -30, -32, -45, -32, -28, -31, -43, -43, -27, -33, -48, -30, -36, -49, -40, -43, -41, -41, -26, -47, -42, -34, -25, -44, -29, -48, -33, -26, -25, -43, -29, -44, -28, -40, -33, -42, -55, -43, -25, -31, -45, -25, -45, -29, -31, -29, -28, -34, -46, -44, -25, -42, -26, -27, -45, -29, -49, -28, -27, -42, -27, -45, -32, -33, -43, -31, -33, -38, -48, -45, -35, -31, -43, -34, -45, -32, -35, -34, -32, -29, -34, -45, -31, -38, -31, -42, -33, -47, -28, -44, -36, -31, -35, -29, -53, -28, -36, -32, -38, -39, -36, -45, -35, -56, -31, -49, -26, -38, -37, -43, -28, -44, -37, -28, -29, -48, -42, -33, -34, -34, -43, -42, -28, -44, -31, -34, -41, -48, -28, -43, -34, -31, -49, -27, -41, -46, -40, -48, -32, -37, -42, -48, -35, -27, -48, -41, -46, -31, -28, -41, -32, -47, -33, -41, -29, -28, -44, -42, -42, -34, -50, -45, -49, -35, -31, -38, -29, -32, -35, -34, -34, -33, -46, -35, -54, -41, -32, -30, -43, -31, -28, -28, -28, -44, -26, -32, -32, -28, -42, -33, -30, -33, -29, -29, -25, -26, -40, -30, -29, -42, -27, -28, -24, -28, -26, -27, -25, -25, -29, -31, -31, -45, -32, -28, -49, -43, -44, -31, -29, -50, -34, -42, -35, -49, -30, -32, -33, -41, -32, -28, -31, -28, -49, -38, -48, -38, -27, -27, -32, -35, -29, -37, -46, -29, -31, -33, -31, -43, -35, -32, -34, -51, -34, -31, -27, -29, -27, -50, -40, -39, -47, -31, -41, -36, -45, -31, -30, -28, 
00:25:84:22:f2:df, 36, sMobileNet, -71, -73, -74, -72, -73, -74, -71, -71, -73, -73, -73, -71, -74, -74, -73, -73, -74, -73, -74, -73, -71, -75, -75, -74, -73, -76, -72, -73, -74, -72, -72, -70, -71, -71, -74, -72, -73, -75, -72, -72, -71, -73, -73, -75, -72, -73, -74, -72, -74, -71, -74, -73, -72, -74, -74, -74, -71, -73, -75, -70, -74, -73, -73, -73, -73, -71, -71, -78, -75, -72, -72, -71, -72, -74, -73, -75, -75, -74, -72, -73, -71, -75, -73, -73, -71, -73, -75, -73, -72, -76, -72, -71, -76, -72, -72, -72, -71, -74, -72, -72, -73, -72, -74, -73, -74, -73, -74, -72, -73, -74, -72, -72, -74, -73, -71, -72, -75, -74, -75, -73, -72, -73, -74, -71, -74, -73, -73, -71, -73, -73, -75, -73, -72, -74, -73, -75, -74, -75, -76, -73, -73, -74, -73, -73, -72, -74, -73, -74, -73, -72, -73, -74, -74, -74, -75, -73, -73, -72, -73, -72, -73, -73, -74, -73, -73, -72, -73, -73, -75, -73, -74, -74, -73, -73, -74, -74, -74, -74, -77, -76, -73, -74, -75, -75, -73, -74, -73, -73, -73, -73, -77, -74, -75, -74, -74, -76, -74, -74, -74, -73, -74, -72, -76, -74, -73, -75, -73, -75, -73, -72, -74, -72, -75, -74, -60, -72, -74, -72, -73, -75, -75, -74, -73, -69, -73, -75, -73, -74, -73, -72, -73, -77, -76, -75, -76, -76, -75, -76, -76, -74, -73, -72, -73, -76, -77, -74, -75, -74, -78, -76, -74, -76, -77, -74, -77, -72, -74, -73, -75, -74, -71, -73, -75, -74, -73, -74, -73, -75, -72, -75, -74, -72, -73, -72, -73, -76, -73, -72, -73, -71, -73, -72, -73, -73, -72, -73, -70, -76, -72, -75, -75, -72, -73, -75, -73, -73, -74, -71, -72, -74, 
00:1d:70:92:dc:bd, 48, Universitie, -72, -75, -75, -75, -73, -74, -73, -73, -73, -73, -73, -73, -60, -60, -73, -75, -73, -74, -72, -61, -74, -74, -61, -74, -73, -73, -61, -61, -74, -73, -73, -74, -74, -74, -74, -75, -74, -73, -75, -74, -75, -73, -73, -73, -74, -74, -73, -74, -74, -74, -74, -74, -75, -74, -74, -74, -74, -74, -74, -74, -74, -74, -74, -61, -61, -73, -74, -74, -75, -75, -74, -74, -62, -62, -75, -73, -73, -74, -62, -75, -75, -74, -74, -73, -74, -73, -73, -74, -62, -75, -73, -61, -61, -74, -61, -61, -74, -62, -73, -75, -61, -73, -73, -73, -74, -74, -72, -75, -75, -75, -74, -75, -74, -63, -63, -73, -74, -74, -74, -62, -62, -73, -62, -62, -76, -76, -61, -61, -61, -74, -74, -74, -74, -73, -74, -74, -72, -72, -72, -73, -75, -74, -72, -74, -74, -74, -74, -75, -74, -73, -74, -74, -74, -74, -76, -74, -74, -74, -74, -62, -74, -74, -74, -74, -74, -74, -74, -72, -74, -73, -72, -73, -73, -73, -74, -74, -74, -75, -75, -75, -73, -75, -74, -75, -75, -74, -73, -62, -74, -74, -74, -74, -75, -75, -75, -74, -74, -74, -76, -75, -75, -75, -61, -61, -73, -73, -73, -75, -73, -73, -75, -73, -73, -73, -73, -73, -73, -73, -73, -73, -75, -76, -74, -75, -78, -78, -75, -62, -73, -73, -74, -75, -75, -75, -74, -75, -74, -74, -74, -75, -75, -73, -72, -73, -73, -72, -72, -73, -74, -75, -74, -73, -74, -73, -74, -74, -74, -63, -63, -63, -74, -74, -73, -73, -73, -73, -74, -74, -74, -75, -75, -75, -73, -74, -74, -73, -74, -75, -74, -62, -74, -75, -74, -74, -74, -74, -74, -74, -75, -75, -75, -74, -63, -74, -74, -75, -75, -75, -75, -75, 
00:25:84:23:1f:2f, 48, sMobileNet, -52, -51, -55, -52, -53, -54, -53, -54, -54, -54, -54, -52, -55, -54, -54, -55, -54, -54, -53, -56, -53, -54, -53, -56, -53, -55, -54, -54, -55, -55, -54, -54, -53, -56, -55, -55, -55, -52, -53, -54, -54, -56, -54, -54, -55, -54, -54, -53, -54, -54, -55, -54, -54, -54, -54, -54, -53, -53, -55, -55, -54, -52, -54, -54, -53, -52, -53, -56, -55, -53, -54, -54, -54, -54, -54, -55, -54, -54, -55, -54, -56, -55, -55, -54, -54, -54, -56, -55, -55, -55, -53, -53, -53, -55, -56, -54, -53, -55, -54, -55, -55, -54, -54, -54, -55, -53, -55, -55, -54, -54, -54, -54, -55, -53, -53, -53, -54, -54, -54, -53, -54, -54, -54, -54, -55, -55, -55, -54, -54, -55, -53, -54, -54, -55, -54, -55, -54, -55, -56, -52, -55, -55, -54, -54, -57, -55, -55, -54, -54, -53, -54, -55, -54, -55, -53, -53, -54, -54, -54, -54, -56, -55, -53, -55, -56, -54, -55, -55, -55, -54, -53, -54, -54, -54, -55, -53, -56, -54, -54, -53, -54, -55, -54, -54, -54, -54, -54, -53, -53, -54, -55, -55, -55, -54, -54, -55, -54, -56, -54, -55, -55, -55, -55, -55, -54, -55, -54, -55, -54, -56, -54, -52, -53, -54, -53, -55, -54, -55, -54, -54, -55, -54, -53, -53, -54, -56, -54, -54, -54, -55, -54, -55, -54, -56, -54, -56, -55, -52, -57, -54, -55, -54, -55, -54, -54, -55, -54, -53, -55, -55, -55, -55, -55, -55, -55, -53, -54, -54, -54, -55, -54, -54, -54, -53, -53, -56, -54, -54, -55, -55, -53, -54, -54, -54, -55, -54, -55, -54, -55, -55, -53, -56, -55, -54, -55, -54, -55, -54, -55, -54, -54, -54, -56, -55, -55, -54, -55, -57, -55, -56, 
00:1d:70:92:dc:be, 48, PCCW, -72, -74, -74, -72, -73, -75, -73, -73, -74, -72, -73, -73, -74, -73, -75, -74, -75, -73, -72, -74, -73, -74, -72, -74, -73, -74, -75, -74, -74, -73, -75, -74, -74, -75, -74, -75, -74, -74, -75, -74, -75, -73, -73, -73, -73, -74, -74, -74, -73, -75, -74, -74, -75, -74, -73, -73, -74, -74, -74, -74, -74, -74, -74, -75, -75, -73, -73, -75, -76, -74, -75, -74, -73, -73, -74, -73, -74, -74, -74, -74, -74, -74, -74, -73, -74, -73, -74, -74, -73, -75, -73, -73, -73, -74, -73, -73, -73, -74, -73, -75, -74, -73, -73, -75, -75, -73, -74, -74, -73, -74, -73, -75, -74, -73, -74, -74, -74, -73, -74, -73, -74, -74, -74, -74, -74, -74, -74, -74, -74, -73, -74, -74, -74, -73, -73, -73, -74, -74, -73, -74, -75, -74, -73, -73, -74, -75, -75, -75, -74, -74, -74, -75, -73, -73, -73, -74, -73, -73, -73, -73, -75, -74, -74, -74, -74, -73, -73, -72, -74, -73, -73, -73, -74, -73, -75, -74, -75, -75, -73, -74, -74, -74, -72, -75, -75, -73, -74, -74, -74, -74, -74, -74, -75, -73, -74, -72, -74, -76, -75, -75, -74, -77, -74, -73, -74, -72, -73, -75, -73, -72, -74, -73, -72, -74, -74, -74, -74, -73, -73, -73, -75, -74, -74, -75, -77, -76, -75, -75, -74, -75, -73, -75, -74, -75, -75, -75, -73, -75, -75, -74, -73, -73, -73, -74, -74, -75, -73, -73, -73, -76, -73, -72, -73, -73, -73, -75, -74, -74, -75, -75, -72, -74, -73, -73, -72, -74, -74, -74, -74, -75, -74, -74, -74, -74, -74, -73, -73, -74, -73, -74, -74, -75, -74, -75, -74, -74, -75, -74, -75, -74, -74, -74, -74, -73, -73, -75, -74, -75, -75, -74, 
00:1d:70:92:dc:bb, 48, sMobileNet, -72, -74, -74, -75, -74, -74, -73, -73, -73, -73, -74, -72, -60, -60, -74, -73, -74, -73, -73, -73, -74, -74, -61, -75, -73, -74, -74, -74, -72, -72, -72, -75, -74, -74, -74, -75, -75, -73, -74, -74, -74, -73, -74, -74, -60, -60, -74, -74, -73, -73, -61, -61, -74, -62, -74, -74, -73, -74, -75, -61, -61, -75, -75, -75, -75, -73, -73, -73, -75, -73, -73, -75, -62, -62, -75, -73, -73, -73, -62, -74, -75, -61, -74, -74, -76, -74, -74, -74, -74, -74, -74, -74, -74, -74, -74, -74, -74, -74, -73, -75, -62, -74, -74, -73, -74, -74, -72, -75, -75, -74, -75, -74, -74, -74, -74, -62, -74, -74, -74, -74, -74, -73, -73, -73, -74, -73, -60, -60, -74, -61, -61, -61, -75, -61, -74, -74, -62, -62, -74, -61, -75, -75, -74, -73, -73, -74, -75, -75, -74, -75, -74, -73, -74, -74, -73, -62, -73, -73, -74, -63, -74, -74, -62, -74, -74, -74, -74, -73, -64, -73, -73, -61, -61, -74, -62, -74, -75, -62, -62, -73, -73, -74, -73, -75, -75, -74, -73, -73, -75, -75, -75, -75, -75, -75, -74, -62, -74, -75, -75, -73, -74, -74, -74, -74, -74, -72, -73, -75, -63, -73, -74, -73, -73, -74, -73, -73, -74, -73, -72, -73, -73, -75, -73, -74, -78, -78, -75, -62, -74, -74, -61, -75, -74, -63, -76, -75, -74, -74, -74, -74, -73, -73, -74, -74, -74, -73, -73, -73, -74, -74, -74, -72, -74, -73, -74, -74, -74, -63, -63, -74, -62, -62, -74, -73, -73, -75, -74, -74, -73, -62, -62, -73, -61, -73, -74, -72, -72, -74, -74, -74, -73, -74, -74, -75, -73, -74, -74, -74, -73, -74, -74, -74, -74, -74, -73, -75, -75, -75, -74, -74, 
