90:f6:52:77:63:52, 4, CLE_LC3018, -33, -45, -29, -33, -32, -33, -41, -34, -32, -45, -34, -34, -53, -43, -31, -37, -40, -33, -28, -33, -31, -34, -44, -37, -32, -36, -34, -40, -41, -35, -33, -37, -31, -33, -31, -32, -34, -32, -37, -36, -33, -38, -37, -33, -35, -33, -35, -36, -38, -33, -37, -33, -33, -42, -33, -41, -33, -38, -32, -37, -35, -35, -38, -34, -38, -34, -41, -37, -35, -38, -38, -33, -32, -38, -41, -47, -39, -41, -41, -39, -32, -34, -41, -43, -37, -40, -32, -37, -38, -37, -38, -41, -32, -38, -33, -32, -40, -39, -37, -41, -38, -37, -36, -34, -39, -38, -32, -33, -40, -39, -33, -38, -35, -35, -36, -42, -41, -33, -38, -35, -36, -35, -38, -43, -37, -41, -33, -48, -40, -38, -41, -36, -44, -36, -35, -42, -56, -42, -39, -40, -34, -32, -37, -35, -34, -39, -40, -40, -40, -39, -39, -35, -34, -40, -40, -44, -40, -44, -32, -43, -33, -46, -37, -36, -42, -41, -40, -38, -34, -32, -32, -42, -39, -37, -35, -42, -38, -36, -39, -41, -32, -41, -35, -39, -34, -31, -41, -42, -42, -32, -42, -33, -36, -35, -39, -37, -37, -40, -34, -34, -43, -40, -39, -30, -43, -35, -41, -45, -39, -38, -35, -37, -38, -37, -37, -40, -43, -41, -37, -43, -32, -33, -38, -37, -38, -34, -34, -39, -39, -40, -38, -35, -34, -37, -36, -35, -37, -33, -36, -50, -38, -39, -39, -40, -35, -35, -35, -37, -34, -35, -31, -33, -32, -37, -40, -37, -31, -32, -36, -35, -38, -34, -35, -39, -42, -43, -36, -31, -33, -39, -32, -39, -36, -30, -39, -51, -34, -41, -38, -36, -35, -33, -36, -39, -37, -40, -31, -32, -34, -39, -32, -39, -38, -34, -37, -29, -36, -30, -37, -33, 
00:19:be:00:05:b0, 6, MtrecA8, -46, -40, -42, -55, -59, -66, -40, -63, -44, -61, -60, -56, -83, -59, -64, -45, -64, -36, -72, -56, -53, -57, -59, -56, -47, -49, -40, -41, -45, -56, -43, -42, -81, -41, -64, -75, -61, -47, -61, -55, -41, -39, -51, -41, -62, -43, -58, -53, -77, -51, -56, -64, -54, -41, -51, -43, -39, -44, -80, -60, -60, -48, -77, -51, -82, -55, -53, -49, -37, -58, -54, -46, -55, -57, -66, -78, -61, -55, -62, -56, -44, -39, -59, -78, -41, -43, -40, -41, -41, -45, -79, -44, -57, -80, -53, -42, -44, -40, -52, -58, -54, -38, -56, -57, -78, -58, -56, -53, -49, -59, -60, -57, -46, -60, -55, -57, -57, -55, -59, -60, -57, -80, -53, -78, -75, -55, -76, -62, -41, -53, -43, -53, -43, -58, -58, -42, -68, -81, -40, -54, -46, -60, -46, -48, -77, -41, -57, -59, -76, -59, -57, -62, -60, -56, -78, -60, -55, -68, -38, -46, -77, -55, -56, -56, -79, -60, -79, -77, -42, -51, -56, -47, -60, -58, -56, -49, -54, -63, -74, -55, -57, -63, -56, -41, -59, -59, -55, -59, -41, -59, -55, -49, -61, -43, -56, -61, -61, -57, -76, -54, -54, -56, -64, -46, -54, -38, -56, -43, -47, -57, -56, -43, -53, -43, -64, -59, -65, -53, -57, -62, -62, -57, -47, -44, -58, -81, -39, -41, -55, -40, -58, -59, -59, -61, -39, -63, -63, -43, -55, -57, -52, -70, -58, -43, -65, -63, -56, -58, -68, -56, -58, -62, -69, -60, -41, -41, -73, -76, -42, -54, -55, -53, -55, -51, -38, -47, -52, -75, -42, -59, -63, -58, -57, -48, -56, -56, -58, -71, -51, -55, -62, -53, -45, -65, -59, -59, -57, -59, -63, -55, -59, -48, -63, -62, -59, -44, -57, -57, -58, -57, 
7c:e9:d3:7f:0c:9f, 6, HP-Print-9F-LaserJe, -58, -58, -55, -55, -60, -71, -71, -78, -63, -81, -81, -81, -81, -81, -81, -57, -60, -61, -63, -63, -57, -81, -60, -77, -80, -74, -81, -81, -78, -78, -79, -79, -79, -71, -78, -79, -79, -79, -65, -66, -64, -79, -66, -66, -68, -61, -77, -68, -82, -67, -70, -77, -77, -77, -77, -78, -78, -67, -83, -83, -77, -77, -79, -81, -81, -64, -78, -79, -81, -78, -78, -77, -71, -71, -87, -87, -83, -83, -69, -61, -64, -63, -71, -81, -73, -73, -73, -80, -80, -79, -79, -65, -77, -77, -77, -85, -81, -81, -80, -77, -79, -79, -79, -76, -78, -62, -77, -76, -77, -78, -78, -65, -64, -67, -67, -57, -77, -77, -69, -78, -78, -77, -81, -81, -78, -78, -78, -78, -78, -68, -76, -77, -82, -82, -82, -80, -61, -76, -76, -79, -82, -82, -77, -74, -63, -64, -70, -62, -68, -72, -77, -62, -62, -79, -82, -78, -78, -79, -81, -81, -78, -78, -78, -62, -81, -79, -77, -79, -79, -79, -82, -78, -81, -81, -78, -67, -76, -79, -69, -76, -67, -82, -90, -78, -62, -75, -75, -75, -80, -76, -80, -75, -75, -76, -84, -85, -77, -82, -76, -78, -76, -81, -62, -75, -78, -65, 0, -62, -62, -77, -63, -64, -64, -77, -81, -77, -82, -82, -82, -80, -80, -80, -80, -79, -79, -86, -80, -76, -81, -77, -77, -77, -85, -87, -85, -81, -80, -81, -62, -80, -65, -78, -66, -60, -65, -60, -64, -80, -74, -81, -85, -84, -81, -81, -61, -67, -79, -87, -80, -82, -82, -64, -80, -63, -66, -66, -80, -78, 0, -79, -78, -76, -81, -77, -84, -78, -81, -67, -85, -67, -64, -68, -58, -79, -68, -81, -79, -80, -61, -61, -61, -63, -63, -63, -63, -63, -82, -66, -66, -66, 
00:1d:70:92:dc:b1, 11, PCCW, -57, -68, -61, -61, -61, -56, -56, -54, -62, -60, -55, -55, -58, -58, -55, -58, -59, -68, -54, -65, -54, -56, -58, -57, -54, -57, -58, -60, -66, -59, -57, -57, -65, -55, -65, -53, -60, -54, -56, -69, -63, -53, -53, -64, -65, -54, -60, -59, -61, -61, -65, -65, -59, -69, -60, -60, -68, -59, -59, -71, -60, -60, -60, -60, -60, -58, -58, -55, -56, -55, -57, -70, -58, -58, -59, -55, -55, -55, -55, -54, -53, -67, -57, -57, -69, -56, -54, -56, -59, -68, -61, -59, -58, -66, -57, -57, -53, -56, -59, -57, -54, -69, -69, -76, -56, -58, -55, -55, -59, -68, -64, -56, -56, -59, -59, -55, -66, -53, -66, -68, -68, -57, -56, -64, -61, -69, -59, -58, -58, -72, -53, -54, -57, -55, -58, -69, -54, -54, -54, -55, -69, -54, -54, -58, -65, -55, -65, -64, -60, -57, -59, -60, -59, -61, -61, -61, -60, -60, -60, -59, -58, -60, -64, -59, -61, -57, -61, -61, -55, -54, -54, -54, -61, -58, -69, -53, -68, -68, -68, -65, -55, -65, -59, -58, -55, -61, -56, -59, -59, -55, -64, -55, -65, -71, -60, -70, -55, -55, -55, -55, -55, -66, -57, -57, -57, -54, -54, -54, -60, -60, -57, -58, -69, -58, -62, -60, -58, -70, -60, -68, -68, -54, -57, -55, -66, -57, -57, -56, -67, -57, -55, -65, -56, -56, -69, -54, -69, -69, -59, -57, -60, -58, -59, -59, -59, -62, -62, -64, -71, -61, -60, -61, -57, -55, -65, -70, -59, -58, -70, -59, -59, -71, -69, -55, -56, -55, -67, -65, -58, -68, -57, -57, -72, -60, -62, -70, -59, -59, -63, -60, -72, -58, -61, -57, -59, -56, -58, -70, -71, -55, -52, -54, -57, -57, -54, -55, -55, -65, -55, -55, 
a0:f3:c1:98:9b:44, 11, ustrobotics, -35, -55, -33, -34, -32, -31, -30, -30, -49, -50, -50, -28, -30, -52, -45, -50, -33, -41, -32, -45, -56, -52, -33, -47, -32, -44, -32, -32, -44, -29, -32, -44, -36, -33, -47, -43, -40, -52, -29, -36, -48, -31, -46, -48, -53, -34, -47, -34, -31, -32, -49, -29, -39, -29, -56, -38, -66, -38, -38, -45, -34, -29, -31, -33, -55, -33, -44, -34, -43, -45, -37, -41, -49, -35, -34, -42, -45, -38, -40, -31, -31, -46, -30, -33, -45, -48, -30, -33, -53, -41, -32, -34, -37, -42, -30, -30, -34, -55, -30, -53, -40, -52, -38, -44, -36, -34, -36, -32, -33, -51, -60, -30, -33, -50, -55, -51, -44, -47, -45, -51, -28, -42, -46, -34, -40, -47, -30, -36, -29, -46, -44, -34, -46, -33, -31, -49, -33, -32, -34, -39, -44, -38, -45, -32, -41, -31, -52, -53, -35, -31, -33, -47, -34, -35, -37, -33, -35, -47, -50, -40, -35, -43, -47, -37, -46, -31, -52, -46, -50, -54, -33, -34, -42, -44, -53, -52, -30, -46, -39, -47, -30, -44, -37, -31, -34, -31, -32, -45, -36, -29, -45, -36, -45, -48, -48, -47, -31, -37, -27, -34, -26, -43, -37, -48, -30, -31, -49, -32, -35, -56, -46, -36, -44, -38, -45, -32, -31, -46, -38, -54, -36, -48, -58, -49, -45, -37, -50, -35, -45, -36, -34, -51, -56, -50, -52, -51, -49, -39, -37, -35, -40, -48, -53, -30, -33, -48, -37, -55, -53, -63, -34, -58, -28, -33, -44, -48, -33, -32, -48, -35, -31, -46, -47, -33, -30, -31, -49, -49, -36, -35, -33, -34, -54, -56, -32, -52, -37, -34, -54, -38, -48, -31, -35, -36, -48, -63, -31, -44, -45, -33, -30, -56, -47, -48, -36, -49, -35, -46, -48, -31, 
00:25:84:22:f2:df, 36, sMobileNet, -61, -67, -64, -61, -61, -61, -61, -62, -62, -65, -62, -64, -66, -63, -61, -62, -62, -62, -62, -61, -62, -62, -61, -62, -62, -65, -63, -63, -69, -63, -64, -64, -62, -62, -64, -62, -63, -63, -62, -63, -65, -63, -61, -63, -64, -62, -65, -64, -63, -62, -63, -63, -62, -65, -62, -63, -63, -64, -63, -65, -65, -63, -63, -64, -63, -67, -62, -63, -63, -64, -63, -63, -66, -65, -66, -64, -66, -65, -63, -65, -63, -63, -64, -61, -64, -64, -63, -63, -63, -64, -64, -62, -63, -66, -65, -62, -62, -64, -64, -63, -64, -65, -62, -63, -63, -63, -63, -64, -64, -64, -62, -64, -63, -65, -63, -62, -61, -62, -64, -63, -63, -65, -64, -65, -63, -64, -65, -63, -63, -62, -63, -62, -64, -63, -65, -71, -64, -64, -63, -62, -63, -62, -63, -63, -64, -61, -64, -64, -64, -63, -63, -65, -64, -64, -62, -65, -64, -64, -64, -64, -65, -63, -65, -64, -62, -64, -64, -65, -64, -63, -64, -65, -63, -63, -64, -63, -64, -62, -63, -63, -65, -64, -63, -67, -63, -63, -63, -64, -64, -63, -64, -64, -64, -62, -63, -63, -62, -64, -62, -63, -64, -62, -66, -63, -67, -62, -63, -63, -62, -64, -64, -62, -66, -63, -63, -63, -61, -62, -62, -62, -62, -64, -62, -64, -66, -64, -63, -65, -65, -62, -64, -63, -66, -65, -64, -63, -63, -63, -62, -64, -64, -64, -63, -63, -64, -63, -63, -64, -63, -64, -64, -65, -65, -62, -62, -62, -64, -63, -62, -63, -66, -64, -64, -63, -65, -64, -63, -65, -63, -62, -62, -63, -63, -63, -62, -63, -64, -62, -63, -64, -64, -63, -64, -63, -62, -62, -63, -62, -62, -62, -64, -63, -65, -64, -63, -63, -63, -63, -62, -63, 
00:25:84:23:1f:2f, 48, sMobileNet, -60, -64, -70, -64, -65, -65, -65, -62, -65, -65, -65, -64, -66, -65, -64, -63, -63, -64, -65, -65, -53, -53, -66, -55, -55, -63, -63, -63, -64, -64, -65, -66, -64, -64, -64, -64, -64, -64, -64, -64, -63, -63, -53, -65, -65, -64, -64, -64, -64, -67, -67, -63, -64, -64, -64, -66, -67, -64, -63, -55, -65, -65, -67, -67, -67, -65, -65, -65, -65, -65, -64, -54, -65, -65, -66, -66, -67, -66, -66, -66, -65, -65, -63, -65, -64, -64, -65, -65, -65, -64, -64, -64, -65, -65, -69, -64, -63, -64, -64, -64, -65, -68, -66, -66, -66, -64, -64, -64, -64, -64, -64, -65, -65, -65, -66, -66, -66, -64, -64, -64, -66, -57, -57, -66, -56, -56, -66, -57, -57, -66, -56, -56, -70, -56, -56, -56, -56, -56, -56, -56, -56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -66, -57, -57, -66, -66, -66, -67, -66, -66, -66, -56, -56, -67, -54, -54, -66, -54, -54, -68, -53, -65, -66, -54, -54, -65, -65, -65, -67, -55, -68, -67, -67, -68, -65, -66, -66, -66, -54, -54, -54, -68, -66, -67, -66, -66, -66, -66, -66, -67, -68, -68, -68, -66, -66, -66, -65, -65, -65, -69, -54, -54, -65, -55, -55, -64, -54, -54, -63, -65, -65, -67, -55, -55, -69, -57, -57, -66, -66, -65, -65, -67, -64, -64, -66, -66, -65, -66, -66, -66, -65, -65, -65, -66, -56, -56, -65, -65, -65, -65, -65, -65, -65, -67, -69, -66, -67, -67, -67, -68, -66, -66, -68, -66, -66, -67, -57, -57, -68, -59, -68, -68, -66, -66, -66, -55, -55, -55, -67, -67, -67, -67, -67, -67, -70, -68, -68, -69, -60, 
00:1d:70:92:dc:be, 48, PCCW, -69, -72, -77, -76, -74, -74, -74, -71, -74, -71, -74, -73, -73, -73, -72, -71, -72, -71, -73, -72, -71, -72, -72, -72, -73, -72, -72, -71, -73, -72, -74, -72, -71, -72, -72, -72, -72, -71, -73, -73, -73, -72, -74, -73, -73, -75, -71, -74, -72, -72, -74, -72, -71, -73, -71, -74, -73, -71, -70, -72, -72, -73, -73, -73, -71, -72, -71, -73, -71, -72, -72, -72, -73, -71, -72, -72, -72, -71, -71, -73, -73, -73, -72, -71, -60, -72, -73, -73, -71, -73, -73, -71, -72, -72, -74, -72, -73, -73, -73, -73, -73, -73, -72, -72, -73, -72, -73, -74, -73, -72, -72, -72, -72, -72, -72, -72, -73, -72, -70, -72, -73, -72, -73, -72, -74, -73, -71, -73, -72, -72, -73, -72, -75, -73, -72, -73, -73, -73, -72, -73, -73, -72, -72, -72, -72, -72, -73, -72, -73, -73, -74, -73, -72, -73, -73, -73, -73, -73, -72, -73, -72, -73, -73, -72, -73, -71, -71, -73, -73, -73, -74, -74, -72, -73, -72, -73, -73, -72, -72, -73, -73, -73, -74, -73, -72, -72, -73, -72, -72, -73, -72, -72, -72, -73, -75, -73, -74, -72, -73, -72, -73, -72, -73, -74, -72, -74, -73, -72, -73, -74, -74, -73, -72, -74, -71, -73, -73, -73, -73, -74, -72, -74, -74, -72, -71, -72, -73, -73, -74, -72, -73, -74, -75, -72, -74, -62, -74, -74, -76, -73, -73, -74, -73, -75, -74, -73, -72, -74, -73, -72, -72, -73, -72, -74, -72, -72, -73, -75, -73, -73, -73, -74, -72, -74, -73, -76, -75, -75, -75, -76, -76, -75, -74, -74, -75, -76, -73, -75, -74, -73, -74, -73, -74, -75, -74, -73, -73, -73, -74, -74, -73, -73, -74, -74, -74, -73, -84, -75, -74, -73, 
00:25:84:23:1c:5f, 60, sMobileNet, -77, -66, -71, -78, -78, -76, -76, -76, -62, -73, -75, -75, -75, -72, -73, -73, -74, -75, -74, -75, -76, -75, -74, -75, -75, -77, -74, -76, -75, -76, -75, -75, -77, -77, -76, -76, -76, -75, -75, -77, -75, -77, -76, -66, -66, -76, -77, -74, -77, -76, -64, -77, -79, -68, -78, -74, -75, -77, -77, -77, -77, -78, -76, -78, -76, -77, -77, -74, -78, -78, -79, -76, -76, -78, -76, -77, -77, -76, -76, -77, -77, -78, -76, -77, -77, -77, -78, -78, -75, -77, -75, -75, -76, -76, -76, -76, -76, -76, -77, -77, -77, -77, -77, -78, -77, -77, -66, -77, -78, -76, -77, -77, -80, -78, -78, -68, -68, -79, -77, -76, -78, -77, -78, -77, -77, -78, -78, -77, -77, -77, -77, -77, -79, -78, -75, -80, -78, -78, -78, -78, -78, -78, -79, -78, -78, -77, -78, -79, -78, -78, -76, -76, -80, -77, -77, -77, -77, -75, -76, -78, -77, -75, -76, -77, -77, -65, -76, -76, -75, -75, -76, -77, -75, -77, -77, -77, -77, -76, -77, -75, -76, -76, -77, -75, -76, -77, -76, -75, -75, -77, -78, -75, -78, -77, -77, -75, -77, -76, -76, -76, -76, -76, -75, -78, -74, -76, -76, -75, -75, -76, -76, -76, -76, -74, -64, -64, -75, -75, -77, -77, -77, -77, -77, -77, -76, -76, -75, -75, -74, -75, -75, -79, -75, -74, -76, -75, -75, -75, -76, -74, -76, -76, -76, -75, -75, -75, -76, -77, -77, -77, -77, -76, -76, -76, -75, -75, -74, -63, -76, -76, -76, -75, -75, -76, -76, -82, -81, -79, -81, -83, -79, -79, -77, -77, -77, -77, -77, -75, -77, -77, -76, -76, -77, -76, -76, -76, -75, -75, -76, -76, -77, -76, -75, -78, -76, -77, -75, -76, -74, -74, 
00:25:84:23:1f:20, 6, sMobileNet, -49, -49, -45, -60, -44, -59, -45, -59, -43, -59, -44, -58, -56, -59, -44, -59, -42, -43, -59, -58, -58, -58, -42, -59, -57, -57, -59, -45, -60, -59, -58, -60, -60, -60, -61, -60, -60, -59, -60, -60, -45, -59, -44, -45, -46, -45, -60, -61, -61, -45, -59, -60, -59, -59, -61, -61, -60, -49, -62, -62, -62, -45, -63, -62, -61, -47, -47, -63, -62, -62, -61, -61, -43, -61, -61, -61, -61, -43, -45, -45, -46, -44, -60, -59, -46, -60, -60, -59, -60, -59, -61, -45, -62, -61, -61, -60, -61, -60, -61, -62, -61, -62, -61, -60, -60, -45, -62, -61, -61, -61, -44, -45, -46, -46, -46, -46, -45, -45, -61, -60, -44, -61, -60, -59, -61, -60, -59, -60, -61, -61, -61, -63, -62, -60, -60, -60, -60, -60, -60, -60, -60, -60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -60, -60, -61, -61, -61, -61, -62, -44, -61, -61, -61, -60, -60, -45, -45, -60, -61, -60, -61, -60, -61, -60, -61, -42, -60, -59, -59, -61, -60, -61, -61, -63, -63, -61, -61, -59, -63, -62, -60, -61, -62, -62, -61, -61, -46, -59, -45, -45, -61, -60, -44, -61, -61, -60, -61, -61, -44, -61, -62, -63, -62, -61, -62, -61, -63, -62, -61, -62, -61, -63, -63, -59, -62, -62, -62, -62, -61, -44, -61, -46, -61, -46, -45, -61, -61, -43, -60, -61, -61, -60, -60, -60, -61, -44, -44, -61, -62, -60, -62, -61, -60, -61, -60, -46, -63, -64, -49, -49, -65, -65, -63, -60, -59, -58, -60, -44, -46, -61, -45, -61, -47, -47, -61, -62, -61, -61, -60, -61, -45, -60, -59, -62, -61, -61, -44, -61, -63, -60, -62, 
