ec:c8:82:7a:e2:41, 1, PCCW, -64, -61, -61, -63, -63, -63, -65, -65, -65, -64, -66, -62, -50, -62, -52, -64, -64, -64, -52, -52, -66, -61, -69, -65, -64, -71, -66, -66, -64, -66, -64, -67, -69, -65, -65, -64, -62, -61, -65, -65, -64, -51, -51, -63, -66, -62, -63, -62, -63, -61, -63, -63, -68, -67, -67, -71, -65, -65, -59, -66, -66, -66, -65, -66, -51, -68, -71, -56, -69, -68, -65, -49, -68, -69, -64, -68, -66, -65, -53, -67, -67, -69, -65, -49, -48, -65, -54, -54, -54, -69, -64, -66, -66, -51, -51, -54, -54, -54, -68, -68, -68, -67, -68, -68, -53, -53, -68, -67, -64, -71, -51, -68, -66, -67, -67, -67, -68, -66, -66, -69, -67, -65, -68, -63, -61, -66, -63, -65, -63, -51, -67, -67, -49, -63, -66, -50, -50, -64, -64, -62, -62, -65, -65, -66, -64, -62, -59, -64, -67, -67, -68, -70, -70, -70, -64, -64, -62, -65, -64, -64, -63, -65, -63, -50, -50, -65, -50, -66, -63, -66, -66, -67, -67, -65, -62, -66, -66, -61, -67, -65, -65, -67, -69, -65, -56, -53, -65, -68, -62, -65, -64, -48, -61, -57, -57, -57, -62, -65, -64, -64, -64, -65, -64, -52, -64, -67, -65, -62, -57, -57, -68, -63, -63, -69, -72, -68, -68, -68, -66, -66, -64, -66, -66, -62, -62, -67, -53, -65, -55, -65, -65, -63, -67, -67, -61, -64, -64, -68, -65, -62, -62, -62, -65, -64, -64, -49, -65, -65, -65, -65, -52, -66, -56, -67, -51, -68, -65, -63, -62, -65, -62, -62, -64, -66, -66, -63, -65, -68, -66, -54, -54, -65, -67, -70, -70, -62, -62, -66, -66, -69, -56, -68, -68, -67, -67, -69, -53, -68, -68, -70, -70, -68, -68, -66, -66, -66, -67, -67, -67, -65, 
ec:c8:82:7a:e2:43, 1, Y5ZONE, -64, -60, -62, -63, -67, -67, -64, -51, -51, -64, -67, -62, -51, -63, -63, -64, -63, -64, -66, -64, -66, -62, -62, -66, -64, -71, -67, -61, -63, -67, -63, -63, -68, -50, -65, -63, -63, -63, -67, -65, -65, -64, -53, -64, -64, -64, -63, -62, -63, -61, -64, -65, -65, -68, -68, -70, -65, -65, -60, -66, -66, -65, -64, -66, -52, -69, -69, -69, -69, -67, -66, -66, -66, -70, -64, -64, -66, -66, -53, -67, -67, -67, -65, -48, -62, -65, -66, -68, -58, -58, -65, -66, -66, -51, -51, -51, -54, -54, -54, -71, -71, -67, -67, -67, -66, -69, -69, -66, -64, -72, -64, -67, -66, -67, -67, -59, -68, -66, -66, -55, -66, -65, -67, -67, -61, -64, -63, -66, -62, -51, -68, -68, -50, -62, -66, -50, -66, -63, -63, -63, -60, -64, -66, -66, -65, -63, -61, -63, -68, -68, -68, -69, -69, -66, -64, -66, -62, -65, -66, -65, -64, -65, -64, -64, -49, -65, -65, -65, -65, -65, -67, -68, -66, -66, -62, -65, -65, -61, -68, -65, -66, -66, -67, -65, -57, -70, -65, -68, -62, -64, -63, -63, -62, -59, -65, -65, -64, -64, -64, -63, -63, -66, -63, -52, -64, -55, -65, -62, -57, -57, -68, -62, -63, -70, -70, -68, -69, -68, -66, -65, -65, -65, -66, -62, -69, -69, -66, -65, -55, -65, -69, -62, -67, -63, -60, -64, -66, -67, -65, -62, -64, -64, -66, -65, -73, -63, -65, -67, -50, -66, -64, -52, -55, -68, -51, -67, -66, -64, -63, -65, -65, -66, -65, -66, -64, -63, -65, -67, -68, -67, -67, -67, -67, -69, -69, -69, -68, -68, -69, -69, -68, -67, -55, -67, -67, -70, -67, -67, -68, -69, -69, -69, -54, -54, -67, -66, -67, -53, -67, -64, 
ec:c8:82:7a:e4:73, 6, Y5ZONE, -47, -46, -47, -47, -47, -47, -47, -49, -48, -49, -34, -46, -38, -47, -34, -47, -48, -35, -35, -34, -36, -38, -47, -36, -36, -34, -48, -46, -46, -48, -48, -47, -48, -46, -47, -48, -47, -48, -48, -46, -34, -49, -40, -48, -47, -47, -47, -46, -46, -47, -47, -48, -47, -48, -49, -49, -48, -49, -49, -36, -49, -36, -46, -46, -46, -49, -48, -36, -48, -48, -49, -47, -45, -46, -49, -48, -45, -36, -46, -46, -47, -47, -48, -47, -47, -47, -48, -47, -46, -45, -47, -37, -48, -49, -48, -50, -48, -49, -35, -36, -36, -46, -49, -36, -49, -46, -49, -50, -49, -48, -49, -47, -48, -32, -47, -47, -35, -48, -49, -49, -34, -50, -46, -34, -36, -49, -33, -47, -45, -36, -34, -47, -47, -46, -51, -47, -36, -47, -48, -45, -48, -47, -36, -35, -48, -46, -47, -47, -47, -46, -35, -49, -47, -47, -47, -34, -35, -34, -46, -46, -46, -48, -49, -48, -48, -49, -46, -47, -32, -48, -48, -47, -48, -46, -47, -48, -47, -54, -48, -50, -47, -46, -47, -47, -46, -45, -55, -45, -49, -52, -47, -34, -48, -46, -34, -35, -47, -33, -45, -45, -46, -47, -33, -47, -49, -48, -49, -48, -35, -47, -35, -36, -45, -47, -49, -45, -45, -52, -49, -46, -46, -50, -48, -46, -46, -48, -35, -51, -47, -49, -51, -49, -51, -47, -50, -50, -48, -48, -47, -48, -47, -46, -48, -48, -45, -48, -47, -48, -48, -35, -47, -45, -46, -46, -47, -49, -49, -48, -49, -46, -34, -45, -33, -47, -45, -46, -33, -48, -48, -47, -47, -47, -46, -47, -49, -46, -46, -50, -47, -47, -49, -47, -47, -48, -47, -46, -47, -35, -47, -47, -47, -46, -47, -49, -48, -47, -34, -46, -47, -48, 
ec:c8:82:7a:ab:d1, 11, PCCW, -54, -57, -45, -56, -60, -62, -45, -55, -58, -55, -56, -55, -55, -55, -55, -53, -57, -56, -55, -59, -59, -43, -58, -57, -59, -58, -64, -56, -58, -58, -58, -43, -57, -56, -57, -57, -55, -55, -55, -44, -59, -55, -57, -56, -44, -56, -55, -55, -56, -46, -54, -55, -55, -58, -58, -57, -48, -61, -58, -58, -56, -54, -58, -55, -58, -59, -59, -49, -59, -57, -49, -57, -58, -64, -56, -58, -54, -55, -59, -59, -59, -60, -44, -57, -56, -56, -55, -53, -58, -60, -55, -60, -59, -57, -63, -49, -61, -57, -60, -62, -61, -62, -63, -63, -68, -60, -58, -60, -48, -48, -60, -57, -54, -47, -63, -56, -54, -61, -58, -47, -58, -60, -66, -49, -47, -44, -43, -48, -45, -55, -45, -56, -46, -59, -49, -54, -54, -44, -58, -54, -44, -56, -45, -58, -56, -57, -57, -56, -54, -62, -58, -57, -57, -60, -60, -58, -60, -55, -56, -55, -57, -55, -55, -56, -57, -57, -55, -44, -55, -46, -46, -57, -55, -62, -58, -61, -59, -56, -56, -56, -55, -59, -55, -61, -61, -46, -60, -61, -48, -60, -55, -55, -56, -58, -55, -57, -56, -56, -57, -54, -55, -57, -44, -60, -49, -56, -56, -57, -55, -46, -63, -55, -56, -60, -56, -58, -47, -61, -65, -60, -55, -57, -55, -55, -60, -65, -60, -59, -59, -57, -60, -55, -54, -57, -59, -58, -45, -45, -47, -57, -56, -56, -56, -59, -59, -57, -56, -54, -54, -56, -56, -55, -56, -56, -57, -57, -57, -57, -59, -56, -55, -56, -56, -62, -57, -56, -55, -57, -56, -58, -60, -61, -59, -59, -58, -58, -58, -58, -59, -60, -60, -48, -58, -60, -61, -60, -62, -62, -58, -60, -48, -60, -62, -60, -61, -61, -60, -61, -60, -61, 
ec:c8:82:7a:ab:d3, 11, Y5ZONE, -54, -55, -46, -55, -60, -61, -45, -56, -58, -56, -55, -54, -55, -55, -56, -56, -56, -56, -55, -59, -60, -43, -57, -57, -59, -59, -61, -57, -58, -59, -58, -44, -57, -56, -56, -58, -56, -45, -55, -54, -58, -55, -56, -55, -45, -55, -56, -55, -54, -44, -54, -54, -56, -58, -57, -60, -47, -63, -58, -58, -56, -55, -58, -55, -58, -60, -59, -49, -61, -58, -48, -57, -58, -64, -55, -58, -52, -55, -58, -60, -48, -60, -56, -56, -57, -56, -54, -53, -60, -61, -56, -60, -59, -57, -63, -50, -61, -57, -60, -62, -61, -63, -63, -51, -68, -61, -58, -59, -59, -59, -60, -58, -54, -47, -62, -56, -55, -62, -58, -59, -58, -59, -66, -48, -48, -44, -44, -47, -45, -55, -45, -57, -46, -62, -48, -54, -54, -44, -58, -54, -44, -56, -46, -58, -55, -58, -55, -56, -54, -54, -58, -56, -56, -60, -61, -57, -59, -54, -57, -54, -57, -55, -57, -56, -57, -57, -55, -44, -53, -46, -45, -57, -56, -63, -58, -62, -59, -56, -56, -55, -56, -59, -56, -61, -64, -44, -60, -62, -47, -59, -57, -57, -56, -59, -55, -57, -56, -56, -58, -55, -55, -56, -43, -60, -48, -56, -55, -55, -57, -46, -62, -56, -56, -60, -55, -58, -59, -59, -63, -60, -55, -56, -56, -56, -62, -65, -60, -60, -60, -58, -59, -56, -56, -57, -57, -58, -45, -45, -46, -56, -57, -57, -56, -58, -58, -58, -56, -54, -55, -56, -56, -56, -56, -56, -56, -57, -56, -57, -59, -57, -56, -57, -56, -63, -58, -56, -55, -57, -57, -57, -60, -61, -58, -58, -58, -58, -58, -59, -59, -59, -60, -49, -58, -59, -62, -60, -62, -60, -60, -60, -48, -60, -61, -61, -60, -61, -61, -61, -60, -61, 
34:bd:c8:7f:8d:a4, 11, Y5ZONE, -59, -59, -59, -59, -59, -59, -58, -72, -75, -75, -75, -73, -58, -72, -75, -59, -59, -72, -58, -72, -73, -61, -61, -72, -72, -72, -69, -69, -69, -69, -69, -69, -72, -73, -73, -61, -61, -73, -60, -60, -73, -58, -58, -73, -60, -60, -73, -72, -72, -58, -59, -59, -59, -72, -75, -72, -72, -72, -72, -72, -72, -72, -72, -72, -61, -61, -72, -59, -59, -74, -74, -74, -74, -60, -60, -70, -70, -73, -73, -73, -73, -74, -74, -74, -73, -74, -75, -72, -72, -72, -71, -71, -72, -58, -73, -74, -74, -74, -74, -74, -74, -72, -72, -72, -73, -73, -73, -60, -74, -72, -59, -59, -72, -58, -73, -73, -73, -73, -62, -62, -67, -74, -65, -71, -71, -71, -59, -59, -59, -66, -66, -68, -58, -58, -59, -60, -60, -60, -72, -72, -58, -59, -59, -72, -71, -73, -72, -72, -71, -59, -67, -70, -58, -58, -58, -57, -57, -72, -72, -71, -73, -74, -74, -59, -59, -71, -72, -72, -71, -60, -72, -72, -72, -72, -61, -61, -71, -67, -70, -69, -70, -70, -71, -71, -69, -59, -59, -71, -57, -70, -72, -72, -72, -69, -72, -72, -72, -72, -71, -71, -71, -72, -72, -72, -57, -57, -73, -61, -72, -59, -61, -74, -70, -73, -69, -72, -73, -75, -75, -72, -70, -60, -60, -60, -68, -70, -59, -59, -72, -70, -74, -74, -70, -70, -74, -74, -70, -56, -56, -70, -70, -73, -72, -72, -73, -60, -60, -73, -72, -72, -61, -61, -73, -72, -72, -73, -73, -73, -73, -74, -71, -71, -71, -73, -72, -72, -61, -61, -73, -73, -69, -69, -72, -72, -72, -72, -74, -74, -60, -72, -72, -60, -60, -73, -75, -73, -60, -60, -73, -73, -73, -62, -62, -74, -74, -74, -74, -74, -74, -61, 
34:bd:c8:7f:8d:a0, 11, eduroam, -58, -58, -67, -58, -58, -58, -59, -59, -75, -75, -72, -72, -60, -60, -74, -59, -59, -72, -72, -72, -72, -72, -72, -72, -72, 0, -56, -56, -72, -72, -72, -72, -72, -72, -72, -72, 0, 0, -60, -60, -73, -59, -59, -73, -73, -73, -73, -73, -73, -73, -73, 0, -64, -64, -73, -58, -58, -68, -57, -57, -73, -59, -59, -73, -73, -73, -73, -73, -73, -74, -74, -74, -60, -60, -60, -57, -57, -74, -63, -63, -62, -63, -63, -70, -61, -61, -61, -60, -60, -71, -71, -71, -72, -72, -72, -61, -61, -61, -61, -61, -61, -59, -59, -74, -61, -61, -74, -74, -74, -74, -74, -74, -59, -59, -59, -61, -61, -75, -62, -62, -67, -67, -67, -67, -67, -67, -59, -59, -72, -56, -56, -70, -70, -70, -70, -60, -60, -73, -73, -73, -73, -73, -73, -73, -73, -73, -59, -59, -71, -71, -71, -70, -70, -70, -70, -70, -70, -59, -59, -71, -60, -60, -74, -60, -60, -70, -70, -70, -70, -70, -73, -61, -61, -72, -59, -59, -73, -73, -73, -69, -69, -68, -58, -58, -68, -59, -59, -71, -71, -71, -59, -59, -69, -58, -58, -71, -71, -71, -72, -72, -72, -70, -70, -70, -59, -59, -74, -61, -61, -61, -61, -61, -58, -58, -70, -59, -59, -72, -62, -62, -59, -59, -73, -59, -59, -59, -59, -59, -59, -59, -73, -59, -59, -70, -61, -61, -61, -61, -61, -61, -61, -72, -60, -60, -60, -60, -60, -61, -61, -61, -60, -60, -60, -60, -60, -60, -60, -73, -62, -74, -71, -72, -72, -73, -75, -70, -61, -61, -72, -72, -72, -72, -73, -73, -73, -60, -60, -73, -73, -73, -60, -60, -72, -60, -60, -72, -75, -75, -61, -61, -74, -61, -61, -75, -75, -75, -74, -73, -73, -72, 
ec:c8:82:7a:ab:dc, 48, Y5ZONE, -43, -42, -44, -44, -48, -47, -46, -45, -46, -44, -46, -45, -44, -45, -45, -45, -43, -42, -42, -44, -44, -45, -45, -42, -46, -47, -45, -43, -44, -45, -45, -42, -44, -45, -45, -46, -44, -44, -44, -44, -45, -46, -45, -43, -42, -43, -44, -44, -45, -44, -44, -45, -45, -44, -46, -47, -48, -49, -45, -44, -43, -44, -46, -45, -46, -45, -44, -46, -43, -43, -46, -44, -43, -48, -44, -44, -44, -44, -46, -47, -49, -49, -44, -42, -42, -44, -42, -45, -46, -49, -44, -47, -46, -47, -46, -44, -47, -41, -43, -49, -43, -48, -44, -50, -48, -48, -42, -42, -42, -47, -46, -45, -44, -45, -44, -43, -42, -44, -43, -45, -44, -45, -43, -46, -45, -48, -46, -45, -44, -44, -41, -42, -45, -48, -41, -41, -43, -43, -44, -46, -41, -43, -43, -44, -44, -46, -45, -43, -43, -47, -48, -47, -45, -47, -46, -44, -48, -45, -43, -41, -46, -44, -54, -43, -43, -44, -43, -47, -44, -46, -46, -43, -46, -47, -58, -47, -44, -46, -43, -44, -43, -44, -48, -45, -44, -46, -45, -51, -46, -44, -41, -44, -44, -43, -44, -43, -45, -44, -43, -41, -43, -41, -43, -45, -48, -42, -44, -45, -45, -44, -45, -44, -42, -43, -44, -45, -46, -48, -49, -47, -45, -43, -42, -49, -50, -46, -50, -45, -46, -43, -42, -43, -43, -43, -46, -44, -46, -42, -44, -44, -42, -47, -44, -42, -43, -44, -43, -44, -46, -45, -44, -45, -45, -43, -44, -43, -42, -44, -43, -44, -45, -42, -43, -43, -44, -42, -44, -44, -43, -44, -44, -46, -44, -44, -44, -43, -58, -45, -44, -43, -44, -44, -41, -42, -45, -41, -42, -43, -42, -41, -44, -45, -45, -42, -41, -44, -43, -44, -44, -41, 
ec:c8:82:7a:ab:da, 48, Alumni, -44, -43, -45, -44, -48, -48, -45, -45, -46, -45, -44, -46, -43, -44, -45, -44, -44, -43, -41, -46, -44, -43, -44, -42, -46, -47, -43, -45, -42, -44, -44, -42, -43, -44, -44, -46, -42, -45, -44, -45, -46, -46, -44, -42, -42, -42, -43, -46, -44, -42, -45, -44, -45, -44, -46, -45, -46, -48, -45, -44, -44, -44, -45, -45, -46, -46, -43, -47, -43, -45, -46, -44, -43, -48, -44, -46, -44, -45, -44, -46, -49, -48, -44, -43, -63, -44, -42, -44, -45, -48, -44, -46, -45, -47, -45, -45, -46, -41, -42, -49, -43, -48, -43, -49, -48, -48, -41, -42, -42, -46, -47, -45, -45, -44, -45, -42, -41, -43, -43, -46, -44, -44, -43, -46, -44, -49, -46, -46, -44, -44, -42, -41, -45, -48, -41, -43, -41, -43, -43, -47, -41, -43, -57, -44, -44, -44, -44, -44, -44, -46, -46, -47, -44, -47, -46, -44, -48, -44, -43, -43, -45, -45, -43, -43, -65, -43, -45, -47, -43, -46, -46, -43, -45, -46, -47, -46, -42, -44, -42, -43, -43, -44, -49, -46, -45, -45, -44, -53, -46, -44, -41, -44, -44, -44, -44, -43, -45, -45, -44, -41, -43, -43, -45, -45, -48, -42, -43, -46, -45, -44, -43, -45, -40, -43, -45, -45, -46, -48, -49, -48, -44, -43, -43, -48, -47, -46, -50, -46, -47, -44, -41, -42, -43, -45, -45, -43, -45, -41, -44, -44, -43, -47, -44, -41, -43, -44, -43, -44, -46, -44, -44, -45, -43, -43, -44, -43, -42, -43, -43, -43, -44, -42, -42, -43, -43, -42, -44, -43, -45, -44, -45, -44, -43, -44, -44, -44, -59, -43, -43, -44, -42, -44, -42, -41, -46, -42, -42, -42, -42, -43, -44, -44, -45, -42, -42, -44, -43, -44, -44, -44, 
ec:c8:82:7a:ab:df, 48, sMobileNet, -44, -42, -46, -44, -49, -47, -45, -45, -46, -46, -44, -47, -43, -43, -45, -46, -45, -44, -42, -43, -43, -43, -45, -44, -46, -47, -45, -44, -43, -45, -45, -41, -42, -45, -44, -47, -43, -46, -46, -44, -46, -45, -43, -41, -43, -43, -45, -45, -45, -44, -46, -43, -44, -44, -47, -46, -49, -50, -45, -45, -45, -44, -47, -45, -47, -46, -44, -47, -44, -45, -47, -44, -42, -47, -44, -46, -44, -44, -45, -45, -50, -49, -45, -43, -42, -44, -42, -45, -44, -47, -43, -46, -46, -48, -46, -45, -46, -43, -42, -49, -43, -49, -43, -50, -48, -48, -42, -42, -42, -48, -48, -45, -43, -44, -45, -43, -41, -44, -43, -46, -44, -45, -44, -48, -45, -50, -45, -46, -45, -43, -42, -42, -45, -49, -43, -41, -44, -42, -43, -47, -42, -45, -41, -44, -44, -44, -43, -44, -44, -47, -48, -48, -44, -47, -48, -45, -49, -43, -42, -42, -46, -44, -43, -42, -44, -44, -44, -47, -45, -47, -47, -43, -46, -46, -47, -46, -44, -46, -44, -44, -44, -44, -48, -45, -44, -46, -45, -50, -47, -45, -42, -44, -45, -45, -45, -45, -45, -46, -43, -42, -43, -41, -45, -46, -48, -42, -43, -44, -44, -44, -45, -45, -41, -44, -44, -46, -46, -49, -49, -48, -45, -43, -43, -50, -48, -47, -50, -47, -48, -44, -42, -42, -44, -46, -46, -43, -46, -42, -45, -45, -42, -47, -44, -42, -44, -44, -43, -43, -46, -44, -44, -45, -44, -43, -44, -43, -42, -43, -42, -44, -45, -43, -41, -44, -45, -41, -44, -44, -45, -43, -44, -45, -43, -44, -44, -44, -44, -43, -42, -44, -44, -45, -41, -42, -46, -43, -42, -44, -43, -41, -44, -43, -44, -42, -42, -45, -44, -43, -59, -42, 
