ec:c8:82:7a:e4:71, 6, PCCW, -60, -59, -64, -59, -55, -53, -53, -53, -55, -53, -53, -55, -55, -55, -56, -57, -55, -55, -56, -55, -55, -55, -55, -55, -55, -54, -54, -53, -52, -53, -59, -56, -56, -56, -58, -61, -61, -55, -55, -55, -56, -59, -58, -58, -56, -56, -58, -56, -54, -55, -57, -57, -61, -55, -52, -52, -55, -59, -54, -55, -53, -53, -55, -55, -54, -55, -56, -63, -61, -62, -61, -61, -61, -62, -59, -55, -53, -53, -53, -56, -52, -56, -53, -53, -53, -58, -59, -55, -57, -61, -61, -59, -59, -59, -57, -57, -57, -53, -53, -56, -56, -53, -55, -53, -52, -53, -53, -52, -52, -55, -55, -54, -55, -56, -55, -53, -53, -53, -55, -53, -55, -54, -54, -53, -58, -56, -54, -57, -57, -53, -53, -56, -59, -59, -62, -62, -59, -61, -61, -56, -55, -55, -53, -56, -54, -55, -52, -58, -55, -52, -53, -55, -55, -54, -55, -53, -57, -57, -55, -56, -56, -56, -58, -58, -55, -55, -58, -58, -55, -56, -56, -57, -56, -58, -59, -54, -54, -56, -57, -55, -58, -56, -56, -56, -53, -55, -55, -55, -55, -55, -55, -55, -62, -60, -60, -59, -59, -59, -59, -55, -55, -53, -55, -52, -53, -53, -55, -55, -55, -54, -54, -54, -53, -52, -53, -55, -55, -55, -54, -53, -53, -58, -53, -52, -53, -55, -55, -54, -54, -55, -54, -55, -55, -52, -52, -53, -52, -53, -55, -55, -59, -52, -55, -52, -55, -56, -55, -55, -55, -56, -55, -56, -53, -52, -55, -53, -53, -54, -53, -55, -55, -52, -56, -52, -52, -53, -55, -56, -56, -56, -55, -55, -56, -56, -58, -50, -53, -53, -49, -50, -52, -52, -52, -59, -59, -55, -55, -53, -53, -54, -53, -54, -61, -66, -63, -63, -59, -63, -63, -59, 
ec:c8:82:7a:ab:d3, 11, Y5ZONE, -75, -73, -77, -77, -64, -69, -67, -67, -68, -67, -70, -69, -68, -68, -68, -68, -69, -69, -67, -69, -68, -69, -69, -71, -69, -68, -69, -69, -69, -72, -70, -71, -68, -68, -68, -71, -71, -73, -74, -75, -71, -72, -66, -67, -68, -68, -66, -66, -67, -70, -70, -70, -70, -71, -71, -70, -70, -70, -73, -72, -72, -72, -71, -71, -71, -71, -69, -74, -74, -69, -69, -68, -66, -66, -68, -68, -66, -67, -67, -67, -67, -68, -66, -66, -68, -68, -68, -68, -70, -71, -70, -68, -69, -74, -66, -66, -69, -68, -67, -66, -69, -67, -68, -70, -69, -69, -69, -69, -69, -69, -73, -70, -68, -66, -71, -72, -73, -73, -70, -68, -69, -67, -70, -69, -72, -74, -74, -70, -75, -72, -77, -72, -73, -73, -69, -69, -71, -69, -68, -68, -66, -66, -67, -67, -68, -68, -68, -68, -66, -67, -69, -65, -68, -69, -69, -70, -73, -73, -73, -78, -74, -72, -74, -74, -76, -71, -76, -74, -73, -76, -71, -66, -67, -72, -72, -74, -77, -74, -79, -78, -78, -74, -72, -72, -69, -72, -70, -74, -73, -73, -71, -72, -70, -70, -71, -70, -69, -69, -69, -69, -70, -69, -68, -71, -68, -70, -68, -66, -66, -68, -69, -67, -71, -70, -71, -69, -68, -68, -69, -71, -71, -71, -74, -74, -69, -70, -70, -68, -67, -68, -66, -67, -67, -67, -70, -69, -68, -70, -70, -71, -75, -69, -67, -66, -72, -71, -67, -65, -65, -66, -69, -70, -69, -69, -69, -69, -67, -69, -70, -71, -70, -69, -72, -71, -68, -69, -71, -70, -71, -69, -68, -71, -67, -69, -69, -75, -74, -72, -74, -72, -69, -69, -66, -70, -72, -70, -70, -71, -74, -74, -70, -73, -67, -71, -69, -76, -73, -74, -74, -73, 
34:bd:c8:e3:3b:2d, 153, sMobileNet, -72, -72, -74, -74, -72, -72, -72, -72, -71, -72, -71, -73, -74, -73, -73, -73, -72, -73, -73, -73, -72, -72, -73, -72, -71, -72, -71, -73, -73, -72, -73, -72, -74, -73, -76, -72, -73, -73, -73, -73, -72, -72, -73, -73, -72, -73, -72, -73, -73, -71, -71, -73, -73, -73, -73, -75, -76, -73, -74, -73, -71, -71, -71, -72, -74, -71, -72, -75, -79, -74, -77, -76, -79, -78, -74, -74, -72, -71, -74, -72, -71, -75, -74, -73, -73, -75, -73, -73, -73, -73, -73, -72, -72, -70, -70, -73, -73, -70, -74, -74, -70, -70, -73, -74, -73, -72, -74, -74, -74, -70, -74, -75, -73, -73, -73, -73, -73, -80, -73, -74, -74, -74, -73, -73, -70, -78, -75, -73, -73, -73, -72, -73, -74, -73, -73, -74, -74, -73, -73, -72, -74, -75, -75, -75, -77, -76, -77, -73, -74, -77, -75, -73, -73, -73, -72, -73, -73, -75, -72, -72, -72, -73, -74, -73, -75, -73, -71, -72, -73, -73, -79, -71, -73, -71, -70, -71, -72, -72, -72, -71, -71, -71, -72, -77, -72, -72, -71, -73, -72, -71, -73, -73, -73, -72, -73, -73, -74, -74, -71, -74, -74, -71, -72, -72, -74, -74, -74, -72, -72, -76, -70, -72, -73, -72, -73, -73, -73, -71, -76, -75, -71, -74, -73, -82, -74, -74, -75, -75, -73, -73, -73, -73, -72, -75, -74, -74, -74, -73, -74, -71, -75, -75, -72, -73, -73, -72, -72, -72, -73, -73, -72, -72, -73, -72, -72, -72, -73, -73, -73, -71, -71, -72, -72, -72, -71, -73, -71, -73, -70, -70, -73, -72, -72, -75, -72, -72, -72, -71, -73, -77, -73, -75, -72, -76, -75, -73, -74, -72, -73, -74, -75, -75, -74, -73, -71, -72, -72, -69, -71, -71, 
34:bd:c8:e3:3b:2e, 153, Alumni, -72, -72, -74, -72, -72, -73, -72, -72, -72, -72, -72, -72, -74, -74, -73, -73, -72, -72, -72, -73, -73, -73, -73, -74, -71, -72, -72, -72, -73, -71, -73, -72, -74, -73, -75, -72, -72, -73, -72, -72, -72, -72, -73, -72, -72, -73, -73, -72, -72, -71, -74, -74, -72, -73, -73, -74, -76, -73, -73, -73, -72, -72, -71, -72, -75, -71, -73, -75, -79, -74, -77, -78, -79, -78, -74, -74, -72, -72, -74, -72, -71, -74, -74, -74, -72, -74, -72, -73, -73, -72, -73, -73, -72, -70, -73, -73, -73, -72, -74, -74, -70, -74, -74, -73, -73, -72, -74, -71, -71, -70, -74, -74, -73, -72, -73, -73, -73, -79, -74, -73, -73, -75, -73, -74, -71, -77, -75, -74, -72, -73, -73, -74, -74, -73, -73, -73, -73, -74, -74, -72, -74, -74, -76, -76, -76, -76, -76, -73, -75, -77, -74, -73, -73, -73, -71, -72, -74, -75, -72, -72, -72, -74, -74, -72, -74, -73, -71, -71, -74, -73, -78, -71, -72, -71, -72, -72, -72, -71, -72, -72, -71, -71, -73, -73, -71, -72, -71, -71, -73, -70, -73, -73, -74, -73, -73, -74, -73, -74, -71, -74, -74, -71, -73, -73, -74, -73, -74, -71, -72, -73, -71, -72, -73, -73, -72, -72, -73, -71, -77, -76, -72, -74, -74, -82, -74, -74, -75, -75, -75, -73, -73, -72, -71, -74, -74, -76, -75, -74, -74, -71, -75, -75, -72, -73, -72, -72, -73, -73, -73, -71, -71, -72, -73, -73, -73, -73, -72, -72, -73, -72, -72, -72, -72, -73, -71, -73, -72, -73, -71, -73, -74, -71, -72, -75, -75, -73, -72, -71, -73, -77, -73, -76, -72, -77, -77, -73, -75, -73, -73, -73, -73, -71, -72, -73, -71, -72, -72, -69, -72, -71, 
34:bd:c8:e3:3b:2a, 153, PCCW, -73, -72, -73, -73, -72, -72, -73, -72, -72, -72, -71, -72, -74, -73, -74, -71, -72, -73, -73, -73, -73, -73, -73, -73, -71, -73, -72, -72, -73, -72, -72, -73, -74, -74, -75, -72, -73, -73, -73, -73, -73, -72, -73, -74, -73, -73, -73, -73, -72, -72, -74, -73, -72, -72, -73, -74, -75, -73, -74, -72, -72, -71, -72, -72, -75, -71, -73, -75, -79, -75, -76, -76, -79, -78, -75, -75, -71, -72, -74, -72, -72, -75, -74, -74, -73, -74, -72, -73, -73, -73, -71, -73, -72, -70, -72, -73, -73, -72, -73, -73, -70, -74, -73, -73, -73, -72, -75, -75, -72, -70, -74, -74, -73, -73, -73, -74, -74, -80, -73, -73, -73, -74, -73, -73, -71, -77, -75, -74, -73, -73, -73, -72, -75, -73, -73, -73, -73, -73, -74, -73, -74, -74, -76, -76, -76, -76, -76, -73, -75, -77, -75, -73, -73, -74, -74, -72, -74, -75, -73, -73, -72, -73, -75, -72, -74, -73, -71, -72, -73, -73, -78, -71, -73, -71, -71, -72, -72, -71, -72, -71, -71, -71, -73, -73, -72, -72, -71, -72, -72, -71, -73, -74, -73, -73, -73, -73, -74, -74, -72, -73, -73, -71, -72, -72, -74, -73, -74, -72, -72, -76, -71, -72, -73, -73, -73, -73, -73, -73, -76, -76, -72, -74, -73, -82, -74, -74, -74, -77, -77, -72, -73, -72, -71, -74, -74, -76, -75, -73, -73, -71, -75, -72, -72, -73, -73, -72, -72, -75, -74, -73, -71, -72, -73, -72, -73, -72, -72, -72, -73, -72, -72, -72, -72, -71, -70, -72, -72, -72, -70, -73, -74, -74, -72, -74, -73, -73, -71, -70, -72, -77, -73, -75, -72, -76, -76, -73, -75, -72, -73, -73, -73, -72, -72, -73, -71, -72, -72, -69, -71, -72, 
ec:c8:82:7a:ab:de, 48, PCCW, -86, -86, -82, -79, -80, -78, -78, -79, -79, -79, -79, -78, -78, -79, -79, -81, -80, -80, -79, -80, -80, -80, -81, -81, -82, -82, -82, -79, -79, -79, -78, -79, -79, -79, -80, -80, -80, -83, -83, -80, -80, -81, -81, -81, -81, -81, -78, -78, -82, -82, -80, -80, -80, -85, -85, -83, -83, -83, -83, -78, -78, -81, -81, -80, -80, -81, -78, -82, -80, -82, -81, -81, -79, -83, -83, -83, -79, -80, -81, -79, -79, -79, -80, -79, -79, -79, -79, -79, -79, -81, -81, -81, -81, -81, -80, -81, -81, -81, -81, -81, -81, -81, -80, -80, -79, -79, -79, -82, -82, -80, -80, -82, -81, -81, -81, -81, -81, -81, -80, -80, -81, -81, -81, -81, -80, -78, -78, -81, -80, -80, -80, -80, -80, -81, -81, -81, -80, -79, -79, -81, -81, -80, -79, -80, -80, -78, -78, -78, -81, -83, -83, -77, -77, -77, -82, -82, -79, -82, -82, -82, -80, -80, -80, -83, -83, -83, -82, -82, -82, -81, -81, -81, -81, -81, -83, -83, -84, -81, -81, -81, -81, -81, 0, -80, -80, -80, -80, -82, -82, -82, -82, -82, 0, -82, -82, -82, -82, -82, 0, -83, -79, -79, -82, -79, -80, -81, -81, -82, -82, -80, -77, -77, -79, -79, -79, -79, -79, -78, -78, -78, -78, -81, -81, -79, -79, -81, -79, -81, -81, -81, -81, -82, -82, -80, -80, -80, -81, -81, -79, -78, -78, -78, -78, -78, -78, -80, -80, -80, -80, -80, -80, -80, 0, -80, -80, -80, -81, -81, -81, -81, -81, -82, -82, -81, -81, -77, -77, -77, -77, -81, -81, -79, -79, -82, -82, -78, -78, -81, -81, -81, -80, -80, -80, -80, -80, 0, 0, 0, 0, -82, -82, -83, -83, -83, -83, -83, 0, 0, 0, 0, 
ec:c8:82:7a:ab:d1, 11, PCCW, -75, -73, -77, -77, -66, -66, -66, -67, -68, -67, -70, -69, -69, -68, -68, -68, -69, -69, -68, -69, -68, -69, -70, -71, -69, -68, -68, -68, -68, -68, -70, -70, -68, -68, -68, -70, -71, -73, -72, -75, -75, -75, -66, -66, -66, -66, -66, -68, -67, -70, -68, -70, -70, -71, -71, -71, -71, -70, -73, -72, -74, -64, -71, -71, -71, -71, -69, -73, -73, -68, -68, -68, -67, -67, -68, -68, -68, -67, -67, -67, -69, -68, -65, -68, -68, -68, -68, -68, -69, -71, -71, -68, -69, -74, -66, -65, -69, -68, -69, -69, -69, -69, -69, -69, -70, -70, -70, -70, -70, -69, -72, -69, -68, -67, -67, -72, -73, -72, -72, -72, -68, -68, -70, -69, -72, -73, -73, -69, -69, -71, -77, -72, -72, -72, -72, -69, -71, -71, -68, -68, -66, -66, -68, -67, -68, -68, -68, -68, -67, -67, -69, -66, -69, -69, -69, -69, -69, -71, -74, -78, -78, -78, -74, -74, -74, -70, -76, -73, -74, -74, -71, -66, -66, -66, -66, -66, -77, -77, -79, -79, -79, -79, -72, -73, -73, -71, -71, -74, -75, -73, -73, -72, -70, -71, -71, -71, -69, -69, -69, -73, -73, -70, -68, -72, -69, -70, -70, -67, -66, -68, -68, -66, -71, -70, -71, -68, -68, -68, -69, -72, -71, -71, -71, -71, -68, -71, -70, -70, -67, -67, -66, -66, -67, -66, -66, -69, -67, -67, -70, -73, -75, -75, -67, -67, -67, -70, -68, -64, -64, -66, -68, -71, -68, -68, -68, -69, -67, -69, -71, -70, -69, -69, -72, -71, -68, -68, -71, -71, -71, -71, -68, -68, -67, -69, -69, -75, -74, -72, -74, -72, -69, -69, -69, -68, -72, -70, -70, -71, -74, -75, -75, -72, -67, -67, -69, -75, -72, -74, -73, -73, 
ec:c8:82:7a:e4:73, 6, Y5ZONE, -60, -60, -64, -59, -55, -54, -54, -55, -56, -53, -53, -55, -55, -56, -55, -57, -55, -55, -55, -55, -55, -55, -55, -55, -54, -55, -55, -53, -53, -53, -61, -56, -57, -56, -58, -62, -62, -56, -55, -56, -56, -58, -59, -59, -56, -56, -58, -56, -55, -55, -58, -58, -61, -58, -52, -52, -55, -59, -55, -55, -53, -55, -55, -55, -55, -56, -57, -62, -61, -62, -61, -61, -61, -61, -60, -55, -53, -53, -53, -56, -56, -55, -54, -53, -53, -58, -58, -55, -55, -61, -61, -58, -59, -60, -57, -57, -57, -57, -57, -56, -56, -54, -55, -53, -51, -57, -55, -52, -53, -55, -53, -54, -54, -56, -54, -52, -53, -53, -55, -53, -56, -53, -53, -53, -58, -58, -53, -58, -54, -52, -52, -58, -58, -58, -61, -61, -59, -61, -61, -61, -55, -55, -54, -56, -53, -55, -55, -58, -53, -53, -53, -55, -54, -54, -56, -52, -58, -57, -56, -57, -56, -56, -56, -62, -56, -56, -58, -59, -59, -56, -57, -57, -58, -58, -59, -55, -55, -56, -57, -55, -56, -56, -55, -57, -50, -54, -55, -55, -55, -55, -55, -56, -61, -59, -58, -58, -58, -58, -57, -55, -55, -53, -55, -52, -54, -54, -53, -55, -53, -53, -52, -52, -53, -52, -53, -56, -55, -55, -53, -54, -53, -59, -52, -52, -53, -55, -55, -53, -53, -55, -54, -55, -54, -52, -55, -54, -52, -53, -55, -55, -59, -51, -55, -54, -55, -56, -55, -55, -56, -56, -55, -55, -53, -53, -55, -53, -54, -56, -53, -53, -54, -52, -55, -52, -52, -53, -54, -55, -55, -55, -55, -55, -55, -55, -61, -50, -50, -50, -49, -52, -52, -51, -53, -59, -56, -56, -56, -53, -53, -53, -53, -54, -60, -66, -63, -61, -59, -64, -63, -58, 
00:23:eb:3a:16:7f, 40, sMobileNet, -73, -74, -75, -74, -75, -74, -74, -74, -75, -74, -75, -75, -75, -74, -74, -74, -74, -75, -75, -75, -75, -74, -75, -74, -76, -75, -76, -72, -75, -75, -75, -76, -74, -75, -74, -75, -74, -74, -74, -74, -74, -74, -75, -75, -74, -75, -73, -74, -75, -75, -75, -75, -75, -76, -75, -77, -76, -76, -76, -76, -76, -76, -76, -76, -76, -75, -74, -74, -75, -75, -75, -74, -74, -74, -74, -73, -73, -75, -76, -75, -74, -74, -76, -76, -74, -76, -73, -74, -76, -76, -74, -75, -74, -75, -75, -74, -74, -74, -75, -75, -77, -75, -75, -75, -74, -75, -75, -75, -75, -75, -77, -73, -74, -74, -73, -73, -74, -74, -74, -73, -74, -73, -74, -75, -76, -76, -76, -75, -76, -77, -74, -74, -74, -74, -74, -74, -74, -73, -75, -75, -75, -73, -74, -74, -74, -74, -74, -76, -76, -76, -74, -74, -75, -74, -73, -75, -76, -76, -75, -75, -74, -79, -76, -76, -76, -76, -76, -76, -76, -77, -77, -75, -75, -75, -75, -74, -74, -75, -76, -77, -75, -76, -74, -74, -77, -77, -74, -74, -74, -75, -74, -74, -74, -75, -76, -74, -74, -75, -74, -74, -75, -74, -75, -75, -76, -75, -74, -74, -74, -75, -74, -75, -74, -74, -75, -75, -75, -75, -75, -73, -75, -75, -76, -76, -75, -75, -75, -74, -74, -75, -74, -74, -75, -74, -75, -74, -74, -74, -76, -74, -76, -75, -73, -75, -77, -77, -75, -75, -75, -75, -75, -75, -76, -76, -76, -76, -74, -75, -74, -74, -74, -74, -74, -78, -77, -77, -77, -77, -76, -76, -76, -76, -79, -77, -77, -75, -75, -74, -74, -74, -75, -75, -75, -76, -76, -75, -74, -74, -74, -76, -75, -75, -74, -74, -75, -75, -75, -75, -74, -74, 
ec:c8:82:7a:ab:dc, 48, Y5ZONE, -86, -86, -86, -79, -80, -78, -78, -79, -79, -79, -79, -78, -78, -79, -79, -81, -80, -80, -79, -80, -80, -80, -80, -80, -82, -82, -82, -79, -80, -80, -79, -78, -79, -79, -79, -79, -79, 0, 0, 0, 0, -81, -81, -81, -81, -81, -77, -77, -81, -79, -80, -85, -85, -85, -80, -80, -80, -78, -78, -78, -80, -83, -79, -80, -80, -80, -78, -78, -81, -82, -81, -81, -80, -80, -80, -78, -79, -81, -80, -80, -80, -80, -80, -80, -80, -81, -81, -81, -81, -81, -82, -80, -80, -82, -82, -82, -79, -78, -78, -79, -82, -82, -82, -78, -79, -79, -81, -82, -82, -80, -80, -82, -80, -82, -82, -82, -82, -82, -82, -82, -80, -81, -81, -81, -81, -78, -81, -80, -81, -81, -81, -81, -81, 0, 0, 0, -80, -79, -79, -81, -81, -80, -79, -81, -81, -79, -79, -79, -79, -79, 0, 0, 0, 0, 0, 0, -79, -79, -79, -79, -79, 0, 0, 0, 0, -84, -84, -82, -82, -80, -80, -80, -80, -80, 0, 0, 0, 0, 0, 0, 0, 0, 0, -80, -80, -80, -80, -82, -82, -82, -82, -82, -82, 0, 0, 0, 0, 0, 0, -82, -82, -82, -82, -79, -80, -80, -80, -82, -81, -79, -78, -78, -80, -79, -78, -79, -79, -79, -79, -79, -80, -81, -81, -80, -80, -80, -80, -80, -81, -81, -80, -82, -82, -79, -79, -79, -79, -79, -79, -79, -78, -78, -78, -78, -78, -80, -80, -79, -79, -79, -79, -79, 0, -80, -80, -81, -81, -81, -82, -81, -81, -81, -81, -82, -82, -78, -78, -78, -78, -81, -81, -79, -79, -82, -82, -78, -78, -83, -83, -83, -80, -81, -80, -86, -80, -80, -82, -81, -82, -82, -82, -83, -82, -82, -82, -82, -82, 0, 0, 0, 
