00:25:84:23:1a:90, 1, sMobileNet, -63, -42, -42, -59, -59, -59, -59, -59, -59, -45, -45, -45, -45, -61, -48, -48, -61, -61, -61, -46, -46, -62, -62, -62, -49, -49, -62, -62, -61, -46, -46, -64, -64, -64, -46, -46, -46, -46, -62, -47, -47, -49, -49, -61, -61, -61, -44, -44, -60, -60, -60, -45, -45, -44, -44, -44, -44, -44, -48, -48, -58, -58, -60, -44, -44, -60, -60, -60, -42, -42, -45, -45, -59, -59, -59, -45, -45, -46, -46, -60, -60, -61, -45, -45, -61, -61, -60, -60, -59, -45, -45, -59, -59, -59, -44, -44, -47, -47, -59, -59, -61, -44, -44, -59, -59, -60, -46, -46, -66, -66, -60, -60, -59, -44, -44, -58, -58, -58, -45, -45, -45, -45, -45, -45, -45, -58, -58, -58, -58, -61, -47, -47, -47, -47, -62, -44, -44, -44, -44, -59, -59, -60, -60, -60, -48, -48, -62, -62, -61, -44, -44, -48, -48, -60, -60, -60, -44, -44, -59, -59, -43, -43, -61, -46, -46, -47, -47, -58, -58, -61, -47, -47, -45, -45, -59, -59, -61, -61, -61, -62, -62, -60, -47, -47, -46, -46, -64, -64, -64, -45, -45, -59, -59, -60, -60, -59, -46, -46, -59, -59, 
00:25:84:22:fa:3f, 161, sMobileNet, -43, -42, -43, -43, -43, -42, -44, -44, -43, -42, -43, -42, -42, -43, -44, -43, -42, -42, -43, -43, -42, -42, -43, -43, -43, -44, -42, -42, -44, -45, -42, -44, -42, -44, -43, -43, -43, -42, -43, -43, -44, -43, -43, -43, -45, -42, -44, -42, -44, -41, -42, -41, -42, -43, -44, -45, -43, -43, -45, -46, -45, -44, -43, -44, -44, -43, -41, -40, -42, -43, -44, -43, -42, -42, -40, -43, -42, -43, -41, -41, -41, -42, -41, -43, -41, -40, -41, -41, -41, -41, -42, -43, -43, -43, -43, -42, -43, -44, -42, -43, -42, -42, -45, -43, -44, -44, -43, -43, -43, -44, -44, -44, -43, -44, -42, -44, -44, -42, -41, -44, -42, -42, -42, -42, -42, -42, -44, -41, -41, -41, -41, -40, -42, -41, -42, -44, -43, -43, -44, -43, -44, -44, -45, -43, -45, -43, -43, -43, -43, -43, -42, -42, -37, -42, -42, -42, -42, -45, -44, -44, -42, -43, -43, -43, -45, -46, -45, -49, -47, -47, -48, -47, -44, -53, -45, -43, -45, -44, -45, -44, -44, -44, -44, -47, -45, -43, -44, -45, -44, -45, -45, -45, -45, -45, -46, -45, -45, -45, -44, -46, 
00:25:45:a5:35:61, 6, Universitie, -56, -54, -54, -54, -41, -41, -41, -54, -54, -52, -52, -55, -40, -40, -40, -40, -40, -40, -40, -54, -54, -54, -39, -39, -55, -55, -54, -39, -39, -54, -54, -54, -37, -37, -54, -40, -40, -41, -41, -55, -55, -55, -55, -55, -43, -43, -53, -53, -53, -39, -39, -57, -57, -55, -39, -39, -54, -54, -55, -42, -42, -41, -41, -55, -55, -55, -44, -44, -55, -55, -56, -41, -41, -41, -41, -55, -55, -55, -39, -39, -40, -40, -55, -55, -54, -42, -42, -43, -43, -56, -56, -56, -41, -41, -55, -55, -55, -55, -55, -41, -41, -56, -56, -56, -43, -43, -58, -58, -54, -39, -39, -50, -50, -53, -53, -53, -39, -39, -54, -54, -56, -42, -42, -44, -44, -57, -42, -42, -43, -43, -57, -57, -58, -43, -43, -55, -55, -58, -58, -58, -41, -41, -43, -43, -55, -41, -41, -38, -38, -52, -52, -50, -50, -50, -39, -39, -53, -40, -40, -41, -41, -54, -54, -54, -54, -51, -38, -38, -39, -39, -39, -39, -52, -40, -40, -40, -40, -52, -52, -52, -39, -39, -53, -53, -57, -43, -43, -37, -37, -50, -50, -51, -40, -40, -38, -38, -38, -37, -37, -43, 
34:bd:c8:db:1c:c1, 1, Alumni, -55, -55, -55, -71, -71, -71, -70, -70, -69, -56, -56, -71, -71, -70, -57, -57, -70, -70, -73, -56, -56, -75, -75, -70, -59, -59, -73, -73, -73, -57, -57, -57, -57, -57, -56, -56, -56, -56, -70, -55, -55, -59, -59, -71, -71, -70, -59, -59, -58, -58, -73, -73, -73, -57, -57, -70, -70, -70, -55, -55, -68, -68, -70, -56, -56, -57, -57, -71, -71, -71, -59, -59, -68, -68, -70, -58, -58, -60, -60, -69, -69, -72, -72, -72, -58, -58, -70, -70, -71, -57, -57, -70, -70, -71, -55, -55, -56, -56, -56, -56, -69, -55, -55, -55, -55, -71, -55, -55, -56, -56, -69, -69, -68, -55, -55, -66, -66, -70, -56, -56, -55, -55, -68, -68, -70, -54, -54, -70, -70, -69, -56, -56, -56, -56, -69, -69, -69, -56, -56, -76, -76, -71, -71, -69, -56, -56, -66, -66, -66, -55, -55, -55, -55, -67, -67, -67, -52, -52, -66, -66, -66, -66, -65, -53, -53, -53, -53, -67, -67, -68, -53, -53, -53, -53, -69, -69, -69, -55, -55, -67, -67, -67, -54, -54, -54, -54, -68, -68, -69, -54, -54, -55, -55, -69, -69, -69, -55, -55, -68, -68, 
34:bd:c8:db:1c:c4, 1, Y5ZONE, -70, -69, -67, -67, -67, -56, -56, -70, -69, -69, -68, -68, -70, -69, -70, -70, -70, -70, -73, -73, -72, -59, -72, -57, -57, -73, -73, -72, -58, -71, -70, -70, -70, -67, -69, -71, -57, -68, -56, -56, -57, -57, -74, -74, -71, -69, -69, -71, -71, -70, -59, -74, -70, -70, -71, -70, -70, -70, -70, -70, -69, -68, -55, -55, -71, -71, -70, -57, -57, -70, -70, -71, -71, -71, -57, -57, -73, -73, -73, -73, -70, -58, -58, -58, -71, -71, -71, -71, -57, -57, -71, -71, -70, -70, -70, -70, -70, -70, -70, -69, -56, -56, -71, -71, -70, -70, -70, -69, -69, -69, -69, -69, -55, -68, -67, -67, -68, -70, -70, -71, -71, -69, -69, -70, -69, -67, -68, -70, -70, -70, -69, -54, -68, -69, -70, -70, -70, -70, -69, -75, -75, -75, -75, -54, -54, -68, -66, -66, -54, -69, -69, -69, -67, -67, -65, -67, -67, -66, -66, -66, -54, -66, -51, -51, -65, -65, -66, -68, -68, -54, -54, -67, -67, -68, -69, -69, -54, -54, -67, -67, -68, -67, -67, -67, -67, -67, -67, -67, -67, -67, -67, -67, -67, -67, -68, -68, -68, -67, -53, -68, 
34:bd:c8:db:1c:c5, 1, PCCW, -70, -70, -69, -70, -70, -69, -69, -71, -69, -70, -69, -70, -70, -70, -70, -70, -71, -59, -59, -69, -71, -75, -73, -84, -72, -72, -72, -72, -72, -71, -70, -70, -69, -68, -69, -71, -56, -68, -68, -70, -71, -73, -73, -71, -71, -70, -71, -70, -71, -68, -73, -74, -70, -72, -71, -69, -69, -70, -68, -70, -68, -55, -55, -70, -70, -70, -71, -71, -69, -69, -71, -72, -72, -71, -71, -74, -73, -72, -60, -60, -71, -71, -69, -69, -71, -71, -71, -71, -71, -71, -70, -70, -70, -70, -70, -70, -70, -66, -66, -69, -69, -69, -70, -70, -70, -70, -69, -69, -70, -70, -70, -68, -68, -68, -54, -54, -68, -70, -70, -70, -69, -55, -55, -67, -69, -69, -69, -69, -55, -55, -69, -54, -68, -69, -70, -71, -70, -70, -69, -75, -57, -57, -69, -69, -69, -69, -66, -67, -67, -68, -68, -68, -53, -67, -65, -67, -67, -52, -52, -66, -55, -66, -66, -66, -65, -65, -54, -67, -68, -68, -68, -68, -68, -67, -68, -67, -67, -68, -68, -67, -69, -67, -67, -66, -66, -55, -55, -67, -67, -67, -67, -69, -67, -68, -68, -68, -67, -53, -53, -68, 
00:25:84:23:20:21, 1, Universitie, -60, -47, -59, -59, -60, -59, -60, -46, -46, -59, -59, -60, -60, -60, -47, -47, -62, -62, -62, -60, -60, -62, -62, -60, -47, -61, -60, -60, -60, -62, -62, -60, -60, -60, -59, -59, -62, -62, -62, -50, -61, -59, -59, -61, -61, -61, -61, -60, -60, -62, -62, -48, -48, -60, -60, -66, -63, -65, -66, -66, -63, -65, -67, -50, -67, -66, -66, -62, -63, -63, -63, -63, -65, -53, -53, -48, -48, -48, -48, -62, -62, -68, -64, -50, -65, -64, -64, -49, -49, -67, -67, -62, -64, -63, -62, -62, -63, -63, -63, -63, -63, -48, -48, -64, -69, -66, -49, -61, -65, -65, -64, -49, -49, -64, -63, -63, -63, -63, -48, -62, -63, -63, -63, -63, -63, -62, -62, -69, -69, -65, -51, -51, -51, -51, -62, -61, -61, -61, -61, -63, -63, -63, -49, -49, -49, -49, -63, -63, -64, -47, -47, -68, -68, -63, -49, -49, -49, -49, -63, -63, -63, -64, -64, -65, -65, -62, -62, -62, -62, -62, -62, -62, -62, -62, -63, -48, -48, -63, -63, -64, -64, -64, -67, -67, -67, -67, -64, -52, -52, -50, -50, -64, -64, -64, -63, -63, -63, -63, -63, -62, 
00:25:45:a5:1e:50, 1, sMobileNet, -61, -44, -44, -44, -47, -47, -63, -47, -47, -62, -62, -62, -62, -62, -62, -62, -61, -61, -61, -61, -61, -60, -48, -48, -61, -61, -60, -45, -45, -61, -61, -60, -47, -47, -59, -59, -61, -45, -45, -50, -50, -63, -63, -61, -41, -41, -63, -63, -63, -47, -47, -47, -47, -60, -60, -60, -47, -47, -59, -59, -59, -47, -47, -59, -59, -62, -44, -44, -45, -45, -62, -62, -59, -46, -46, -45, -45, -61, -61, -63, -51, -51, -47, -47, -61, -61, -63, -50, -50, -50, -50, -60, -49, -49, -59, -59, -63, -63, -64, -48, -48, -61, -61, -63, -63, -63, -47, -47, -62, -62, -62, -50, -50, -51, -51, -62, -62, -62, -61, -61, -63, -63, -62, -49, -49, -62, -62, -64, -64, -64, -52, -52, -63, -63, -63, -50, -50, -62, -62, -62, -62, -62, -47, -47, -63, -63, -61, -49, -49, -47, -47, -47, -47, -47, -48, -48, -63, -63, -62, -51, -51, -50, -50, -63, -63, -62, -62, -63, -49, -49, -61, -61, -62, -62, -59, -48, -48, -62, -62, -62, -48, -48, -48, -60, -63, -63, -64, -48, -48, -63, -63, -64, -64, -63, -47, -47, -61, -61, -61, -46, 
00:25:84:23:1f:b0, 1, sMobileNet, -75, -75, -75, -75, -62, -62, -62, -62, -62, -62, -62, -62, 0, 0, 0, 0, -76, -61, -61, -61, -61, -61, -61, -61, -76, -76, -76, -76, -76, -76, -76, -76, -76, -76, -76, -76, -76, -76, -76, -77, -77, -77, -77, -77, -62, -62, -62, -62, -62, -62, -62, -62, 0, 0, 0, 0, 0, 0, -79, -79, -79, -79, -79, -79, -79, -79, 0, 0, 0, 0, 0, 0, 0, -62, -62, -62, -62, -62, -62, -62, -62, -62, -62, -62, -62, -62, -62, -60, -60, -76, -76, -76, -62, -62, -62, -62, -62, -62, -62, -61, -61, -77, -77, -76, -76, -76, -76, -76, -76, -76, -77, -62, -62, -76, -76, -76, -61, -61, -61, -61, -61, -61, -74, -63, -63, -74, -74, -74, -74, -74, -74, -74, -74, 0, 0, -63, -63, -63, -63, -63, -63, -63, -63, -63, -76, -76, -75, -62, -62, -76, -76, -76, -76, -76, -61, -61, -77, -77, -77, -77, -77, -77, -77, -77, 0, 0, 0, 0, 0, 0, 0, 0, -75, -75, -74, -74, -74, -75, -75, -75, -75, -75, -76, -76, -78, -78, -77, -62, -62, -62, -62, -62, -62, -62, -63, -63, -76, -76, -76, -76, 
34:bd:c8:db:1c:c3, 1, Universitie, -70, -55, -55, -55, -56, -56, -69, -57, -57, -57, -57, -71, -56, -56, -71, -71, -71, -59, -59, -70, -70, -70, -60, -60, -60, -60, -74, -58, -58, -72, -72, -72, -55, -55, -69, -69, -71, -57, -57, -69, -69, -73, -73, -73, -56, -56, -71, -71, -71, -56, -56, -56, -56, -71, -57, -57, -68, -68, -68, -68, -68, -55, -55, -70, -70, -71, -57, -57, -56, -56, -71, -71, -71, -57, -57, -57, -57, -73, -73, -73, -58, -58, -55, -55, -72, -57, -57, -58, -58, -70, -70, -70, -57, -57, -70, -70, -70, -70, -68, -56, -56, -70, -70, -69, -56, -56, -56, -56, -70, -70, -70, -54, -54, -54, -54, -54, -53, -53, -70, -70, -69, -69, -69, -55, -55, -67, -67, -69, -56, -56, -69, -69, -69, -56, -56, -56, -56, -70, -70, -70, -56, -56, -55, -55, -70, -70, -66, -53, -53, -69, -69, -68, -68, -68, -52, -52, -67, -67, -67, -53, -53, -65, -65, -66, -66, -66, -54, -54, -54, -54, -67, -67, -66, -66, -66, -53, -53, -67, -67, -66, -56, -56, -68, -68, -68, -55, -55, -53, -53, -67, -67, -68, -68, -68, -55, -55, -68, -68, -68, -56, 
