00:1f:ca:5d:4b:4f, 44, sMobileNet, -62, -61, -62, -61, -61, -60, -61, -61, -62, -66, -63, -61, -69, -59, -61, -61, -60, -62, -59, -65, -64, -60, -61, -61, -61, -60, -61, -61, -61, -62, -61, -61, -63, -60, -62, -62, -63, -60, -61, -61, -60, -59, -64, -63, -61, -61, -60, -61, -62, -61, -64, -62, -60, -64, -66, -66, -61, -62, -61, -62, -61, -60, -62, -61, -61, -61, -61, -61, -59, -61, -61, -59, -62, -60, -62, -61, -60, -61, -63, -62, -64, -63, -61, -62, -60, -64, -60, -60, -63, -61, -60, -62, -60, -59, -62, -61, -62, -60, -65, -61, -60, -59, -61, -60, -58, -60, -58, -61, -60, -59, -62, -58, -60, -60, -63, -60, -63, -59, -61, -63, -59, -60, -63, -60, -60, -62, -60, -62, -60, -61, -61, -60, -60, -61, -62, -62, -60, -61, -62, -60, -63, -59, -61, -60, -61, -61, -63, -63, -61, -60, -60, -61, -61, -64, -60, -61, -61, -60, -60, -60, -61, -59, -61, -60, -62, -61, -64, -61, -60, -63, -59, -61, -61, -62, -60, -59, -62, -61, -60, -61, -60, -63, -60, -59, -60, -61, -59, -60, -61, -61, -61, -59, -61, -61, -60, -59, -60, -60, -59, -62, -59, -61, -62, -58, -62, -63, -59, -61, -61, -61, -60, -59, -61, -59, -47, -60, -59, -60, -60, -60, -61, -61, -61, -59, -61, -59, -61, -63, -62, -61, -62, -62, -62, -63, -60, -48, -63, -61, -60, -61, -61, -61, -61, -62, -60, -58, -59, -61, -60, -61, -62, -60, -60, -60, -61, -59, -61, -62, -60, -61, -60, -59, -61, -61, -63, -61, -61, -60, -61, -60, -58, -59, -61, -59, -59, -59, -61, -61, -61, -61, -61, -64, -61, -61, -61, -64, -61, -61, -58, -62, -60, -59, -60, -60, -60, -63, -60, -59, -61, -62, 
20:aa:4b:5e:20:19, 9, Swipe, -34, -32, -33, -54, -50, -37, -51, -44, -34, -37, -35, -43, -34, -40, -43, -34, -33, -54, -32, -34, -33, -35, -58, -44, -34, -33, -33, -47, -47, -47, -45, -33, -37, -36, -39, -39, -30, -33, -34, -48, -31, -48, -34, -48, -47, -45, -34, -46, -36, -38, -48, -43, -46, -45, -45, -38, -44, -44, -51, -34, -37, -35, -35, -48, -36, -44, -34, -43, -33, -31, -45, -34, -32, -36, -45, -47, -37, -34, -34, -32, -34, -49, -39, -33, -47, -37, -52, -48, -47, -46, -47, -49, -34, -45, -45, -36, -33, -45, -34, -46, -31, -33, -32, -40, -45, -46, -33, -30, -32, -46, -48, -34, -34, -31, -45, -32, -33, -32, -33, -33, -38, -47, -45, -45, -44, -36, -34, -32, -34, -34, -34, -34, -49, -49, -34, -33, -33, -34, -46, -46, -33, -52, -46, -44, -55, -33, -30, -49, -33, -40, -49, -42, -32, -45, -44, -55, -49, -35, -54, -33, -44, -45, -45, -47, -43, -32, -32, -41, -31, -34, -44, -47, -34, -49, -34, -33, -30, -48, -32, -32, -52, -37, -45, -49, -37, -51, -36, -47, -37, -44, -47, -45, -50, -30, -49, -31, -33, -46, -44, -36, -33, -45, -50, -44, -46, -44, -35, -32, -37, -32, -34, -38, -50, -45, -44, -33, -45, -45, -33, -49, -34, -32, -44, -53, -33, -46, -46, -32, -47, -36, -48, -35, -47, -46, -34, -34, -46, -45, -36, -35, -36, -34, -49, -35, -47, -47, -49, -48, -48, -36, -49, -50, -35, -35, -49, -34, -32, -45, -32, -38, -33, -44, -32, -32, -48, -47, -46, -32, -31, -49, -49, -34, -47, -35, -46, -35, -32, -32, -34, -34, -35, -44, -47, -46, -47, -50, -30, -33, -46, -36, -46, -49, -45, -35, -33, -34, -47, -45, -46, -32, 
00:1f:ca:5d:49:b0, 1, sMobileNet, -56, -56, -56, -68, -57, -57, -70, -55, -55, -71, -71, -71, -70, -70, -70, -72, -72, -72, -73, -73, -69, -56, -56, -56, -56, -69, -69, -69, -71, -71, -73, -73, -73, -57, -57, -70, -70, -70, -56, -56, -70, -58, -58, -69, -69, -71, -58, -58, -56, -56, -69, -69, -69, -53, -53, -69, -69, -69, -53, -53, -69, -69, -71, -55, -55, -68, -68, -70, -54, -54, -56, -56, -72, -72, -69, -57, -57, -70, -70, -70, -70, -70, -55, -55, -69, -69, -69, -54, -54, -68, -68, -70, -70, -69, -56, -56, -69, -69, -69, -69, -69, -55, -55, -67, -67, -67, -67, -67, -55, -55, -66, -66, -67, -55, -55, -56, -56, -69, -69, -70, -58, -58, -54, -54, -68, -68, -70, -70, -70, -54, -54, -67, -67, -67, -67, -67, -54, -54, -54, -54, -68, -68, -68, -55, -55, -67, -67, -68, -68, -68, -54, -54, -68, -68, -69, -56, -56, -54, -54, -68, -68, -68, -54, -54, -53, -53, -67, -67, -68, -55, -55, -68, -68, -68, -68, -67, -67, -67, -52, -52, -68, -68, -67, -53, -53, -67, -67, -67, -67, -68, -55, -55, -58, -58, -67, -67, -68, -55, -55, -54, -54, -68, -68, -68, -53, -53, -57, -57, -68, -68, -68, -55, -55, -73, -73, -68, -68, -70, -54, -54, -54, -54, -68, -68, -69, -54, -54, -54, -54, -70, -70, -67, -67, -67, -59, -59, -70, -70, -69, -55, -55, -68, -68, -67, -67, -69, -69, -69, -54, -54, -54, -54, -69, -69, -68, -68, -67, -53, -53, -54, -54, -69, -69, -65, -65, -67, -67, -67, -56, -56, -54, -54, -69, -55, -55, -54, -54, -53, -53, -68, -68, -68, -55, -55, -56, -56, -71, -71, -71, -71, -69, -54, -54, -53, -53, -53, -53, -68, -68, -70, 
00:1d:aa:00:a6:30, 11, hiway, -53, -54, -51, -51, -50, -51, -55, -55, -65, -67, -69, -56, -61, -62, -53, -53, -49, -59, -57, -64, -68, -68, -48, -59, -65, -63, -63, -61, -67, -64, -65, -65, -65, -65, -59, -61, -51, -51, -52, -53, -53, -60, -61, -69, -69, -52, -44, -56, -49, -62, -50, -49, -60, -51, -69, -69, -69, -61, -71, -50, -50, -50, -49, -49, -50, -50, -50, -50, -50, -65, -54, -51, -63, -61, -61, -61, -61, -69, -49, -52, -63, -60, -50, -48, -55, -55, -55, -55, -64, -55, -63, -63, -64, -48, -46, -46, -50, -50, -47, -64, -62, -62, -52, -52, -57, -56, -66, -66, -66, -66, -66, -60, -53, -65, -53, -60, -63, -61, -54, -65, -49, -61, -63, -65, -65, -45, -49, -62, -65, -62, -62, -54, -50, -65, -65, -49, -56, -54, -54, -54, -52, -52, -56, -64, -49, -49, -49, -49, -47, -63, -65, -65, -51, -65, -53, -62, -54, -54, -54, -52, -49, -72, -48, -57, -57, -53, -46, -63, -50, -48, -48, -52, -67, -62, -62, -62, -46, -44, -44, -53, -53, -53, -53, -55, -45, -45, -58, -54, -54, -49, -69, -66, -67, -67, -57, -66, -66, -56, -61, -51, -54, -54, -54, -49, -63, -62, -51, -72, -53, -55, -62, -69, -64, -74, -66, -65, -65, -65, -52, -50, -65, -51, -52, -52, -63, -67, -63, -59, -56, -57, -57, -58, -60, -60, -49, -49, -46, -68, -68, -56, -56, -59, -59, -59, -50, -55, -65, -66, -49, -51, -63, -46, -53, -51, -49, -78, -54, -62, -58, -58, -58, -49, -52, -68, -66, -66, -61, -55, -55, -48, -49, -57, -52, -61, -49, -52, -65, -57, -50, -61, -47, -63, -46, -47, -50, -49, -56, -56, -50, -46, -46, -46, -46, -48, -56, -64, -66, -51, -53, -51, 
00:25:84:23:1e:df, 64, sMobileNet, -52, -45, -47, -47, -48, -36, -46, -48, -35, -51, -46, -48, -48, -47, -46, -46, -47, -48, -47, -51, -47, -48, -48, -48, -48, -47, -46, -48, -48, -47, -48, -47, -49, -47, -47, -48, -46, -47, -47, -47, -47, -46, -48, -46, -48, -47, -48, -45, -48, -48, -49, -47, -46, -48, -47, -53, -47, -49, -49, -48, -49, -47, -48, -47, -48, -46, -46, -47, -48, -48, -51, -35, -45, -47, -47, -47, -46, -47, -47, -48, -46, -47, -47, -47, -45, -46, -47, -45, -48, -48, -34, -46, -48, -46, -48, -46, -48, -48, -47, -47, -47, -48, -48, -46, -34, -48, -48, -46, -48, -49, -46, -35, -47, -48, -48, -48, -46, -47, -48, -48, -48, -47, -46, -47, -48, -47, -46, -46, -47, -46, -48, -47, -46, -46, -47, -46, -46, -46, -48, -35, -48, -47, -48, -48, -48, -48, -48, -47, -48, -47, -47, -48, -47, -48, -48, -48, -47, -48, -48, -47, -49, -46, -49, -49, -48, -47, -48, -48, -45, -47, -47, -45, -46, -48, -48, -48, -47, -48, -48, -46, -46, -47, -48, -47, -47, -47, -46, -48, -47, -48, -48, -49, -48, -47, -47, -48, -48, -49, -48, -48, -47, -48, -48, -47, -48, -48, -48, -47, -47, -48, -46, -47, -47, -48, -47, -47, -49, -47, -46, -48, -48, -48, -47, -48, -49, -46, -46, -48, -49, -47, -34, -48, -47, -49, -47, -47, -46, -47, -46, -47, -48, -49, -46, -49, -48, -48, -46, -48, -48, -48, -48, -48, -48, -36, -48, -46, -48, -47, -46, -49, -47, -47, -48, -48, -49, -47, -47, -48, -48, -47, -49, -48, -47, -46, -49, -48, -47, -48, -48, -48, -47, -48, -47, -47, -46, -47, -48, -36, -48, -48, -48, -49, -49, -48, -48, -46, -46, -48, -48, -50, 
34:bd:c8:db:a7:40, 1, sMobileNet, -32, -32, -32, -48, -34, -34, -48, -34, -34, -46, -32, -32, -47, -47, -47, -35, -35, -50, -35, -35, -49, -49, -49, -34, -34, -46, -46, -48, -34, -34, -48, -48, -48, -35, -35, -54, -37, -37, -36, -36, -48, -37, -37, -48, -48, -46, -46, -46, -35, -35, -48, -48, -47, -47, -47, -32, -32, -50, -35, -35, -49, -49, -50, -50, -50, -48, -48, -52, -52, -52, -37, -37, -47, -47, -50, -50, -50, -36, -36, -50, -50, -49, -34, -34, -48, -48, -48, -35, -35, -34, -34, -47, -47, -49, -49, -49, -36, -36, -49, -49, -48, -35, -35, -34, -34, -47, -47, -45, -33, -33, -33, -33, -49, -49, -47, -35, -35, -47, -47, -47, -47, -47, -35, -35, -49, -49, -49, -49, -49, -36, -36, -35, -35, -49, -49, -53, -34, -34, -35, -35, -48, -48, -49, -37, -37, -48, -48, -49, -49, -46, -36, -36, -48, -48, -48, -37, -37, -34, -34, -49, -49, -48, -48, -48, -33, -33, -47, -47, -49, -49, -49, -35, -35, -49, -49, -49, -49, -48, -35, -35, -49, -49, -48, -48, -48, -33, -33, -54, -54, -48, -48, -48, -35, -35, -34, -34, -49, -49, -49, -36, -36, -36, -36, -49, -36, -36, -34, -34, -47, -47, -49, -35, -35, -36, -36, -36, -36, -49, -49, -49, -35, -35, -47, -47, -47, -47, -49, -35, -35, -33, -33, -46, -46, -46, -38, -38, -49, -49, -51, -36, -51, -39, -39, -48, -48, -48, -48, -48, -48, -48, -36, -36, -36, -36, -49, -49, -49, -49, -50, -34, -34, -35, -35, -49, -49, -49, -49, -49, -49, -49, -35, -35, -47, -47, -47, -32, -49, -34, -34, -48, -48, -47, -47, -47, -37, -37, -37, -37, -50, -50, -50, -50, -48, -34, -34, -34, -34, -35, -35, -51, 
34:bd:c8:db:1e:cf, 40, sMobileNet, -58, -56, -60, -61, -59, -58, -58, -61, -57, -60, -60, -55, -58, -58, -58, -55, -58, -58, -59, -59, -58, -57, -60, -60, -58, -57, -60, -57, -61, -60, -61, -62, -61, -57, -61, -61, -59, -60, -61, -60, -60, -55, -58, -56, -57, -57, -59, -59, -57, -59, -58, -58, -58, -59, -56, -62, -60, -58, -58, -57, -57, -59, -58, -57, -58, -60, -58, -58, -60, -61, -61, -61, -59, -61, -61, -59, -59, -58, -59, -60, -58, -58, -58, -57, -58, -58, -60, -59, -59, -60, -59, -60, -57, -60, -60, -58, -57, -57, -57, -59, -58, -59, -60, -57, -59, -57, -56, -58, -56, -58, -58, -58, -60, -60, -62, -59, -58, -59, -57, -59, -57, -61, -59, -58, -59, -59, -58, -59, -57, -58, -59, -59, -59, -55, -59, -61, -59, -59, -58, -58, -57, -59, -58, -60, -59, -59, -61, -60, -58, -57, -57, -57, -60, -59, -58, -60, -60, -60, -58, -58, -58, -58, -60, -59, -58, -58, -59, -60, -58, -58, -58, -56, -60, -58, -60, -57, -57, -57, -59, -58, -58, -59, -59, -60, -57, -57, -59, -60, -55, -57, -61, -60, -57, -58, -59, -58, -59, -59, -59, -57, -57, -60, -59, -60, -60, -57, -57, -57, -57, -57, -58, -56, -59, -58, -57, -57, -59, -58, -59, -58, -60, -58, -60, -57, -60, -57, -59, -59, -60, -56, -56, -58, -59, -59, -60, -55, -57, -57, -59, -62, -59, -57, -59, -58, -59, -59, -57, -59, -57, -56, -58, -57, -57, -55, -58, -61, -59, -58, -57, -58, -56, -59, -57, -59, -55, -56, -58, -59, -58, -59, -60, -57, -56, -59, -59, -59, -59, -58, -55, -58, -59, -59, -62, -59, -57, -60, -57, -59, -57, -58, -59, -59, -57, -57, -58, -57, -59, -58, -58, -59, 
20:aa:4b:5e:20:1b, 44, Swipe, -60, -59, -61, -61, -62, -60, -59, -59, -62, -62, -60, -61, -61, -60, -61, -60, -61, -61, -59, -60, -61, -59, -60, -61, -58, -61, -60, -62, -61, -60, -60, -61, -61, -58, -61, -61, -61, -61, -60, -61, -59, -64, -60, -59, -60, -61, -60, -59, -60, -60, -60, -62, -60, -59, -60, -61, -61, -60, -61, -58, -60, -59, -60, -60, -60, -59, -61, -61, -59, -64, -60, -61, -61, -60, -61, -59, -59, -60, -59, -60, -59, -62, -60, -60, -59, -59, -60, -59, -61, -59, -60, -61, -59, -60, -59, -65, -63, -59, -59, -59, -61, -58, -60, -60, -58, -61, -59, -59, -58, -61, -58, -60, -61, -60, -62, -60, -60, -60, -59, -60, -59, -60, -60, -60, -58, -63, -60, -60, -60, -60, -60, -58, -59, -60, -60, -60, -59, -59, -61, -58, -61, -59, -61, -59, -59, -59, -60, -59, -59, -62, -60, -60, -61, -60, -59, -62, -62, -60, -61, -60, -60, -59, -59, -60, -62, -61, -61, -59, -59, -59, -58, -59, -60, -60, -60, -58, -59, -64, -58, -62, -60, -59, -58, -59, -62, -60, -59, -59, -60, -59, -59, -58, -58, -59, -59, -59, -59, -59, -59, -59, -59, -59, -61, -61, -60, -59, -59, -59, -64, -60, -60, -61, -61, -60, -59, -59, -59, -59, -59, -59, -59, -59, -60, -60, -59, -59, -62, -59, -59, -59, -59, -59, -59, -61, -59, -60, -59, -59, -60, -61, -59, -59, -60, -59, -61, -59, -60, -59, -58, -58, -61, -58, -59, -60, -59, -59, -60, -59, -62, -60, -58, -61, -63, -59, -59, -60, -59, -60, -60, -59, -60, -60, -59, -60, -60, -60, -61, -59, -61, -60, -60, -60, -61, -61, -60, -61, -60, -61, -60, -61, -61, -61, -61, -59, -61, -62, -59, -60, -60, -60, 
dc:9f:db:0e:c0:b6, 1, , -80, -76, -49, -51, -66, -47, -51, -49, -48, -52, -49, -51, -48, -86, -86, -89, -34, -34, -76, -70, -67, -49, -65, -40, -69, -65, -63, -64, -62, -48, -49, -49, -37, -41, -49, -42, -51, -67, -67, -71, -65, -68, -36, -64, -52, -48, -49, -76, -36, -65, -61, -68, -67, -66, -64, -49, -61, -62, -49, -48, -78, -76, -52, -50, -49, -66, -58, -36, -36, -54, -48, -52, -39, -43, -56, -67, -64, -64, -40, -64, -64, -63, -63, -76, -49, -35, -53, -66, -70, -72, -41, -66, -68, -49, -49, -75, -69, -69, -66, -70, -63, -62, -48, -48, -49, -36, -33, -45, -50, -74, -70, -63, -65, -63, -52, -51, -51, -51, -52, -38, -52, -36, -63, -63, -54, -50, -49, -76, -53, -65, -74, -71, -36, -62, -63, -51, -50, -41, -51, -74, -51, -64, -40, -63, -50, -50, -49, -85, -42, -52, -64, -65, -41, -62, -63, -49, -49, -38, -81, -66, -66, -65, -67, -36, -62, -53, -62, -51, -75, -78, -64, -49, -49, -67, -38, -38, -51, -49, -79, -86, -54, -55, -52, -68, -65, -62, -54, -53, -33, -37, -84, -49, -63, -65, -63, -62, -62, -64, -52, -35, -35, -65, -52, -68, -66, -43, -49, -54, -52, -50, -76, -36, -48, -53, -40, -63, -62, -62, -51, -49, -80, -55, -57, -70, -39, -63, -62, -54, -51, -35, -52, -52, -62, -54, -65, -65, -63, -61, -53, -51, -78, -85, -54, -64, -64, -43, -63, -48, -50, -50, -63, -52, -51, -68, -64, -66, -51, -48, -33, -62, -63, -48, -82, -52, -62, -47, -50, -52, -52, -64, -36, -82, -62, -56, -54, -54, -40, -40, -68, -62, -48, -64, -36, -48, -67, -78, -53, -49, -66, -39, -62, -62, -62, -69, -81, -62, -62, -63, -63, -47, 
00:25:84:86:7b:9f, 149, sMobileNet, -57, -60, -57, -58, -58, -57, -61, -58, -58, -59, -58, -59, -58, -59, -62, -58, -59, -59, -57, -58, -58, -58, -59, -58, -61, -59, -58, -59, -61, -57, -60, -58, -60, -57, -58, -62, -59, -59, -59, -59, -57, -59, -59, -58, -58, -59, -57, -61, -59, -58, -58, -59, -59, -57, -59, -59, -59, -62, -60, -58, -58, -58, -57, -58, -60, -58, -58, -60, -59, -59, -61, -59, -58, -60, -60, -58, -59, -58, -59, -58, -57, -60, -58, -59, -58, -59, -58, -58, -58, -58, -58, -58, -58, -59, -61, -58, -59, -58, -61, -59, -61, -57, -61, -60, -57, -58, -57, -59, -57, -61, -61, -58, -60, -60, -56, -57, -57, -57, -58, -58, -59, -58, -58, -59, -59, -58, -59, -59, -58, -58, -59, -57, -57, -57, -57, -58, -58, -59, -57, -59, -59, -57, -58, -58, -57, -57, -62, -58, -58, -59, -60, -57, -58, -58, -59, -59, -59, -57, -58, -58, -58, -59, -57, -57, -62, -58, -56, -59, -58, -58, -58, -59, -59, -58, -56, -58, -59, -58, -59, -59, -59, -57, -59, -58, -60, -57, -58, -58, -59, -57, -59, -59, -57, -58, -58, -57, -58, -58, -58, -58, -58, -59, -58, -59, -57, -60, -59, -58, -57, -58, -58, -57, -59, -61, -58, -58, -57, -58, -58, -60, -58, -58, -58, -58, -58, -58, -58, -60, -58, -57, -56, -58, -57, -59, -58, -59, -58, -58, -58, -57, -57, -57, -59, -59, -59, -60, -57, -57, -56, -59, -61, -59, -59, -59, -57, -57, -59, -59, -58, -58, -58, -58, -58, -59, -59, -58, -57, -59, -60, -57, -58, -60, -58, -60, -60, -58, -58, -59, -58, -58, -60, -59, -58, -57, -57, -57, -57, -57, -57, -57, -57, -57, -58, -55, -59, -59, -58, -59, -58, -59, 
