00:25:84:22:fa:3f, 161, sMobileNet, -76, -70, -70, -72, -62, -62, -64, -64, -71, -71, -71, -71, -71, -74, -69, -69, -73, -73, -73, -65, -65, -75, -67, -67, -65, -65, -74, -67, -67, -63, -63, -71, -71, -71, -67, -67, -75, -75, -72, -67, -67, -73, -73, -73, -76, -76, -75, -75, -75, -76, -76, -73, -73, -74, -68, -68, -79, -79, -76, -68, -68, -74, -74, -74, -66, -66, -73, -73, -71, -71, -74, -66, -66, -71, -71, -75, -75, -75, -75, -75, -73, -66, -66, -72, -72, -72, -72, -72, -63, -63, -71, -71, -72, -65, -65, -73, -73, -70, -62, -62, -72, -72, -70, -63, -63, -72, -72, -72, -72, -72, -72, -72, -71, -63, -63, -74, -74, -74, -74, -74, -65, -65, -71, -71, -69, -62, -62, -72, -72, -71, -71, -72, -64, -64, -64, -64, -71, -71, -71, -65, -65, -65, -65, -70, -70, -70, -62, -62, -69, -69, -71, -71, -71, -67, -67, -71, -71, -70, -63, -63, -69, -69, -72, -66, -66, -71, -71, -72, -72, -72, -61, -61, -63, -63, -63, -63, -70, -63, -63, -68, -68, -72, -60, -60, -61, -61, -69, -69, -71, -63, -63, -72, -72, -76, -76, -78, -65, -65, -73, -73, 
00:25:45:a5:35:61, 6, Universitie, -68, -68, -68, -51, -51, -51, -50, -50, -64, -64, -64, -64, -64, -66, -66, -66, -63, -63, -65, -49, -49, -64, -64, -64, -51, -51, -65, -65, -66, -49, -49, -63, -63, -63, -49, -49, -63, -63, -65, -49, -49, -66, -66, -66, -51, -51, -66, -66, -65, -47, -47, -67, -67, -65, -52, -52, -53, -53, -67, -50, -50, -67, -67, -65, -65, -65, -53, -53, -70, -70, -64, -52, -52, -58, -58, -64, -64, -64, -64, -64, -65, -65, -65, -49, -49, -49, -49, -49, -50, -50, -67, -67, -65, -53, -53, -67, -67, -70, -70, -70, -49, -49, -67, -52, -52, -66, -66, -67, -67, -67, -50, -50, -63, -48, -48, -64, -64, -62, -62, -65, -47, -47, -47, -47, -67, -50, -50, -51, -51, -66, -66, -66, -66, -66, -50, -50, -64, -64, -64, -47, -47, -50, -50, -67, -67, -65, -50, -50, -51, -51, -63, -63, -65, -53, -53, -66, -66, -65, -65, -65, -50, -50, -64, -64, -64, -52, -52, -52, -52, -64, -50, -50, -53, -53, -66, -66, -66, -53, -53, -67, -67, -66, -66, -66, -48, -48, -64, -64, -65, -55, -55, -53, -53, -69, -69, -67, -67, -67, -53, -53, 
00:25:45:a5:1e:50, 1, sMobileNet, -36, -36, -36, -32, -32, -47, -32, -32, -32, -32, -45, -33, -33, -46, -46, -47, -34, -34, -45, -45, -45, -45, -45, -47, -47, -47, -34, -34, -53, -53, -53, -36, -36, -48, -48, -48, -32, -32, -51, -51, -51, -37, -37, -53, -39, -39, -47, -47, -48, -32, -32, -34, -34, -49, -49, -56, -40, -40, -38, -38, -49, -35, -35, -48, -48, -48, -37, -37, -36, -36, -48, -48, -50, -42, -42, -47, -47, -48, -32, -32, -33, -33, -47, -31, -31, -50, -50, -39, -39, -39, -44, -44, -59, -59, -56, -41, -41, -49, -49, -34, -33, -33, -31, -31, -31, -34, -34, -47, -47, -48, -33, -33, -48, -48, -49, -34, -34, -47, -47, -47, -47, -47, -36, -36, -54, -54, -48, -48, -48, -33, -33, -50, -50, -48, -48, -48, -33, -33, -47, -47, -59, -35, -35, -35, -35, -46, -46, -47, -33, -33, -33, -33, -46, -46, -47, -34, -34, -49, -49, -49, -49, -49, -49, -49, -51, -51, -51, -34, -34, -49, -49, -53, -53, -53, -38, -38, -50, -50, -49, -35, -35, -51, -51, -51, -51, -51, -36, -36, -49, -49, -51, -41, -41, -32, -32, -47, -47, -49, -49, -49, 
00:25:45:a5:35:6f, 153, sMobileNet, -71, -71, -77, -77, -77, -78, -78, -75, -77, -77, -76, -76, -75, -82, -82, -80, -75, -75, -75, -77, -77, -81, -81, -79, -76, -76, -73, -78, -74, -75, -76, -70, -70, -80, -80, -75, -73, -73, -79, -79, -77, -72, -76, -77, -78, -78, -79, -76, -75, -78, -78, -76, -76, -81, -81, -82, -72, -72, -83, -83, -83, -75, -75, -79, -79, -79, -74, -74, -73, -75, -78, -71, -84, -68, -75, -72, -75, -74, -76, -75, -76, -75, -75, -74, -77, -78, -78, -76, -76, -77, -78, -79, -78, -78, -80, -73, -73, -75, -75, -76, -75, -75, -75, -75, -75, -74, -75, -75, -75, -77, -75, -76, -75, -75, -77, -74, -76, -77, -75, -76, -76, -75, -76, -76, -74, -75, -77, -72, -78, -76, -76, -76, -75, -66, -75, -74, -75, -75, -83, -79, -77, -75, -75, -76, -75, -76, -73, -75, -75, -75, -74, -78, -80, -80, -78, -75, -76, -76, -76, -75, -75, -75, -76, -76, -75, -74, -75, -77, -76, -75, -78, -76, -76, -75, -76, -75, -74, -74, -76, -76, -76, -75, -75, -77, -75, -76, -76, -76, -78, -78, -81, -77, -76, -70, -76, -82, -82, -86, -86, -75, 
00:25:45:a5:1e:5f, 48, sMobileNet, -72, -69, -69, -70, -70, -71, -71, -70, -69, -66, -67, -68, -68, -71, -71, -70, -70, -71, -70, -69, -71, -68, -71, -70, -70, -57, -69, -70, -70, -69, -68, -69, -69, -69, -71, -68, -73, -71, -72, -71, -68, -70, -70, -70, -70, -67, -68, -69, -68, -69, -60, -70, -68, -68, -68, -70, -70, -68, -70, -67, -65, -69, -69, -69, -68, -66, -69, -72, -73, -63, -73, -69, -62, -69, -68, -69, -70, -65, -67, -67, -69, -68, -66, -65, -66, -72, -70, -70, -70, -63, -63, -76, -76, -73, -74, -72, -73, -64, -68, -65, -68, -66, -65, -66, -69, -66, -66, -67, -70, -67, -71, -67, -67, -68, -68, -66, -66, -66, -66, -68, -66, -67, -72, -70, -71, -66, -68, -65, -67, -67, -67, -66, -71, -66, -66, -66, -67, -67, -69, -67, -64, -65, -66, -66, -66, -66, -68, -68, -66, -70, -68, -70, -67, -64, -54, -67, -67, -68, -68, -65, -69, -73, -70, -72, -70, -68, -70, -71, -72, -70, -73, -73, -73, -62, -62, -72, -69, -68, -69, -66, -69, -67, -66, -65, -68, -68, -68, -71, -66, -73, -69, -70, -66, -69, -69, -67, -69, -67, -67, -70, 
00:25:45:a5:1e:5e, 48, Universitie, -70, -69, -69, -69, -70, -71, -58, -70, -69, -68, -69, -67, -69, -70, -71, -71, -73, -69, -70, -70, -69, -68, -71, -69, -56, -56, -70, -68, -69, -68, -68, -68, -68, -71, -71, -68, -72, -70, -72, -69, -71, -69, -69, -69, -69, -67, -68, -69, -68, -69, -69, -70, -68, -68, -68, -70, -61, -67, -71, -68, -65, -67, -69, -68, -67, -67, -68, -72, -73, -65, -72, -69, -76, -68, -69, -69, -70, -66, -67, -67, -67, -67, -66, -65, -66, -71, -71, -70, -70, -70, -62, -62, -75, -74, -74, -71, -74, -64, -68, -66, -66, -65, -66, -66, -68, -65, -65, -66, -70, -67, -71, -68, -67, -67, -67, -65, -65, -65, -65, -67, -66, -69, -71, -69, -71, -67, -68, -66, -68, -66, -68, -67, -71, -66, -65, -65, -66, -67, -69, -67, -65, -66, -66, -65, -66, -65, -66, -68, -66, -67, -67, -68, -66, -64, -68, -66, -69, -68, -67, -66, -69, -72, -68, -73, -72, -68, -70, -71, -72, -69, -69, -69, -59, -59, -66, -66, -69, -67, -68, -67, -68, -69, -66, -67, -67, -69, -65, -71, -66, -73, -71, -70, -67, -69, -68, -68, -68, -68, -67, -69, 
00:25:84:23:1f:b0, 1, sMobileNet, -33, -33, -33, -32, -32, -47, -31, -31, -44, -44, -45, -31, -31, -45, -45, -45, -45, -45, -45, -32, -32, -46, -46, -44, -31, -31, -47, -47, -46, -32, -32, -45, -45, -46, -46, -46, -34, -34, -43, -43, -43, -31, -31, -46, -34, -34, -43, -43, -45, -31, -31, -45, -45, -45, -45, -45, -31, -31, -31, -31, -31, -31, -31, -44, -44, -43, -28, -28, -31, -31, -47, -47, -46, -32, -32, -47, -47, -45, -32, -32, -31, -31, -45, -31, -31, -46, -46, -44, -33, -33, -31, -31, -46, -46, -46, -32, -32, -44, -44, -46, -30, -30, -45, -45, -45, -32, -32, -45, -45, -50, -50, -50, -45, -45, -45, -32, -32, -47, -47, -46, -46, -46, -46, -46, -48, -48, -47, -34, -34, -29, -29, -44, -44, -45, -30, -30, -31, -31, -44, -44, -44, -31, -31, -32, -32, -44, -44, -44, -31, -31, -44, -44, -40, -40, -44, -31, -31, -45, -45, -45, -31, -31, -47, -47, -47, -34, -34, -32, -32, -46, -46, -46, -33, -33, -33, -33, -47, -47, -46, -32, -32, -45, -45, -45, -45, -45, -33, -33, -47, -47, -45, -32, -32, -28, -28, -43, -43, -43, -31, -31, 
00:25:84:22:f7:a1, 1, Universitie, -72, -54, -54, -55, -56, -56, -69, -69, -70, -52, -52, -52, -52, -52, -52, -52, -52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -66, -66, -66, -66, -66, -69, -69, -67, -57, -57, -71, -71, -68, -56, -56, -55, -55, -55, -55, -55, -68, -68, -68, -68, -69, -55, -55, -67, -67, -69, -69, -69, -53, -53, -70, -70, -67, -57, -57, -66, -66, -66, -60, -60, -60, -60, -60, -60, -60, -71, -71, -71, -58, -58, -58, -58, -70, -70, -68, -56, -56, -56, -56, -56, -58, -58, -69, -69, -69, -69, -70, -70, -71, -58, -58, -70, -70, -70, -58, -58, -58, -58, -69, -69, -70, -61, -61, -69, -69, -69, -69, -69, -56, -56, -68, -68, -71, -71, -71, -56, -56, -70, -70, -67, -67, -67, -67, -67, -67, -67, -67, 0, 0, 0, -56, -56, -70, -70, -70, -70, -70, -70, -70, -73, -73, -73, -58, -58, -73, -73, -73, -73, -73, -63, -63, -71, -71, -70, -70, -70, -59, -59, -71, -71, -69, -60, -60, -74, -74, -74, -74, -74, -57, -57, -71, -71, -71, -71, -71, -57, 
00:25:84:23:20:61, 6, Universitie, -62, -62, -62, -51, -51, -51, -51, -51, -63, -63, -62, -48, -48, -64, -64, -64, -65, -65, -63, -49, -49, -67, -67, -63, -49, -49, -63, -63, -64, -48, -48, -63, -63, -64, -49, -49, -54, -54, -63, -63, -63, -64, -64, -64, -49, -49, -64, -64, -67, -51, -51, -66, -66, -62, -62, -62, -47, -47, -65, -65, -65, -48, -48, -64, -64, -63, -48, -48, -62, -62, -65, -65, -65, -47, -47, -63, -63, -63, -49, -49, -62, -62, -63, -48, -48, -65, -65, -68, -52, -52, -63, -63, -64, -64, -64, -49, -49, -63, -63, -67, -49, -49, -61, -61, -61, -50, -50, -65, -65, -64, -64, -64, -63, -63, -63, -48, -48, -64, -64, -64, -64, -64, -48, -48, -65, -65, -67, -50, -50, -50, -50, -66, -66, -63, -47, -47, -48, -48, -65, -65, -65, -51, -51, -63, -63, -64, -64, -64, -64, -64, -65, -65, -66, -66, -66, -51, -51, -65, -65, -64, -48, -48, -61, -61, -66, -49, -49, -66, -66, -66, -66, -65, -50, -50, -61, -61, -62, -62, -62, -49, -49, -63, -63, -65, -47, -47, -47, -47, -63, -49, -63, -48, -48, -50, -50, -64, -64, -65, -52, -52, 
00:25:84:23:1d:71, 11, Universitie, -34, -34, -49, -36, -36, -48, -48, -48, -35, -35, -49, -49, -47, -49, -49, -48, -34, -34, -48, -48, -48, -36, -36, -36, -36, -36, -36, -36, -53, -53, -50, -37, -37, -50, -50, -49, -37, -37, -49, -49, -51, -39, -39, -49, -49, -49, -37, -37, -51, -51, -49, -38, -38, -48, -48, -48, -48, -48, -35, -35, -48, -35, -35, -36, -36, -51, -51, -51, -35, -35, -50, -50, -49, -37, -37, -37, -37, -48, -37, -37, -36, -36, -38, -38, -38, -35, -35, -49, -49, -49, -36, -36, -49, -49, -48, -35, -35, -49, -49, -49, -49, -49, -35, -35, -48, -35, -35, -36, -36, -49, -35, -35, -49, -49, -48, -36, -36, -36, -36, -47, -47, -49, -35, -35, -49, -49, -50, -50, -49, -34, -34, -49, -49, -50, -50, -50, -36, -36, -50, -50, -52, -35, -35, -40, -40, -51, -51, -52, -52, -52, -36, -36, -51, -51, -50, -35, -35, -50, -50, -51, -51, -51, -37, -37, -53, -53, -55, -43, -43, -51, -51, -49, -49, -49, -35, -35, -52, -52, -51, -39, -39, -38, -38, -50, -50, -50, -37, -37, -50, -50, -51, -51, -51, -36, -36, -50, -50, -51, -51, -51, 
