00:1f:ca:5d:49:bf, 161, sMobileNet, -38, -37, -38, -39, -38, -39, -38, -39, -39, -38, -38, -38, -38, -39, -40, -39, -39, -38, -38, -37, -38, -37, -39, -40, -39, -38, -38, -38, -40, -38, -41, -42, -38, -38, -37, -38, -39, -38, -38, -38, -39, -39, -39, -39, -37, -37, -44, -36, -37, -36, -37, -38, -38, -38, -38, -39, -37, -38, -39, -37, -39, -37, -37, -38, -38, -38, -37, -40, -37, -38, -37, -38, -40, -38, -39, -39, -38, -39, -39, -38, -38, -39, -39, -38, -38, -37, -37, -40, -38, -37, -40, -39, -38, -38, -37, -38, -40, -37, -39, -39, -38, -43, -39, -38, -42, -39, -37, -43, -41, -41, -61, -39, -37, -37, -37, -37, -38, -40, -39, -40, -42, -40, -39, -39, -40, -41, -41, -40, -40, -40, -39, -41, -43, -41, -42, -40, -39, -41, -40, -40, -41, -40, -43, -38, -40, -41, -41, -41, -40, -40, -40, -41, -40, -42, -40, -42, -40, -40, -41, -40, -40, -41, -40, -40, -40, -40, -40, -40, -40, -39, -39, -41, -39, -40, -40, -41, -39, -39, -42, -40, -40, -40, -39, -40, -40, -41, -39, -40, -40, -40, -39, -40, -40, -40, -40, -40, -41, -39, -40, -40, -40, -39, -40, -39, -40, -41, -40, -42, -39, -40, -41, -41, -40, -41, -40, -40, -41, -40, -42, -40, -39, -39, -39, -43, -41, -40, -41, -40, -44, -39, -39, -41, -41, -40, -39, -43, -44, -41, -39, -41, -41, -39, -40, -38, -41, -41, -37, -39, -40, -40, -41, -39, -40, -40, -40, -40, -41, -41, -40, -40, -43, -41, -39, -40, -40, -40, -39, -40, -40, -41, -40, -40, -41, -41, -40, -40, -40, -41, -39, -41, -39, -39, -38, -40, -38, -39, -39, -42, -40, -39, -39, -40, -40, -41, -39, -40, -40, -39, -40, -39, 
00:1f:ca:5d:4b:4f, 44, sMobileNet, -61, -62, -63, -63, -64, -63, -64, -62, -63, -64, -63, -65, -62, -65, -65, -64, -62, -64, -63, -63, -65, -63, -63, -64, -61, -64, -63, -63, -63, -65, -64, -63, -61, -62, -64, -63, -63, -62, -64, -65, -63, -64, -63, -64, -63, -63, -66, -64, -64, -64, -66, -65, -63, -64, -64, -64, -64, -65, -64, -64, -64, -65, -64, -65, -63, -66, -65, -64, -65, -64, -65, -65, -63, -65, -63, -63, -63, -65, -66, -63, -66, -61, -63, -62, -62, -62, -62, -61, -62, -67, -66, -63, -67, -62, -63, -63, -64, -65, -63, -64, -65, -66, -53, -63, -69, -64, -65, -65, -65, -63, -65, -65, -66, -65, -64, -64, -63, -65, -65, -64, -64, -64, -65, -65, -63, -65, -63, -64, -62, -64, -64, -66, -64, -66, -64, -63, -65, -52, -52, -64, -65, -66, -66, -63, -52, -63, -65, -64, -65, -61, -65, -62, -64, -62, -63, -63, -62, -62, -63, -63, -62, -65, -64, -63, -63, -62, -63, -64, -62, -64, -63, -63, -63, -63, -63, -63, -62, -63, -63, -63, -63, -65, -63, -63, -65, -63, -63, -63, -63, -63, -62, -63, -62, -62, -63, -63, -63, -65, -64, -65, -63, -63, -63, -65, -63, -63, -65, -53, -67, -63, -62, -64, -65, -63, -62, -63, -64, -63, -63, -63, -64, -63, -65, -53, -53, -63, -63, -66, -64, -65, -62, -64, -66, -65, -65, -66, -63, -53, -64, -62, -64, -62, -62, -65, -62, -64, -64, -63, -64, -64, -61, -63, -65, -65, -65, -64, -65, -64, -65, -62, -63, -62, -62, -65, -65, -63, -64, -65, -64, -63, -63, -65, -64, -64, -64, -63, -62, -63, -64, -62, -62, -64, -64, -62, -65, -63, -64, -64, -64, -65, -65, -62, -63, -65, -64, -62, -62, -64, -64, -62, 
00:25:84:22:f7:f4, 1, eduroam, -50, -50, -50, -63, -63, -64, -49, -49, -49, -63, -63, -63, -50, -50, -62, -62, -63, -50, -50, -63, -63, -63, -48, -48, -63, -63, -64, -62, -62, -63, -63, -63, -49, -49, -63, -63, -63, -49, -49, -63, -63, -62, -50, -50, -64, -64, -64, -51, -51, -63, -63, -62, -49, -49, -63, -63, -62, -49, -49, -48, -48, -67, -51, -51, -51, -51, -63, -50, -50, -49, -49, -63, -63, -64, -49, -49, -49, -49, -65, -65, -63, -48, -48, -62, -62, -63, -63, -63, -49, -49, -49, -53, -53, -64, -64, -63, -52, -52, -63, -63, -63, -63, -64, -50, -50, -51, -51, -65, -65, -66, -66, -66, -50, -50, -48, -48, -63, -63, -61, -50, -50, -62, -62, -62, -62, -63, -63, -63, -50, -50, -63, -63, -62, -62, -62, -62, -62, -62, -48, -48, -48, -48, -48, -48, -62, -62, -62, -61, -61, -62, -62, -60, -47, -47, -61, -61, -62, -62, -62, -62, -62, -62, -62, -61, -61, -61, -47, -47, -61, -62, -62, -61, -61, -62, -62, -61, -61, -61, -48, -48, -49, -49, -62, -62, -62, -62, -48, -47, -47, -48, -48, -62, -62, -63, -63, -62, -48, -48, -61, -61, -61, -48, -61, -47, -47, -61, -61, -62, -62, -62, -49, -49, -47, -47, -62, -62, -61, -48, -48, -61, -61, -61, -61, -61, -61, -61, -48, -48, -48, -48, -61, -64, -60, -60, -60, -47, -47, -61, -62, -62, -61, -62, -47, -47, -48, -48, -61, -61, -62, -54, -54, -52, -52, -49, -49, -46, -46, -62, -62, -62, -48, -48, -61, -61, -61, -61, -66, -66, -66, -47, -61, -47, -47, -61, -61, -61, -61, -62, -48, -48, -45, -45, -47, -47, -61, -61, -61, -61, -60, -60, -60, -48, -48, -60, -60, -60, -60, -60, -60, -61, 
dc:9f:db:0e:c0:b6, 1, , -66, -62, -62, -62, -62, -62, -62, -62, -62, 0, 0, 0, -64, -64, -81, -79, -81, -66, -66, -68, -68, -80, -80, -80, -80, -80, -80, -63, -63, -81, -79, -79, -79, -79, -64, -65, -65, -76, -76, -76, -65, -65, -80, -77, -77, -81, -81, -65, -64, -66, -67, -78, -78, -78, -66, -66, -66, -80, -81, -81, -66, -64, -64, -64, -64, -64, -64, -64, -64, 0, 0, -80, -80, -80, -67, -64, -64, -82, -82, -82, -79, -79, -80, -79, -79, -79, -79, -79, -79, -79, -79, -80, -66, -66, -66, -76, -77, -78, -78, -77, -65, -65, -65, -65, -65, -65, -80, -82, -63, -63, -63, -63, -63, -64, -80, -79, -64, -66, -64, -65, -65, -65, -65, -64, -64, -78, -78, -78, -66, -62, -62, -77, -64, -64, -64, -64, -64, -64, -64, -65, -63, -79, -79, -79, -65, -63, -63, -79, -79, -79, -60, -75, -81, -81, -81, -66, -66, -66, -66, -66, -66, -68, -64, -77, -77, -65, -65, -65, -65, -65, -81, -78, -65, -65, -65, -78, -78, -78, -78, -78, -79, -63, -64, -64, -64, -64, -64, -64, -79, -78, -65, -59, -59, -59, -78, -64, -64, -64, -77, -80, -66, -64, -64, -76, -78, -63, -80, -80, -75, -74, -65, -65, -65, -77, -65, -65, -66, -66, -66, -77, -76, -65, -65, -80, -80, -80, -64, -77, -77, -77, -66, -79, -80, -80, -62, -62, -78, -77, -65, -77, -64, -65, -78, -78, -68, -66, -77, -77, -75, -75, -75, -79, -65, -65, -80, -65, -65, -62, -76, -64, -64, -64, -64, -64, -81, -77, -67, -78, -78, -78, -78, -78, -78, -77, -66, -66, -78, -78, -66, -66, -66, -78, -61, -61, -61, -61, -61, -61, -61, -61, -62, -62, -80, -80, -80, -80, -80, -80, -67, -65, 
04:4f:aa:0c:43:18, 11, , -73, -80, -72, -77, -70, -70, -71, -74, -71, -73, -75, -72, -74, -68, -80, -68, -69, -70, -56, -71, -62, -73, -69, -69, -73, -69, -70, -68, -63, -58, -72, -76, -68, -74, -72, -70, -70, -75, -71, -72, -72, -71, -74, -72, -69, -70, -74, -57, -60, -56, -71, -58, -71, -66, -75, -66, -69, -70, -69, -68, -69, -69, -55, -61, -67, -69, -60, -60, -67, -74, -67, -75, -70, -75, -68, -67, -73, -76, -71, -51, -68, -72, -70, -66, -73, -63, -71, -78, -71, -71, -61, -58, -69, -79, -70, -74, -69, -74, -72, -71, -67, -56, -70, -73, -68, -74, -77, -67, -73, -72, -69, -73, -59, -67, -66, -53, -77, -69, -68, -61, -63, -67, -68, -70, -67, -67, -67, -72, -72, -53, -59, -69, -66, -65, -63, -71, -66, -67, -68, -66, -59, -56, -58, -62, -73, -74, -71, -69, -71, -70, -68, -57, -70, -69, -59, -76, -71, -73, -68, -73, -71, -69, -74, -70, -74, -71, -70, -73, -84, -68, -69, -74, -68, -76, -58, -73, -70, -69, -74, -66, -70, -79, -70, -56, -73, -71, -72, -72, -76, -68, -71, -69, -73, -61, -68, -59, -68, -69, -73, -65, -73, -70, -66, -58, -68, -70, -71, -77, -69, -71, -70, -72, -62, -73, -68, -70, -70, -72, -71, -73, -70, -67, -59, -70, -67, -67, -71, -72, -69, -72, -69, -70, -69, -68, -67, -76, -71, -68, -70, -78, -75, -73, -69, -71, -68, -70, -71, -68, -59, -79, -69, -69, -68, -73, -66, -68, -68, -71, -72, -60, -70, -75, -68, -63, -64, -65, -58, -71, -58, -70, -67, -69, -69, -71, -52, -67, -67, -58, -61, -67, -56, -62, -69, -71, -63, -68, -72, -69, -68, -69, -60, -72, -59, -65, -66, -68, -66, -66, -75, -58, 
04:4f:aa:4c:43:18, 11, , -71, -68, -64, -75, -49, -70, -70, -69, -67, -71, -67, -72, -73, -71, -64, -69, -69, -74, -57, -68, -58, -58, -72, -75, -67, -67, -68, -63, -74, -68, -69, -74, -73, -67, -79, -70, -74, -60, -68, -69, -71, -58, -75, -68, -68, -75, -70, -54, -61, -60, -73, -64, -72, -53, -63, -72, -72, -69, -73, -51, -69, -71, -79, -57, -59, -67, -55, -59, -70, -73, -66, -70, -74, -68, -70, -79, -68, -71, -70, -68, -72, -71, -68, -79, -73, -62, -68, -52, -71, -69, -64, -54, -68, -74, -74, -75, -70, -70, -71, -74, -76, -59, -57, -73, -67, -71, -67, -64, -58, -69, -54, -70, -52, -50, -50, -61, -63, -66, -67, -56, -67, -68, -67, -64, -63, -66, -70, -66, -73, -53, -62, -74, -66, -68, -63, -72, -70, -64, -65, -68, -69, -52, -67, -68, -72, -74, -67, -69, -71, -60, -70, -57, -71, -57, -65, -68, -67, -69, -69, -76, -66, -70, -70, -56, -67, -72, -68, -72, -64, -71, -71, -67, -71, -65, -54, -69, -66, -71, -68, -68, -69, -65, -70, -56, -63, -60, -75, -70, -70, -71, -73, -53, -60, -71, -61, -72, -73, -74, -70, -75, -73, -73, -63, -71, -70, -67, -68, -70, -74, -73, -72, -72, -62, -67, -68, -69, -69, -78, -67, -75, -65, -81, -61, -72, -66, -69, -68, -71, -70, -69, -72, -70, -56, -69, -74, -64, -68, -69, -67, -68, -67, -67, -69, -57, -67, -66, -72, -68, -70, -71, -69, -59, -67, -49, -68, -74, -68, -73, -57, -62, -75, -49, -75, -66, -62, -76, -72, -71, -74, -76, -66, -77, -70, -73, -59, -71, -75, -58, -58, -70, -54, -69, -66, -68, -69, -71, -71, -69, -71, -68, -69, -60, -61, -69, -66, -59, -66, -65, -66, -54, 
04:4f:aa:8c:43:18, 11, MTrec2GWPA, -53, -54, -71, -56, -57, -56, -56, -68, -77, -74, -64, -44, -50, -72, -57, -56, -66, -53, -52, -56, -60, -41, -71, -58, -54, -52, -61, -51, -72, -77, -55, -74, -55, -58, -58, -56, -56, -63, -56, -50, -52, -57, -76, -66, -76, -49, -70, -51, -59, -55, -62, -52, -55, -59, -54, -69, -51, -53, -60, -59, -69, -58, -58, -55, -69, -73, -54, -55, -76, -63, -56, -51, -60, -52, -53, -55, -71, -76, -71, -68, -57, -72, -58, -57, -59, -56, -60, -60, -68, -52, -55, -55, -67, -58, -55, -75, -61, -56, -61, -63, -67, -50, -68, -69, -55, -75, -74, -53, -55, -54, -57, -55, -61, -66, -61, -54, -40, -58, -48, -49, -52, -51, -52, -53, -50, -55, -52, -53, -58, -55, -50, -56, -52, -52, -56, -53, -56, -51, -52, -56, -62, -53, -66, -54, -50, -74, -65, -52, -70, -60, -70, -61, -53, -53, -50, -69, -65, -67, -49, -67, -71, -69, -52, -56, -47, -53, -59, -64, -50, -55, -50, -48, -64, -53, -54, -67, -49, -57, -50, -53, -59, -42, -54, -54, -71, -51, -55, -52, -53, -69, -58, -53, -50, -54, -75, -48, -61, -51, -68, -69, -55, -56, -52, -70, -59, -49, -52, -70, -49, -52, -56, -54, -54, -56, -48, -53, -70, -52, -55, -64, -49, -61, -50, -55, -53, -68, -55, -54, -59, -52, -69, -56, -51, -56, -66, -48, -68, -52, -74, -61, -55, -72, -65, -73, -62, -69, -68, -50, -73, -57, -57, -64, -67, -50, -67, -68, -48, -70, -48, -56, -57, -46, -61, -55, -49, -68, -57, -62, -68, -62, -51, -67, -60, -57, -56, -50, -59, -61, -61, -52, -58, -70, -57, -54, -72, -62, -69, -53, -72, -62, -48, -56, -59, -50, -61, -46, -60, -67, -53, -71, 
04:4f:aa:cc:43:18, 11, MTrec2GWPA2, -63, -52, -70, -58, -53, -59, -55, -81, -67, -73, -61, -54, -50, -68, -53, -59, -73, -59, -54, -51, -59, -53, -68, -63, -58, -62, -61, -58, -72, -70, -59, -75, -60, -77, -54, -57, -57, -59, -73, -53, -52, -56, -68, -57, -75, -52, -58, -53, -59, -60, -62, -69, -56, -57, -60, -64, -54, -70, -53, -54, -69, -56, -55, -57, -60, -59, -61, -54, -63, -55, -60, -52, -55, -60, -57, -56, -62, -69, -70, -57, -59, -53, -56, -56, -49, -52, -56, -58, -66, -51, -60, -75, -67, -56, -60, -74, -54, -56, -55, -57, -57, -59, -54, -72, -55, -74, -50, -57, -55, -59, -56, -55, -55, -64, -60, -56, -49, -54, -53, -59, -54, -51, -49, -51, -61, -52, -58, -52, -54, -59, -56, -54, -53, -50, -52, -53, -68, -49, -53, -53, -63, -52, -63, -52, -50, -57, -70, -53, -74, -69, -71, -54, -58, -55, -56, -70, -62, -61, -52, -67, -71, -68, -52, -55, -49, -49, -66, -54, -57, -63, -49, -49, -63, -53, -56, -63, -51, -53, -50, -54, -63, -51, -52, -54, -66, -47, -51, -57, -53, -57, -55, -63, -55, -51, -67, -65, -63, -51, -71, -72, -54, -52, -60, -64, -51, -53, -55, -68, -69, -53, -48, -51, -69, -50, -38, -55, -71, -52, -53, -61, -39, -54, -53, -49, -54, -68, -55, -69, -52, -60, -67, -54, -55, -67, -68, -55, -68, -62, -74, -59, -52, -76, -68, -63, -61, -68, -64, -51, -62, -59, -60, -69, -72, -48, -63, -71, -56, -71, -53, -70, -66, -62, -62, -49, -65, -64, -45, -62, -59, -65, -52, -62, -49, -54, -58, -52, -60, -62, -71, -51, -51, -78, -51, -56, -62, -57, -61, -49, -70, -54, -57, -47, -50, -51, -70, -46, -58, -66, -52, -62, 
04:4f:aa:0c:43:1c, 52, , -65, -65, -66, -65, -66, -65, -66, -68, -66, -64, -66, -65, -66, -66, -68, -66, -65, -65, -65, -66, -65, -66, -64, -65, -66, -65, -66, -64, -66, -65, -66, -70, -64, -66, -65, -67, -65, -68, -65, -66, -66, -66, -65, -67, -66, -66, -66, -66, -66, -65, -66, -65, -67, -65, -68, -66, -65, -66, -66, -65, -66, -67, -66, -68, -66, -66, -67, -67, -65, -67, -66, -64, -66, -67, -65, -66, -71, -65, -65, -65, -65, -65, -66, -66, -65, -66, -67, -67, -68, -65, -64, -67, -65, -65, -66, -65, -65, -65, -65, -66, -65, -66, -67, -65, -66, -66, -65, -68, -68, -70, -64, -68, -65, -66, -65, -66, -67, -67, -66, -65, -66, -66, -70, -65, -66, -66, -66, -66, -65, -65, -66, -65, -68, -64, -67, -66, -64, -66, -65, -64, -67, -65, -68, -65, -65, -66, -67, -66, -65, -66, -66, -65, -67, -66, -65, -67, -66, -66, -65, -66, -69, -65, -65, -66, -65, -67, -67, -69, -66, -66, -65, -66, -65, -66, -66, -67, -66, -67, -66, -65, -66, -66, -66, -67, -66, -67, -66, -65, -67, -66, -64, -66, -67, -65, -65, -67, -65, -65, -66, -67, -65, -66, -67, -66, -66, -64, -65, -67, -66, -66, -66, -66, -66, -66, -66, -67, -67, -66, -65, -66, -67, -65, -66, -67, -67, -65, -66, -67, -66, -66, -66, -66, -68, -67, -66, -72, -65, -65, -66, -68, -69, -66, -65, -67, -64, -65, -65, -66, -67, -67, -67, -67, -67, -67, -66, -68, -65, -67, -67, -66, -65, -65, -69, -68, -66, -66, -65, -65, -65, -66, -65, -66, -66, -66, -65, -66, -66, -65, -65, -66, -67, -67, -67, -66, -66, -65, -66, -67, -65, -66, -65, -66, -66, -66, -64, -67, -66, -65, -66, -68, 
04:4f:aa:4c:43:1c, 52, , -67, -67, -66, -65, -68, -67, -68, -67, -67, -64, -67, -66, -67, -66, -69, -66, -66, -66, -67, -67, -66, -67, -66, -67, -67, -67, -68, -67, -67, -67, -67, -73, -66, -67, -67, -67, -67, -67, -67, -67, -67, -68, -67, -69, -69, -68, -68, -66, -69, -67, -69, -67, -68, -67, -70, -68, -67, -66, -69, -66, -67, -68, -68, -69, -67, -66, -67, -68, -68, -68, -68, -67, -67, -68, -67, -68, -74, -68, -67, -67, -67, -68, -66, -67, -68, -67, -68, -68, -67, -67, -66, -68, -65, -67, -67, -56, -67, -67, -68, -67, -65, -67, -67, -66, -66, -67, -67, -69, -70, -69, -67, -68, -67, -68, -67, -68, -67, -67, -68, -66, -69, -67, -69, -66, -68, -67, -67, -68, -66, -66, -66, -65, -68, -66, -68, -67, -66, -68, -66, -65, -67, -66, -68, -66, -66, -68, -69, -67, -67, -68, -68, -67, -68, -66, -67, -70, -68, -69, -67, -68, -72, -67, -67, -69, -67, -68, -69, -69, -68, -70, -67, -68, -68, -67, -69, -69, -66, -67, -68, -67, -68, -68, -68, -69, -67, -68, -68, -67, -69, -68, -67, -68, -68, -67, -67, -68, -66, -66, -68, -69, -69, -68, -69, -68, -69, -67, -67, -69, -69, -68, -69, -69, -67, -69, -68, -68, -68, -68, -67, -69, -69, -68, -69, -69, -68, -68, -68, -68, -67, -68, -69, -68, -69, -69, -68, -73, -68, -68, -68, -69, -72, -67, -66, -69, -66, -67, -66, -67, -69, -68, -68, -69, -69, -68, -67, -68, -67, -68, -69, -68, -68, -67, -69, -68, -68, -68, -68, -68, -67, -68, -68, -67, -69, -68, -67, -66, -68, -68, -66, -69, -68, -68, -68, -68, -67, -66, -68, -68, -67, -69, -67, -68, -69, -68, -67, -68, -67, -68, -67, -68, 
