00:1f:ca:5d:49:bf, 161, sMobileNet, -51, -50, -49, -48, -26, -25, -25, -26, -26, -24, -27, -26, -27, -26, -26, -26, -26, -27, -29, -28, -26, -27, -26, -28, -28, -26, -26, -26, -28, -24, -27, -25, -25, -24, -30, -27, -32, -27, -27, -27, -28, -28, -28, -33, -28, -26, -27, -27, -26, -26, -29, -28, -30, -36, -36, -32, -31, -31, -31, -32, -32, -32, -31, -31, -32, -31, -33, -27, -27, -26, -28, -27, -27, -29, -25, -26, -26, -25, -27, -26, -26, -25, -26, -27, -25, -27, -26, -27, -26, -26, -27, -28, -26, -25, -25, -26, -26, -25, -26, -26, -27, -26, -27, -26, -26, -25, -26, -25, -26, -25, -25, -25, -25, -25, -25, -24, -27, -27, -26, -26, -26, -26, -25, -25, -25, -27, -27, -25, -25, -26, -26, -25, -26, -26, -26, -27, -27, -27, -28, -28, -27, -26, -27, -27, -26, -27, -27, -26, -27, -29, -25, -26, -25, -25, -26, -27, -26, -28, -26, -28, -26, -25, -26, -28, -25, -47, -25, -24, -26, -25, -27, -26, -30, -26, -26, -25, -25, -26, -26, -25, -26, -27, -25, -26, -27, -27, -27, -26, -26, -26, -25, -25, -26, -26, -26, -26, -27, -25, -25, -25, -26, -29, -24, -26, -26, -25, -25, -27, -24, -25, -24, -25, -26, -26, -26, -25, -27, -26, -26, -25, -25, -25, -25, -26, -25, -25, -26, -26, -26, -26, -26, -26, -26, -26, -26, -25, -26, -26, -26, -25, -25, -25, -28, -28, -25, -26, -25, -26, -26, -28, -28, -26, -26, -26, -25, -25, -26, -24, -26, -25, -26, -28, -26, -28, -25, -26, -26, -25, -25, -25, -27, -25, -27, -26, -24, -24, -26, -27, -26, -25, -25, -26, -25, -25, -26, -26, -26, -25, -25, -32, -25, -25, -32, -29, -28, -28, -32, -32, -31, -33, 
00:23:eb:2c:df:bf, 161, sMobileNet, -73, -72, -71, -73, -51, -51, -51, -51, -51, -53, -53, -51, -51, -53, -53, -52, -52, -52, -55, -55, -57, -55, -74, -51, -54, -51, -56, -59, -59, -51, -54, -56, -57, -53, -56, -54, -55, -55, -55, -54, -55, -57, -55, -51, -55, -54, -51, -51, -54, -52, -53, -52, -52, -52, -52, -50, -50, -50, -51, -51, -50, -72, -50, -49, -50, -52, -52, -52, -51, -51, -53, -51, -53, -53, -52, -54, -53, -54, -56, -51, -53, -50, -55, -55, -53, -53, -55, -56, -52, -52, -50, -51, -56, -53, -54, -54, -54, -54, -52, -54, -59, -56, -55, -56, -56, -56, -54, -54, -54, -54, -54, -54, -53, -53, -53, -52, -52, -55, -55, -55, -56, -54, -52, -55, -55, -54, -57, -56, -56, -56, -62, -62, -60, -60, -53, -53, -54, -57, -59, -56, -56, -56, -56, -54, -54, -55, -54, -56, -55, -54, -58, -57, -57, -54, -54, -54, -56, -54, -53, -52, -53, -54, -54, -54, -58, -55, -56, -57, -57, -57, -54, -56, -53, -53, -55, -56, -57, -56, -53, -53, -54, -54, -52, -54, -73, -53, -54, -54, -53, -54, -54, -54, -54, -54, -56, -54, -52, -52, -55, -53, -50, -54, -53, -56, -55, -56, -58, -56, -52, -54, -54, -58, -58, -61, -54, -54, -54, -53, -52, -52, -54, -55, -54, -55, -55, -54, -54, -54, -54, -55, -55, -53, -54, -54, -54, -54, -54, -54, -55, -55, -54, -54, -54, -54, -53, -53, -53, -53, -53, -53, -53, -53, -53, -54, -53, -54, -53, -54, -54, -54, -54, -53, -55, -55, -54, -54, -54, -54, -55, -53, -53, -54, -54, -53, -53, -53, -50, -54, -54, -54, -54, -54, -54, -54, -53, -53, -54, -54, -54, -54, -54, -55, -55, -56, -56, -52, -54, -58, -58, -58, 
00:25:84:22:f7:25, 6, PCCW, -72, -60, -75, -71, -71, -71, -77, -75, -75, -74, -60, -62, -62, -62, -62, -62, -62, -62, -75, -74, -74, -74, -74, -74, -74, -75, -63, -63, -75, -62, -75, -75, -75, -73, -73, -60, -74, -61, -73, -73, -61, -74, -74, -74, -74, -75, -74, -75, -62, -75, -76, -76, -61, -62, -62, -73, -75, -75, -75, -76, -74, -74, -61, -61, -63, -63, -63, -72, -75, -74, -74, -75, -62, -76, -61, -61, -61, -61, -74, -74, -75, -61, -76, -74, -74, -73, -73, -61, -63, -63, -63, -63, -60, -60, -60, -59, -59, -61, -61, -74, -74, -74, -58, -58, -60, -74, -74, -74, -74, -76, -60, -60, -74, -72, -73, -57, -57, -55, -75, -73, -59, -73, -73, -73, -59, -62, -60, -73, -73, -73, -60, -75, -59, -73, -60, -60, -75, -61, -61, -58, -73, -73, -57, -75, -72, -76, -59, -59, -59, -59, -59, -59, -75, -75, -75, -59, -59, -59, -60, -75, -75, -74, -72, -59, -60, -58, -58, -59, -74, -74, -74, -75, -75, -59, -59, -60, -73, -74, -61, -73, -61, -72, -60, -60, -57, -55, -60, -60, -75, -74, -75, -75, -73, -76, -59, -73, -73, -75, -74, -61, -72, -74, -73, -74, -77, -61, -59, -74, -75, -60, -74, -59, -74, -59, -76, -74, -75, -75, -75, -60, -60, -77, -77, -59, -73, -74, -60, -74, -58, -60, -61, -74, -75, -75, -74, -59, -59, -61, -60, -74, -75, -73, -74, -58, -58, -61, -59, -75, -74, -75, -61, -74, -60, -73, -59, -59, -60, -59, -74, -74, -60, -72, -75, -74, -60, -60, -59, -77, -74, -74, -74, -58, -58, -60, -58, -58, -60, -75, -74, -60, -62, -60, -74, -73, -74, -61, -59, -74, -59, -74, -60, -74, -59, -73, -76, -74, -74, -58, -61, -72, 
00:1f:ca:5d:4b:4f, 44, sMobileNet, -76, -70, -71, -70, -74, -71, -70, -72, -73, -72, -72, -71, -71, -71, -73, -70, -69, -70, -70, -72, -73, -71, -72, -71, -70, -68, -73, -70, -70, -73, -73, -71, -72, -71, -71, -69, -69, -72, -72, -68, -70, -70, -68, -72, -69, -73, -72, -72, -69, -70, -70, -73, -71, -70, -73, -74, -74, -75, -73, -74, -73, -72, -72, -71, -73, -71, -71, -72, -72, -70, -71, -72, -74, -70, -70, -71, -70, -72, -72, -73, -73, -75, -72, -72, -74, -74, -72, -72, -74, -73, -70, -74, -70, -69, -67, -68, -69, -71, -70, -72, -72, -73, -70, -70, -71, -70, -69, -69, -71, -69, -70, -68, -72, -72, -72, -72, -74, -72, -71, -68, -70, -68, -70, -69, -70, -70, -70, -69, -71, -59, -72, -70, -69, -69, -68, -69, -70, -76, -72, -63, -72, -75, -73, -75, -72, -74, -73, -72, -72, -73, -69, -71, -70, -68, -72, -72, -72, -70, -69, -69, -68, -70, -70, -69, -69, -70, -70, -68, -71, -72, -72, -69, -72, -69, -71, -67, -68, -69, -68, -68, -70, -74, -73, -74, -76, -73, -69, -70, -70, -70, -70, -70, -69, -69, -72, -69, -70, -68, -69, -69, -69, -72, -71, -70, -70, -69, -70, -70, -69, -69, -72, -74, -71, -72, -68, -69, -70, -69, -69, -69, -71, -69, -70, -70, -69, -69, -69, -70, -69, -67, -70, -68, -69, -69, -70, -70, -69, -67, -72, -72, -68, -69, -69, -72, -72, -71, -72, -70, -70, -67, -69, -70, -71, -68, -68, -67, -68, -69, -68, -70, -68, -69, -75, -72, -69, -70, -67, -70, -71, -69, -74, -69, -67, -67, -69, -68, -70, -72, -67, -70, -72, -68, -69, -67, -69, -69, -69, -73, -69, -74, -71, -70, -73, -72, -76, -75, -73, -75, -68, -69, 
28:93:fe:f4:04:0a, 149, Alumni, -69, -75, -72, -72, -77, -69, -69, -78, -76, -69, -69, -76, -76, -76, -77, -77, -77, -69, -69, -74, -74, -74, -70, -70, -76, -76, -77, -70, -70, -75, -75, -76, -76, -76, -76, -76, -77, -70, -70, -76, -76, -75, -68, -68, -70, -70, -77, -77, -76, -71, -71, -76, -76, -75, -75, -75, -70, -70, -75, -75, -76, -70, -70, -70, -70, -77, -77, -76, -70, -70, -76, -76, -76, -70, -70, -76, -76, -76, -76, -76, -70, -70, -71, -71, -77, -77, -74, -70, -70, -77, -77, -74, -74, -74, -74, -74, -67, -67, -68, -68, -74, -74, -72, -68, -68, -74, -74, -74, -68, -68, -73, -68, -68, -74, -74, -74, -68, -68, -73, -73, -73, -73, -73, -74, -74, -74, -67, -67, -76, -76, -74, -74, -75, -68, -68, -67, -67, -73, -73, -73, -67, -67, -74, -74, -74, -68, -68, -73, -73, -74, -74, -74, -67, -67, -68, -68, -73, -73, -73, -67, -67, -68, -68, -73, -73, -74, -74, -74, -74, -74, -68, -68, -67, -67, -72, -72, -75, -68, -68, -73, -73, -74, -74, -74, -72, -72, -68, -68, -77, -77, -76, -70, -70, -69, -69, -76, -76, -73, -73, -73, -69, -69, -75, -75, -75, -68, -68, -75, -75, -76, -76, -76, -68, -68, -74, -74, -74, -74, -74, -74, -74, -77, -70, -70, -70, -70, -75, -75, -76, -68, -68, -68, -68, -73, -73, -77, -77, -75, -75, -75, -68, -68, -70, -70, -75, -75, -76, -76, -75, -69, -69, -70, -70, -76, -76, -76, -72, -72, -69, -69, -76, -76, -76, -76, -74, -68, -76, -70, -70, -67, -67, -75, -75, -76, -69, -69, -71, -71, -75, -75, -74, -74, -75, -75, -77, -70, -70, -68, -68, -80, -80, -78, -78, -74, -74, -74, -74, -74, -67, -67, 
28:93:fe:f4:04:0f, 149, Y5ZONE, -76, -78, -77, -77, -77, -76, -76, -76, -78, -77, -77, -75, -71, -71, -77, -74, -74, -74, -75, -74, -71, -70, -74, -74, -77, -70, -70, -76, -76, -75, -70, -70, -71, -71, -75, -75, -75, -77, -76, -76, -76, -76, -70, -70, -75, -76, -75, -70, -70, -77, -73, -75, -74, -74, -70, -70, -76, -76, -75, -71, -71, -76, -76, -76, -76, -76, -72, -72, -77, -77, -75, -70, -70, -70, -70, -76, -76, -76, -70, -70, -76, -76, -78, -78, -76, -71, -71, -77, -77, -78, -78, -72, -74, -74, -69, -74, -72, -73, -75, -75, -74, -75, -73, -74, -74, -74, -74, -74, -74, -75, -75, -73, -74, -74, -74, -74, -73, -73, -74, -74, -73, -74, -73, -73, -70, -73, -73, -73, -76, -71, -74, -74, -75, -74, -74, -75, -75, -74, -74, -74, -72, -72, -74, -67, -67, -74, -73, -73, -73, -74, -68, -73, -74, -74, -74, -73, -73, -76, -76, -73, -74, -75, -75, -74, -74, -74, -67, -73, -68, -73, -74, -73, -73, -73, -73, -74, -75, -73, -74, -75, -73, -73, -68, -68, -79, -79, -74, -75, -76, -70, -70, -76, -76, -75, -74, -75, -75, -74, -73, -73, -75, -74, -77, -71, -71, -73, -73, -75, -75, -75, -75, -75, -68, -76, -74, -74, -75, -74, -74, -76, -70, -70, -74, -74, -75, -75, -76, -70, -70, -75, -76, -74, -73, -73, -68, -68, -70, -70, -68, -68, -75, -75, -76, -75, -76, -71, -71, -76, -76, -74, -75, -76, -76, -76, -70, -70, -77, -77, -75, -75, -75, -75, -75, -71, -71, -75, -75, -76, -76, -67, -67, -76, -76, -76, -76, -75, -77, -77, -75, -69, -74, -71, -71, -69, -78, -76, -76, -76, -73, -80, -72, -72, -68, -68, -75, -71, -70, -70, -74, -73, 
28:93:fe:f4:04:0b, 149, sMobileNet, -75, -77, -78, -69, -69, -75, -71, -71, -78, -77, -77, -77, -71, -71, -77, -69, -69, -75, -69, -69, -77, -77, -74, -74, -76, -76, -76, -76, -69, -69, -70, -70, -78, -78, -75, -70, -70, -76, -76, -76, -70, -70, -76, -76, -76, -69, -69, -70, -70, -77, -77, -77, -69, -69, -76, -76, -76, -70, -70, -70, -70, -76, -76, -76, -70, -70, -71, -71, -76, -76, -76, -76, -76, -77, -77, -77, -68, -68, -77, -77, -76, -76, -77, -69, -69, -70, -70, -76, -76, -78, -78, -78, -68, -68, -69, -69, -73, -73, -75, -75, -75, -67, -67, -74, -68, -68, -74, -74, -73, -69, -69, -74, -68, -68, -73, -73, -74, -68, -68, -75, -75, -75, -67, -67, -77, -77, -72, -71, -71, -71, -71, -75, -75, -73, -73, -74, -74, -74, -74, -74, -72, -68, -68, -68, -68, -73, -73, -73, -67, -67, -67, -67, -74, -74, -74, -68, -68, -75, -75, -73, -73, -74, -74, -74, -67, -67, -74, -74, -74, -74, -74, -74, -74, -68, -68, -68, -68, -74, -74, -74, -67, -67, -68, -68, -77, -77, -74, -69, -69, -76, -76, -76, -76, -76, -70, -70, -70, -70, -68, -68, -75, -68, -68, -77, -77, -74, -74, -74, -67, -67, -74, -74, -75, -69, -69, -68, -68, -68, -68, -68, -70, -70, -74, -74, -75, -69, -69, -76, -76, -75, -75, -72, -68, -68, -74, -74, -75, -75, -75, -75, -73, -73, -78, -68, -76, -71, -71, -75, -75, -74, -74, -76, -76, -76, -76, -76, -77, -77, -75, -68, -75, -69, -69, -77, -77, -74, -74, -76, -76, -76, -69, -69, -75, -75, -75, -75, -76, -69, -69, -69, -69, -70, -70, -76, -76, -76, -76, -75, -75, -75, -66, -66, -76, -76, -76, -76, -75, -75, -73, -73, 
28:93:fe:f4:04:0d, 149, Universitie, -75, -77, -78, -68, -68, -68, -72, -72, -77, -77, -69, -69, -76, -71, -71, -71, -71, -71, -68, -68, -76, -76, -75, -68, -68, -75, -75, -75, -70, -70, -76, -76, -78, -70, -70, -71, -71, -76, -68, -68, -77, -77, -76, -76, -76, -68, -68, -76, -76, -77, -68, -68, -75, -75, -75, -75, -75, -70, -70, -76, -76, -76, -76, -76, -70, -70, -76, -76, -76, -71, -71, -76, -76, -77, -77, -77, -68, -68, -77, -77, -77, -70, -70, -70, -70, -76, -76, -76, -71, -71, -70, -70, -74, -74, -75, -75, -72, -67, -67, -68, -68, -74, -74, -74, -74, -74, -75, -68, -68, -76, -76, -76, -67, -67, -74, -74, -74, -67, -67, -73, -67, -67, -67, -67, -77, -68, -68, -70, -70, -77, -77, -74, -74, -73, -73, -73, -68, -68, -74, -74, -73, -68, -68, -73, -73, -74, -67, -67, -72, -72, -72, -72, -74, -68, -68, -68, -68, -76, -76, -73, -68, -68, -68, -68, -67, -67, -74, -74, -75, -75, -75, -67, -67, -68, -68, -73, -73, -73, -68, -68, -73, -73, -74, -74, -77, -69, -69, -69, -69, -76, -76, -75, -75, -75, -70, -70, -76, -76, -74, -74, -76, -68, -68, -77, -77, -77, -68, -68, -69, -69, -74, -74, -74, -69, -69, -74, -74, -74, -68, -68, -76, -76, -75, -71, -71, -69, -69, -77, -77, -75, -75, -75, -68, -68, -73, -73, -74, -74, -76, -76, -74, -70, -70, -69, -69, -77, -77, -75, -75, -75, -75, -75, -68, -68, -76, -76, -77, -70, -75, -70, -70, -75, -75, -76, -76, -75, -75, -75, -70, -70, -70, -70, -76, -76, -76, -69, -69, -69, -69, -75, -75, -76, -76, -75, -75, -76, -69, -69, -63, -63, -72, -72, -75, -75, -74, -74, -75, -75, -74, -67, 
28:93:fe:f4:04:0c, 165, eduroam, -79, -76, -71, -71, -80, -80, -80, -80, -78, -78, -78, -78, -78, -78, -78, -78, -79, -79, -80, -73, -73, -79, -79, -78, -78, -78, -79, -79, -77, -73, -73, -79, -79, -78, -78, -78, -72, -72, -81, -73, -73, -74, -74, -79, -79, -79, -74, -74, -74, -74, -79, -75, -75, -73, -73, -78, -78, -78, -74, -74, -78, -78, -77, -77, -78, -72, -72, -78, -78, -79, -73, -73, -77, -77, -78, -78, -78, -73, -73, -78, -78, -79, -79, -79, -72, -72, -79, -79, -79, -79, -77, -72, -72, -72, -72, -76, -76, -76, -76, -75, -74, -74, -76, -76, -76, -75, -75, -76, -76, -76, -72, -72, -76, -70, -70, -75, -75, -75, -71, -71, -77, -71, -71, -75, -75, -82, -82, -78, -75, -75, -74, -74, -76, -76, -77, -77, -76, -70, -70, -77, -77, -75, -75, -75, -77, -77, -77, -71, -71, -71, -71, -76, -76, -77, -77, -77, -70, -70, -76, -76, -76, -76, -77, -72, -72, -72, -72, -76, -76, -76, -76, -76, -76, -75, -72, -72, -73, -73, -76, -76, -76, -72, -72, -78, -78, -77, -77, -77, -73, -73, -76, -76, -77, -77, -77, -73, -73, -73, -73, -78, -78, -78, -75, -75, -81, -81, -77, -71, -78, -74, -74, -76, -76, -78, -75, -75, -78, -75, -78, -74, -74, -74, -74, -76, -76, -78, -78, -78, -77, -77, -77, -77, -77, -73, -73, -81, -81, -78, -78, -78, -78, -78, -78, -78, -78, -78, -73, -73, -72, -72, -72, -72, -77, -73, -73, -78, -78, -77, -77, -76, -76, -76, -72, -72, -78, -78, -78, -78, -77, -67, -67, -74, -74, -76, -76, -77, -77, -77, -77, -77, -73, -73, -72, -72, -77, -77, -78, -78, -77, -72, -72, -70, -70, -74, -74, -76, -76, -78, -78, -77, 
28:93:fe:f4:04:0a, 165, Alumni, -80, -77, -77, -72, -72, -79, -79, -79, -77, -78, -78, -78, -73, -79, -72, -72, -78, -74, -74, -78, -78, -78, -78, -78, -73, -73, -80, -72, -72, -72, -72, -79, -79, -78, -73, -73, -76, -76, -76, -73, -73, -79, -79, -80, -74, -74, -80, -80, -80, -80, -80, -75, -75, -79, -79, -77, -77, -77, -73, -73, -78, -78, -78, -72, -72, -78, -78, -77, -77, -77, -74, -74, -77, -77, -78, -73, -73, -77, -77, -78, -78, -80, -73, -73, -78, -78, -78, -78, -78, -72, -72, -73, -73, -77, -77, -76, -76, -76, -72, -72, -79, -79, -76, -76, -76, -76, -76, -76, -71, -71, -76, -76, -76, -76, -76, -76, -76, -76, -76, -76, -76, -71, -71, -76, -76, -76, -71, -71, -76, -76, -80, -80, -76, -76, -77, -71, -71, -71, -71, -77, -77, -77, -72, -72, -77, -77, -77, -71, -71, -75, -75, -75, -75, -77, -72, -72, -75, -75, -78, -78, -77, -73, -73, -70, -70, -78, -78, -75, -75, -77, -77, -77, -70, -70, -71, -71, -77, -77, -77, -71, -71, -78, -78, -79, -79, -79, -73, -73, -73, -73, -76, -76, -77, -71, -71, -74, -74, -79, -79, -77, -77, -77, -74, -74, -80, -73, -73, -71, -71, -78, -78, -77, -77, -77, -74, -74, -77, -75, -75, -78, -78, -77, -77, -76, -72, -72, -74, -74, -78, -78, -77, -74, -74, -79, -79, -80, -80, -78, -78, -77, -77, -77, -72, -72, -73, -73, -79, -79, -76, -76, -76, -72, -72, -73, -73, -78, -78, -77, -77, -77, -71, -71, -77, -77, -78, -78, -77, -73, -78, -66, -66, -79, -79, -77, -77, -77, -72, -72, -72, -72, -78, -78, -77, -77, -78, -78, -77, -73, -76, -73, -73, -75, -75, -75, -75, -76, -76, -79, -79, -79, 
