00:23:eb:3a:28:bf, 48, sMobileNet, -58, -58, -57, -58, -60, -61, -61, -64, -61, -60, -65, -62, -60, -57, -59, -59, -59, -59, -58, -59, -58, -58, -65, -64, -62, -64, -61, -60, -59, -59, -58, -59, -59, -58, -58, -58, -57, -58, -60, -60, -61, -62, -62, -60, -60, -61, -63, -57, -60, -59, -60, -61, -61, -59, -59, -58, -58, -60, -59, -60, -60, -58, -58, -61, -60, -61, -63, -63, -64, -66, -73, -61, -66, -61, -61, -59, -58, -59, -58, -58, -58, -59, -58, -59, -57, -60, -59, -58, -59, -63, -60, -58, -58, -59, -60, -58, -59, -73, -67, -61, -63, -67, -72, -64, -66, -74, -70, -64, -65, -70, -68, -63, -62, -66, -65, -60, -63, -64, -62, -62, -62, -63, -63, -64, -61, -63, -63, -69, -62, -72, -71, -70, -67, -65, -61, -61, -62, -62, -61, -60, -60, -61, -61, -62, -60, -65, -65, -69, -70, -70, -70, -68, -68, -66, -67, -67, -67, -67, -71, -68, -67, -67, -67, -67, -69, -69, -75, -64, -64, -71, -71, -71, -71, -67, -70, -59, -59, -72, -61, -61, -72, -60, -60, -73, -73, -73, -59, -59, -72, -61, -61, -73, -73, -73, -71, -71, -74, -61, -61, -72, 
00:23:eb:3a:27:ef, 161, sMobileNet, -51, -55, -53, -52, -50, -52, -53, -52, -50, -50, -51, -51, -51, -50, -51, -51, -52, -51, -51, -51, -52, -52, -53, -52, -51, -51, -51, -52, -52, -53, -51, -50, -52, -50, -51, -51, -51, -51, -50, -52, -51, -52, -52, -53, -50, -51, -50, -52, -53, -51, -51, -51, -51, -52, -51, -51, -51, -52, -51, -51, -52, -51, -53, -52, -51, -53, -52, -52, -52, -52, -53, -53, -50, -52, -51, -51, -52, -51, -51, -52, -52, -52, -54, -51, -51, -60, -53, -50, -51, -52, -52, -53, -53, -52, -52, -54, -52, -52, -52, -53, -52, -51, -51, -51, -51, -50, -50, -53, -47, -48, -45, -50, -51, -49, -48, -50, -46, -49, -48, -49, -47, -47, -47, -48, -47, -49, -50, -48, -48, -47, -51, -48, -50, -48, -47, -48, -48, -48, -48, -47, -49, -48, -51, -46, -47, -47, -47, -49, -47, -48, -49, -47, -47, -49, -49, -48, -48, -47, -47, -49, -48, -49, -50, -48, -46, -47, -48, -49, -48, -48, -49, -48, -48, -48, -48, -47, -46, -47, -48, -49, -48, -48, -48, -48, -48, -47, -47, -49, -48, -47, -48, -48, -47, -48, -47, -46, -47, -47, -48, -49, 
c8:d7:19:69:f1:eb, 6, wireless3, -65, -65, -61, -68, -67, -63, -70, -66, -68, -66, -75, -66, -57, -65, -65, -50, -52, -67, -70, -60, -49, -52, -61, -66, -65, -64, -61, -68, -59, -42, -66, -70, -67, -66, -52, -70, -65, -67, -65, -53, -50, -48, -50, -68, -48, -68, -58, -71, -57, -64, -59, -73, -57, -55, -49, -70, -58, -54, -59, -52, -40, -64, -45, -64, -53, -64, -57, -45, -68, -64, -47, -71, -66, -64, -68, -71, -69, -54, -58, -55, -69, -45, -67, -71, -69, -65, -61, -50, -73, -65, -63, -50, -71, -52, -48, -69, -65, -62, -60, -69, -64, -69, -62, -62, -68, -63, -71, -63, -49, -56, -50, -57, -70, -62, -41, -61, -63, -57, -70, -65, -47, -66, -68, -68, -66, -49, -66, -60, -71, -47, -56, -66, -64, -64, -67, -69, -67, -50, -67, -63, -44, -60, -67, -56, -65, -67, -65, -62, -65, -65, -58, -57, -67, -49, -63, -64, -59, -52, -67, -74, -64, -61, -63, -61, -66, -60, -67, -51, -74, -67, -61, -65, -56, -65, -67, -63, -67, -61, -67, -70, -59, -45, -66, -64, -66, -74, -68, -64, -50, -70, -65, -64, -68, -58, -70, -65, -65, -61, -65, -64, 
00:23:eb:3a:28:b0, 1, sMobileNet, -29, -50, -50, -31, -48, -48, -32, -51, -51, -51, -34, -34, -34, -30, -30, -30, -49, -49, -49, -28, -28, -28, -51, -51, -35, -52, -52, -52, -48, -48, -30, -48, -48, -29, -48, -48, -30, -47, -47, -29, -29, -29, -33, -33, -33, -29, -29, -31, -50, -50, -31, -48, -48, -33, -33, -33, -48, -48, -48, -29, -29, -29, -49, -49, -34, -53, -53, -33, -52, -52, -52, -52, -52, -51, -51, -29, -47, -47, -30, -48, -48, -30, -30, -30, -31, -31, -31, -48, -48, -30, -50, -50, -30, -30, -30, -31, -31, -31, -37, -37, -33, -53, -53, -36, -57, -57, -38, -38, -38, -36, -36, -37, -49, -49, -35, -48, -48, -30, -49, -49, -33, -51, -51, -30, -30, -30, -32, -32, -33, -56, -56, -36, -57, -57, -31, -31, -31, -33, -33, -33, -33, -33, -34, -32, -32, -32, -39, -39, -37, -57, -57, -38, -56, -56, -34, -34, -34, -41, -41, -44, -54, -54, -36, -56, -56, -42, -42, -42, -42, -42, -42, -42, -42, -42, -42, -42, -57, -57, -43, -57, -57, -42, -42, -42, -39, -39, -39, -38, -38, -36, -55, -55, -36, -55, -55, -38, -38, -38, -57, -57, 
00:23:eb:0a:ad:60, 1, sMobileNet, -48, -44, -44, -44, -44, -44, -44, -43, -43, -43, -43, -43, -43, -44, -44, -44, -44, -44, -44, -44, -44, -44, -43, -61, -61, -44, -60, -60, -60, -60, -60, -44, -61, -61, -44, -44, -44, -42, -42, -42, -42, -42, -43, -43, -43, -43, -62, -62, -62, -62, -62, -44, -44, -44, -44, -44, -44, -44, -44, -44, -44, -44, -42, -42, -42, -45, -45, -45, -45, -45, -44, -44, -44, -44, -44, -44, -43, -43, -43, -44, -44, -44, -44, -44, -43, -63, -63, -63, -61, -61, -44, -44, -44, -44, -44, -44, -61, -61, -44, -44, -44, -43, -43, -43, -43, -43, -43, -43, -43, -45, -45, -45, -45, -62, -62, -46, -46, -46, -46, -46, -46, -45, -45, -45, -63, -63, -47, -63, -63, -63, -63, -63, -45, -45, -45, -63, -63, -63, -64, -64, -46, -63, -63, -63, -63, -63, -63, -63, -63, -63, -63, -63, -46, -46, -45, -64, -64, -45, -63, -63, -63, -63, -63, -45, -45, -44, -63, -63, -46, -62, -62, -62, -62, -62, -64, -64, -64, -64, -64, -45, -63, -63, -44, -44, -44, -64, -64, -64, -63, -63, -63, -63, -63, -45, -45, -45, -45, -45, -47, -62, 
c0:4a:00:f5:92:00, 6, , -56, -63, -61, -41, -60, -42, -41, -43, -42, -41, -43, -57, -57, -59, -42, -44, -45, -45, -58, -59, -41, -42, -45, -42, -58, -62, -58, -42, -47, -59, -47, -43, -45, -45, -42, -47, -43, -42, -56, -56, -55, -69, -40, -48, -46, -41, -49, -45, -43, -54, -54, -58, -41, -42, -42, -59, -61, -46, -42, -41, -71, -55, -56, -59, -42, -57, -40, -41, -40, -58, -51, -75, -60, -57, -56, -58, -46, -59, -58, -56, -56, -49, -49, -58, -57, -59, -57, -45, -42, -48, -58, -60, -41, -44, -71, -58, -56, -57, -43, -41, -43, -59, -60, -58, -44, -71, -58, -60, -51, -53, -75, -66, -65, -70, -54, -44, -56, -66, -62, -64, -69, -54, -67, -72, -72, -66, -60, -77, -52, -61, -55, -50, -49, -69, -68, -68, -68, -55, -54, -49, -61, -60, -66, -65, -57, -48, -47, -70, -69, -65, -56, -53, -46, -66, -60, -60, -47, -66, -64, -68, -65, -54, -49, -69, -63, -65, -48, -49, -68, -67, -55, -54, -57, -61, -61, -64, -49, -66, -64, -65, -63, -63, -46, -56, -62, -59, -64, -53, -66, -66, -57, -53, -52, -56, -60, -61, -48, -49, -61, -63, 
30:17:c8:74:02:5c, 6, X10i, -77, -59, -59, -59, -62, -60, -59, -56, -57, -63, -56, -54, -53, -53, -75, -79, -53, -71, -77, -77, -57, -76, -62, -66, -57, -60, -75, -75, -80, -51, -52, -54, -75, -73, -74, -74, -74, -58, -64, -64, -64, -64, -64, -64, -63, -63, -63, -75, -64, -62, -68, -68, -68, -68, -68, -68, -68, -68, 0, 0, 0, 0, -66, -69, -59, -65, -79, -57, -45, -59, -41, -61, -54, -57, -53, -56, -61, -77, -57, -82, -82, -82, -82, -82, -82, -82, -82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
4c:e6:76:45:c3:33, 7, social_media, -87, -87, -82, -82, -76, -76, -86, -86, -84, -84, -84, -84, -83, -81, -59, -65, -61, -76, -71, -85, -64, -61, -79, -79, -87, -89, -89, -89, -82, -70, -70, -78, -79, -81, -79, -65, -65, -68, -62, -62, -79, -79, -79, -79, -79, -79, -73, -71, -71, -81, -81, -81, -81, -79, -79, -65, -65, -65, -60, -65, -65, -71, -62, -78, -78, -78, -69, -70, -70, -70, -70, -84, -76, -83, -80, -79, -85, -68, -78, -78, -62, -62, -64, -60, -64, -81, -79, -79, -79, -79, -76, -76, -76, -73, -78, -77, -76, -78, -79, -79, -78, -78, -66, -79, -68, -68, -68, -87, -72, -72, -72, -72, -72, -64, -59, -59, -64, -61, -80, -80, -80, -80, -80, -78, -69, -64, -69, -62, -67, -64, -80, -66, -77, -85, -74, -79, -79, -75, -80, -68, -76, -76, -76, -75, -75, -77, -77, -78, -76, -70, -67, -76, -75, -64, -64, -81, -82, -82, -78, -78, -69, -79, -81, -77, -77, -77, -84, -84, -84, -84, -84, -84, -84, -84, 0, 0, 0, -79, -79, -79, -65, -65, -78, -78, -84, -83, -84, -84, -84, -70, -70, -70, -70, -70, -70, -70, -62, -78, -78, -87, 
00:25:84:22:fe:a0, 6, Universitie, -45, -47, -47, -47, -47, -34, -34, -34, -34, -34, -50, -34, -34, -49, -33, -33, -36, -33, -33, -34, -36, -36, -34, -34, -34, -47, -47, -47, -34, -36, -36, -34, -34, -34, -35, -35, -35, -34, -34, -34, -35, -35, -36, -34, -34, -33, -33, -33, -32, -32, -32, -35, -35, -35, -34, -34, -34, -34, -34, -33, -34, -34, -34, -34, -34, -35, -35, -35, -34, -34, -48, -34, -34, -48, -34, -34, -47, -47, -47, -36, -36, -47, -47, -47, -48, -32, -32, -46, -46, -46, -35, -35, -35, -34, -34, -48, -35, -35, -47, -35, -35, -50, -50, -50, -50, -50, -47, -34, -34, -48, -34, -34, -34, -34, -34, -34, -34, -34, -33, -33, -33, -33, -33, -46, -33, -33, -48, -33, -33, -33, -33, -33, -33, -33, -45, -33, -33, -50, -34, -34, -46, -33, -33, -47, -33, -33, -48, -36, -36, -48, -48, -48, -33, -33, -48, -35, -35, -47, -47, -47, -47, -47, -47, -35, -35, -50, -36, -36, -36, -36, -36, -32, -32, -46, -34, -34, -48, -48, -48, -48, -48, -48, -32, -32, -44, -33, -33, -45, -34, -34, -46, -46, -43, -32, -32, -47, -32, -32, -44, -44, 
00:23:eb:3a:27:e0, 11, sMobileNet, -43, -28, -28, -28, -44, -27, -27, -41, -28, -28, -28, -27, -27, -43, -29, -29, -30, -29, -29, -42, -28, -28, -42, -32, -32, -42, -28, -28, -41, -30, -30, -42, -27, -27, -42, -42, -42, -28, -28, -28, -31, -31, -42, -29, -29, -41, -29, -29, -42, -42, -42, -28, -28, -41, -28, -28, -42, -27, -27, -41, -28, -28, -39, -39, -39, -29, -29, -29, -29, -29, -40, -30, -30, -42, -28, -28, -42, -42, -42, -41, -41, -41, -29, -29, -44, -29, -29, -42, -28, -28, -28, -28, -28, -27, -27, -41, -29, -29, -41, -30, -30, -43, -29, -29, -29, -29, -29, -30, -30, -31, -33, -33, -43, -35, -35, -42, -42, -42, -46, -46, -46, -32, -32, -32, -30, -30, -46, -33, -33, -44, -44, -44, -45, -45, -45, -33, -33, -46, -32, -32, -44, -32, -32, -45, -30, -30, -44, -33, -33, -44, -44, -44, -43, -43, -45, -31, -31, -44, -32, -32, -45, -33, -33, -32, -32, -43, -32, -32, -43, -32, -32, -44, -44, -44, -33, -33, -44, -32, -32, -44, -33, -33, -45, -45, -45, -45, -45, -33, -32, -32, -47, -47, -47, -32, -32, -44, -31, -31, -44, -31, 
