54:e6:fc:9a:43:c8, 4, lab_smart_signage, -53, -70, -60, -64, -51, -52, -60, -51, -53, -59, -68, -73, -71, -71, -66, -66, -70, -70, -72, -69, -75, -69, -50, -62, -63, -52, -55, -71, -65, -71, -66, -71, -46, -69, -54, -52, -67, -76, -48, -54, -72, -67, -65, -51, -62, -80, -64, -71, -65, -69, -74, -67, -65, -64, -70, -55, -64, -66, -50, -69, -76, -70, -69, -54, -70, -82, -69, -68, -51, -69, -70, -70, -66, -73, -69, -63, -52, -75, -84, -72, -70, -69, -70, -71, -72, -69, -71, -70, -78, -53, -79, -70, -69, -70, -69, -79, -68, -69, -67, -74, -59, -73, -72, -73, -52, -70, -64, -75, -51, -63, -66, -63, -64, -65, -70, -65, -67, -64, -46, -62, -60, -46, -71, -72, -70, -68, -52, -66, -55, -74, -68, -67, -69, -60, -70, -72, -69, -58, -64, -56, -49, -64, -65, -64, -53, -70, -61, -55, -64, -65, -67, -64, -70, -60, -66, -71, -70, -70, -69, -54, -66, -60, -70, -66, -71, -64, -63, -49, -68, -70, -54, -71, -76, -64, -64, -62, -74, -65, -63, -72, -68, -70, -70, -53, -69, -64, -70, -56, -63, -68, -66, -72, -51, -68, -55, -72, -75, -72, -71, -73, 
4c:e6:76:45:c3:33, 7, social_media, -58, -58, -58, -58, -74, -70, -58, -71, -80, -74, -73, -71, -75, -54, -60, -67, -59, -55, -69, -68, -63, -73, -73, -71, -54, -66, -72, -59, -63, -71, -73, -70, -76, -56, -58, -61, -64, -74, -60, -54, -51, -52, -72, -70, -72, -68, -73, -67, -50, -52, -63, -56, -66, -68, -70, -61, -68, -55, -74, -70, -79, -57, -58, -54, -55, -71, -71, -76, -58, -70, -52, -75, -51, -82, -57, -59, -69, -73, -63, -53, -74, -74, -70, -74, -71, -74, -62, -58, -71, -58, -54, -56, -52, -63, -70, -76, -59, -70, -60, -58, -77, -75, -73, -71, -75, -76, -58, -60, -57, -76, -55, -77, -61, -71, -60, -60, -62, -54, -65, -73, -55, -68, -72, -70, -67, -66, -79, -81, -74, -74, -64, -58, -77, -58, -70, -64, -56, -57, -72, -55, -68, -71, -53, -52, -56, -70, -57, -72, -56, -54, -55, -79, -71, -55, -71, -57, -63, -81, -67, -59, -80, -73, -72, -67, -74, -71, -60, -57, -76, -58, -65, -56, -63, -75, -74, -72, -68, -70, -71, -71, -55, -59, -71, -81, -73, -67, -54, -68, -71, -73, -72, -60, -68, -72, -61, -75, -71, -77, -71, -76, 
00:23:eb:3a:28:bf, 48, sMobileNet, -53, -49, -50, -51, -50, -52, -52, -51, -51, -49, -49, -49, -50, -47, -48, -50, -51, -48, -49, -48, -50, -50, -48, -48, -49, -49, -50, -50, -50, -48, -48, -49, -49, -50, -49, -48, -48, -49, -50, -49, -48, -48, -49, -49, -48, -49, -49, -51, -50, -50, -50, -50, -50, -49, -49, -49, -49, -50, -48, -48, -48, -48, -50, -49, -51, -49, -48, -49, -50, -48, -49, -49, -51, -51, -51, -49, -51, -51, -48, -47, -51, -49, -51, -50, -50, -50, -49, -50, -48, -49, -48, -48, -49, -49, -49, -48, -46, -48, -49, -49, -49, -49, -49, -51, -49, -48, -48, -50, -48, -47, -50, -48, -49, -49, -49, -47, -48, -48, -47, -48, -50, -48, -49, -51, -48, -50, -51, -53, -51, -51, -48, -47, -49, -48, -50, -49, -50, -49, -51, -50, -48, -49, -50, -47, -49, -49, -51, -48, -49, -49, -48, -49, -48, -50, -48, -51, -54, -49, -48, -52, -51, -52, -49, -51, -50, -50, -50, -47, -49, -51, -50, -49, -50, -52, -52, -50, -50, -51, -50, -49, -50, -51, -51, -52, -49, -49, -50, -50, -50, -50, -49, -49, -51, -51, -50, -49, -55, -52, -57, -57, 
90:f6:52:43:1c:ae, 11, CloudFleet, -53, -69, -54, -54, -77, -72, -56, -79, -74, -57, -49, -49, -56, -56, -70, -69, -70, -72, -67, -66, -71, -69, -60, -71, -76, -76, -68, -68, -58, -72, -78, -73, -55, -71, -52, -75, -70, -66, -71, -68, -83, -64, -50, -68, -67, -67, -58, -58, -58, -75, -67, -68, -51, -69, -72, -56, -71, -77, -78, -69, -52, -54, -64, -54, -62, -51, -64, -58, -57, -81, -68, -67, -69, -57, -71, -55, -57, -51, -51, -75, -55, -70, -69, -68, -67, -69, -59, -71, -70, -75, -72, -71, -74, -58, -73, -78, -49, -76, -69, -65, -76, -71, -72, -57, -53, -60, -53, -67, -56, -53, -69, -73, -67, -52, -67, -59, -74, -47, -66, -70, -70, -72, -82, -71, -57, -73, -64, -65, -73, -68, -71, -64, -70, -72, -71, -74, -54, -76, -57, -65, -76, -76, -68, -57, -51, -71, -70, -59, -66, -74, -54, -54, -58, -71, -60, -72, -78, -74, -68, -67, -71, -70, -60, -70, -74, -71, -50, -68, -71, -66, -55, -65, -79, -73, -80, -69, -57, -75, -68, -53, -67, -71, -69, -53, -72, -72, -66, -69, -59, -67, -82, -72, -64, -72, -74, -75, -75, -57, -60, -57, 
00:23:eb:3a:27:ef, 161, sMobileNet, -72, -74, -65, -72, -73, -73, -71, -78, -78, -73, -68, -73, -66, -69, -69, -70, -70, -69, -71, -71, -73, -71, -71, -71, -71, -70, -70, -68, -74, -67, -72, -69, -69, -71, -74, -74, -72, -72, -74, -74, -72, -70, -70, -73, -73, -69, -66, -72, -70, -71, -70, -71, -70, -68, -72, -70, -72, -72, -64, -64, -69, -66, -68, -69, -69, -70, -68, -68, -71, -69, -70, -72, -72, -69, -70, -73, -75, -74, -67, -67, -73, -73, -75, -75, -75, -69, -66, -71, -71, -71, -70, -71, -70, -70, -71, -71, -63, -69, -64, -73, -72, -64, -71, -71, -70, -71, -63, -63, -70, -70, -73, -66, -66, -71, -71, -71, -70, -72, -65, -63, -63, -70, -70, -71, -70, -70, -63, -63, -74, -74, -73, -76, -69, -69, -69, -70, -66, -69, -70, -71, -68, -62, -68, -69, -68, -68, -67, -68, -69, -70, -70, -68, -72, -68, -70, -73, -69, -64, -68, -66, -66, -67, -69, -67, -68, -68, -68, -68, -70, -71, -71, -71, -67, -65, -68, -70, -68, -67, -68, -64, -68, -67, -67, -67, -68, -69, -67, -70, -68, -68, -66, -67, -69, -62, -67, -69, -68, -71, -71, -71, 
00:27:19:d6:f9:14, 6, Dante, -75, -73, -70, -74, -73, -76, -67, -75, -57, -72, -72, -64, -58, -74, -75, -76, -70, -71, -67, -72, -57, -59, -73, -69, -56, -58, -69, -72, -70, -78, -72, -59, -62, -61, -78, -57, -71, -71, -74, -71, -74, -70, -56, -72, -72, -60, -72, -72, -76, -56, -52, -69, -72, -71, -57, -73, -72, -70, -74, -57, -57, -58, -72, -73, -71, -72, -71, -78, -61, -71, -72, -72, -71, -73, -74, -74, -71, -74, -73, -90, -55, -73, -72, -74, -72, -58, -74, -71, -71, -70, -77, -75, -61, -60, -61, -74, -72, -74, -72, -71, -81, -73, -79, -75, -75, -65, -71, -61, -71, -72, -72, -71, -72, -56, -71, -74, -75, -73, -60, -70, -65, -75, -76, -76, -75, -74, -73, -72, -73, -72, -58, -71, -71, -74, -59, -74, -60, -71, -77, -70, -76, -71, -75, -71, -70, -75, -69, -78, -73, -72, -72, -73, -71, -56, -71, -72, -73, -76, -67, -71, -82, -80, -70, -71, -67, -72, -71, -75, -72, -71, -71, -58, -72, -71, -71, -58, -73, -65, -69, -75, -73, -73, -64, -59, -69, -76, -72, -70, -73, -71, -73, -57, -57, -76, -61, -73, -74, -73, -69, -71, 
00:23:eb:3a:28:b0, 1, sMobileNet, -30, -16, -16, -15, -33, -33, -16, -35, -35, -13, -13, -13, -31, -31, -12, -12, -12, -13, -13, -12, -32, -32, -12, -30, -30, -12, -12, -12, -30, -30, -13, -13, -13, -32, -32, -12, -12, -12, -31, -31, -13, -30, -30, -31, -31, -12, -12, -12, -30, -30, -12, -12, -12, -31, -31, -12, -12, -13, -30, -30, -11, -11, -12, -30, -30, -13, -13, -13, -32, -32, -13, -13, -13, -31, -31, -14, -14, -14, -30, -30, -19, -19, -19, -29, -29, -13, -13, -13, -30, -30, -12, -12, -12, -31, -31, -12, -12, -12, -30, -30, -12, -12, -12, -30, -30, -12, -12, -12, -30, -30, -12, -12, -13, -30, -30, -12, -12, -12, -31, -31, -13, -31, -31, -12, -12, -13, -30, -30, -16, -16, -13, -31, -31, -12, -12, -13, -32, -32, -13, -13, -12, -31, -31, -31, -31, -31, -12, -12, -12, -31, -31, -13, -13, -12, -31, -31, -20, -20, -12, -30, -30, -30, -30, -14, -14, -14, -30, -30, -13, -13, -13, -13, -13, -32, -32, -12, -12, -12, -31, -31, -12, -12, -12, -30, -30, -12, -12, -12, -31, -31, -14, -14, -13, -30, -30, -12, -12, -12, -39, -39, 
00:23:eb:3a:27:e0, 11, sMobileNet, -63, -72, -72, -72, -68, -68, -68, -70, -70, -65, -52, -52, -52, -52, -52, -49, -49, -63, -49, -49, -68, -54, -54, -66, -66, -64, -51, -51, -50, -50, -65, -50, -50, -64, -64, -64, -51, -51, -51, -51, -51, -56, -56, -68, -68, -68, -51, -51, -66, -66, -66, -53, -53, -69, -69, -69, -50, -50, -50, -50, -66, -50, -50, -50, -50, -50, -51, -51, -52, -52, -52, -51, -51, -51, -51, -51, -52, -52, -65, -65, -65, -51, -51, -63, -63, -63, -63, -63, -63, -63, -63, -49, -49, -63, -63, -63, -52, -52, -52, -52, -63, -53, -53, -53, -53, -68, -51, -51, -51, -51, -67, -54, -54, -54, -54, -54, -53, -53, -64, -53, -53, -51, -51, -64, -49, -49, -65, -65, -63, -55, -55, -51, -51, -64, -49, -49, -61, -61, -60, -50, -50, -50, -48, -48, -48, -48, -61, -47, -47, -47, -47, -47, -51, -51, -51, -51, -65, -48, -48, -50, -50, -50, -50, -50, -49, -49, -49, -49, -49, -51, -51, -47, -47, -63, -63, -63, -48, -48, -61, -61, -61, -48, -48, -48, -48, -48, -50, -50, -62, -62, -60, -48, -48, -62, -62, -63, -57, -57, -57, -57, 
dc:9f:db:0e:c0:b6, 1, , -58, -59, -60, -60, -60, -60, -58, -58, -58, -58, -58, -78, -80, -79, -79, -79, -79, -70, -66, -66, -68, -68, -68, -68, -57, -57, -61, -61, -61, -61, -61, -61, -61, -79, -79, -79, -79, -69, -67, -60, -60, -61, -61, -57, -57, -57, -80, -80, -80, -80, -80, -80, -80, -80, -61, -61, -61, -60, -60, -60, -79, -77, -81, -81, -80, -80, -80, -80, -61, -61, -63, -63, -63, -63, -63, -63, -80, -80, -78, -78, -67, -67, -67, -66, -58, -60, -60, -60, -60, -60, -81, -81, -79, -79, -79, -79, -68, -68, -59, -59, -56, -57, -57, -57, -57, -57, -57, -57, -81, -68, -68, -55, -55, -58, -59, -59, -58, -58, -58, -76, -76, -80, -80, -80, -80, -81, -81, -66, -66, -60, -59, -58, -59, -62, -62, -62, -79, -79, -79, -79, -67, -67, -67, -67, -67, -67, -77, -77, -77, -77, -77, -68, -60, -59, -62, -62, -62, -62, -78, -80, -80, -80, -80, -64, -57, -61, -59, -61, -61, -76, -74, -74, -74, -74, -66, -68, -60, -59, -59, -59, -60, -60, -78, -79, -80, -80, -80, -67, -67, -67, -67, -63, -62, -58, -59, -59, -59, -59, -59, -77, 
00:25:84:23:18:9f, 149, sMobileNet, -71, -77, -77, -76, -70, -70, -78, -72, -72, -77, -77, -77, -71, -71, -77, -77, -77, -77, -77, -76, -71, -71, -77, -71, -71, -77, -77, -77, -71, -71, -77, -77, -76, -71, -71, -77, -77, -77, -71, -71, -77, -71, -71, -71, -71, -76, -76, -77, -71, -71, -77, -77, -76, -71, -71, -77, -77, -76, -74, -74, -76, -76, -76, -71, -71, -76, -76, -77, -71, -71, -77, -77, -77, -71, -71, -77, -77, -77, -71, -71, -76, -76, -77, -71, -71, -77, -77, -77, -71, -71, -76, -76, -76, -71, -71, -76, -76, -76, -71, -71, -76, -76, -77, -71, -71, -76, -76, -76, -71, -71, -77, -77, -77, -71, -71, -77, -77, -77, -71, -71, -76, -76, -76, -71, -71, -77, -77, -77, -71, -71, -77, -77, -77, -77, -77, -77, -71, -71, -77, -77, -76, -76, -76, -77, -71, -71, -77, -77, -77, -71, -71, -77, -77, -77, -71, -71, -76, -76, -76, -76, -76, -71, -71, -77, -77, -77, -72, -72, -77, -77, -77, -77, -77, -70, -70, -77, -77, -77, -71, -71, -75, -75, -77, -71, -71, -77, -77, -76, -70, -70, -76, -76, -77, -71, -71, -79, -79, -77, -73, -73, 
