lift29	4_22.335746942_114.264069508
4545	4_22.3360928748_114.264042604
4422	4_22.3369715055_114.264036395
4426	4_22.3369297882_114.264036395
4435	4_22.3368527716_114.264036395
4439	4_22.336815547_114.264036395
4443	4_22.3367340378_114.264036395
4450	4_22.3366557376_114.264036395
4451	4_22.3366268564_114.264036395
4524	4_22.3363848959_114.264036395
4532	4_22.3362931179_114.264036395
4534	4_22.3362244448_114.264036395
4541	4_22.3361724586_114.264036395
4552	4_22.3360235599_114.264036395
4553	4_22.3359831262_114.264036395
lift30	4_22.335746942_114.264036395
4355	4_22.3375093379_114.264031566
4337	4_22.3377172827_114.264025358
4351	4_22.3376113849_114.264025358
4374	4_22.3373296326_114.264023288
4335	4_22.3376794162_114.264020529
4363	4_22.3373957385_114.264020529
4585c	4_22.3357514346_114.263999144
4410	4_22.3370421041_114.263993625
4418	4_22.3370157901_114.263993625
4342	4_22.3376409079_114.263988106
4585a	4_22.3357860921_114.263988106
4573	4_22.3358637505_114.263985347
4525	4_22.3364278969_114.263981897
4577	4_22.3359510359_114.263981897
4375	4_22.3372930497_114.263980518
4469	4_22.3366191547_114.26397086
4380	4_22.3372975424_114.263901875
4473	4_22.3366185129_114.263888079
4580	4_22.3359272891_114.263862554
4382	4_22.3372975424_114.263823233
4477	4_22.3366178711_114.263806677
4578	4_22.3359253637_114.263755628
4332	4_22.3376415497_114.263709409
4485	4_22.3365132569_114.263690093
4094	4_22.3370530147_114.26361352
4109	4_22.336894489_114.26361352
4113	4_22.3367308287_114.26361352
4115	4_22.336601826_114.26361352
4117	4_22.3364510018_114.26361352
4121	4_22.3363078794_114.26361352
4124	4_22.3362443407_114.26361352
4137	4_22.3359946786_114.26361352
4141	4_22.3358688849_114.26361352
4147	4_22.3357424494_114.26361352
