00:17:df:aa:9b:a2, 1, sMobileNet, -67, -69, -64, -68, -70, -69, -66, -70, -70, -67, -72, -74, -68, -70, -69, -72, -76, -71, -71, -73, -74, -71, -69, -67, -69, -70, -75, -72, -73, -73, -74, -73, -65, -69, -70, -69, -70, -71, -72, -70, -71, -73, -72, -72, -69, -69, -72, -72, -72, -74, -73, -71, -71, -71, -69, -71, -72, -72, -70, -71, -73, -72, -71, -73, -73, -73, -71, -72, -73, -73, -75, -72, -72, -69, -72, -73, -72, -71, -70, -70, -71, -71, -72, -72, -72, -70, -72, -67, -67, -68, -69, -69, -69, -70, -68, -72, -73, -72, -72, -72, -69, -71, -71, -72, -73, -73, -70, -72, -73, -72, -73, -72, -72, -72, -75, -73, -73, -72, -70, -71, -70, -73, -72, -74, -72, -71, -72, -72, -71, -73, -68, -69, -68, -69, -69, -73, -73, -71, -73, -72, -73, -71, -71, -69, -73, -72, -71, -72, -72, -67, -70, -70, -70, -72, -72, -72, -75, -72, -72, -73, -71, -71, -71, -71, -73, -72, -73, -72, -72, -76, -72, -73, -71, -72, -70, -73, -72, -73, -71, -71, -70, -70, -70, -70, -68, -71, -71, -71, -70, -71, -70, -70, -71, -71, -69, -71, -71, -71, -72, -64, 
00:17:df:aa:9b:a1, 1, eduroam, -67, -67, -65, -67, -68, -69, -64, -70, -69, -67, -72, -74, -68, -71, -69, -73, -74, -72, -71, -73, -74, -71, -69, -65, -70, -69, -74, -73, -73, -73, -74, -74, -65, -70, -72, -71, -70, -70, -71, -71, -71, -72, -71, -71, -69, -69, -72, -73, -73, -73, -74, -72, -70, -69, -71, -72, -72, -73, -70, -72, -71, -72, -70, -70, -70, -70, -72, -72, -74, -72, -74, -71, -72, -70, -72, -72, -73, -69, -71, -71, -71, -70, -70, -70, -72, -70, -73, -68, -70, -68, -69, -68, -67, -70, -66, -72, -72, -72, -73, -74, -69, -72, -71, -71, -73, -73, -70, -73, -73, -72, -73, -73, -73, -73, -76, -71, -74, -73, -70, -68, -69, -72, -73, -73, -72, -71, -73, -73, -73, -72, -68, -71, -68, -69, -69, -70, -73, -71, -72, -72, -72, -71, -71, -70, -71, -73, -73, -73, -72, -72, -70, -72, -70, -72, -72, -72, -72, -72, -72, -73, -72, -72, -72, -73, -73, -71, -74, -71, -73, -75, -73, -74, -72, -72, -71, -73, -74, -72, -72, -70, -71, -71, -69, -70, -70, -72, -72, -70, -70, -70, -69, -69, -70, -70, -68, -71, -71, -69, -69, -65, 
00:23:eb:0b:52:00, 1, sMobileNet, -80, -80, -80, -80, -80, -80, -80, -80, -80, 0, 0, 0, 0, -82, -82, -82, -82, -82, -82, -82, -82, -82, -79, -79, -79, -79, -79, -79, -82, -82, -82, -82, -82, -82, -82, -82, -82, -82, -81, -81, -81, -81, -80, -80, -80, -80, -80, -80, -80, -80, -80, 0, 0, 0, -83, -83, -83, -83, -81, -81, -82, -82, -82, -82, -82, -82, -81, -81, -81, -81, -81, -81, -81, -81, -81, 0, 0, 0, 0, 0, 0, 0, 0, 0, -81, -81, -81, -81, -81, -81, -81, -81, -80, -80, -81, -81, -80, -80, -80, -80, -80, -80, -81, -81, -81, -81, -81, -81, -82, -82, -82, -82, -81, -81, -80, -80, -81, -81, -81, -81, -81, -81, -81, -81, -81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -80, -80, -82, -82, -81, -81, -81, -81, -81, -81, -81, -81, -81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -82, -82, -82, -82, -82, -82, -83, -83, -81, -81, -81, -81, -81, -81, -81, -81, -81, 0, 0, 0, 0, 
00:23:eb:0a:be:20, 1, sMobileNet, -74, -74, -74, -74, -74, -76, -76, -67, -67, -67, -67, -67, -67, -67, -62, -62, -74, -74, -74, -74, -72, -72, -72, -72, -79, -79, -76, -76, -73, -73, -72, -72, -72, -72, -67, -67, -65, -65, -65, -65, -65, -65, -65, -65, -64, -64, -64, -64, -65, -65, -65, -65, -65, -65, -65, -65, -64, -64, -65, -65, -65, -65, -65, -65, -65, -65, -64, -64, -67, -67, -67, -67, -72, -72, -69, -69, -75, -75, -68, -68, -65, -65, -65, -65, -65, -65, -71, -71, -73, -73, -77, -77, -71, -71, -66, -66, -65, -65, -65, -65, -65, -65, -67, -67, -71, -71, -65, -65, -65, -65, -64, -64, -64, -64, -73, -73, -73, -73, -73, -73, -73, -65, -65, -64, -64, -64, -64, -65, -65, -64, -64, -75, -75, -76, -76, -72, -72, -72, -72, -64, -64, -69, -69, -69, -69, -69, -69, -67, -67, -67, -67, -67, -67, -73, -73, -72, -72, -76, -76, -73, -73, -59, -59, -59, -59, -59, -59, -72, -72, -72, -72, -72, -72, -72, -72, -72, 0, 0, 0, -65, -65, -65, -65, -74, -74, -64, -64, -65, -65, -65, -65, -64, -64, -64, -64, -64, -64, -64, -64, -64, 
00:27:19:d6:f9:14, 6, Dante, -75, -79, -78, -69, -74, -73, -72, -72, -70, -67, -70, -68, -69, -73, -68, -72, -66, -67, -70, -67, -68, -71, -76, -76, -77, -82, -82, -72, -68, -70, -75, -81, -67, -63, -68, -68, -69, -66, -68, -67, -69, -66, -69, -68, -68, -67, -68, -66, -66, -68, -83, -67, -70, -69, -68, -68, -69, -68, -67, -69, -68, -67, -68, -67, -66, -68, -69, -68, -68, -65, -68, -73, -68, -70, -69, -72, -71, -66, -71, -68, -68, -67, -68, -67, -69, -67, -73, -71, -71, -70, -74, -78, -72, -77, -90, -66, -68, -68, -69, -67, -68, -73, -68, -68, -74, -69, -67, -67, -69, -67, -67, -66, -69, -69, -70, -71, -71, -74, -79, -73, -71, -67, -68, -68, -67, -67, -69, -66, -66, -69, -68, -71, -74, -74, -68, -72, -67, -72, -69, -67, -70, -65, -69, -69, -68, -73, -70, -71, -68, -68, -71, -67, -76, -84, -73, -66, -66, -70, -68, -71, -68, -67, -69, -69, -67, -66, -68, -67, -69, -66, -68, -66, -68, -67, -68, -68, -68, -69, -67, -68, -67, -71, -68, -75, -68, -68, -69, -68, -68, -66, -68, -68, -68, -67, -68, -74, -77, -70, -73, -71, 
20:aa:4b:cb:b9:c8, 6, rm55xx, -74, -82, -84, -81, -79, -79, -79, -77, -87, -84, -84, -80, -80, -80, -80, -80, -78, -81, -83, -78, -82, -82, -84, -84, -86, -77, -77, -83, -84, -75, -79, -83, -85, -83, -83, -81, -84, -79, -79, -81, -82, -80, -79, -78, -79, -78, -85, -80, -84, -79, -82, -84, -82, -83, -78, -80, -81, -77, -77, -81, -77, -78, -79, -78, -78, -78, -78, -78, -78, -79, -82, -79, -79, -81, -81, -79, -79, -79, -83, -78, -83, -79, -83, -78, -78, -79, -80, -80, -81, -76, -78, -78, -81, -78, -78, -79, -83, -81, -84, -82, -83, -80, -82, -78, -83, -83, -84, -79, -79, -83, -82, -80, -79, -82, -82, -83, -78, -79, -80, -84, -81, -83, -80, -80, -83, -83, -82, -83, -80, -80, -84, -79, -82, -79, -81, -79, -82, -80, -83, -83, -83, -83, -80, -80, -83, -80, -83, -84, -84, -84, -82, -80, -80, -79, -81, -81, -81, -79, -79, -80, -81, -79, -82, -80, -83, -78, -78, -82, -82, -79, -84, -82, -82, -82, -78, -79, -86, -82, -79, -83, -80, -78, -81, -80, -81, -79, -81, -81, -80, -84, -86, -82, -85, -79, -83, -80, -83, -82, -81, -85, 
00:25:84:23:a2:d0, 6, sMobileNet, -68, 0, -69, -70, -71, -72, -70, -70, -70, -70, -70, -71, -71, -71, -71, -71, -71, -70, -70, -71, -71, -71, -74, -74, -74, -71, -73, -73, -73, -73, -73, -73, -73, -73, -73, 0, 0, 0, -71, -70, -70, -73, -77, -75, -75, -73, -73, -73, -73, -73, -73, -73, -77, -77, -71, -71, -71, -71, -71, -71, -71, -71, -71, -71, -71, -71, -71, -71, -71, -71, -71, -71, -71, -70, -70, -70, -70, -70, -70, -70, -71, -71, -71, -71, -71, -71, -71, -71, -71, -71, -71, -71, 0, 0, -72, -72, -71, -71, -71, -71, -71, -71, -71, -71, -70, -70, -70, -70, -70, -71, -71, -71, -71, -71, -70, -70, -70, -70, -70, -70, -70, -70, -70, -70, -70, -70, -70, -70, -70, -70, -70, -70, -70, -70, -70, -70, -71, -71, -71, -71, -70, -70, -70, -70, -70, -70, -70, -70, -70, -70, -70, -70, -70, 0, -71, -71, -71, -71, -71, -71, -70, -70, -71, -71, -71, -71, -71, -71, -71, -71, -70, -70, -70, -70, -70, -70, -70, -70, -70, -70, -70, -70, -71, -71, -71, -71, -71, -71, -71, -71, -71, 0, -70, -70, -73, -73, -73, -73, -73, -73, 
00:25:84:23:1c:10, 6, sMobileNet, -53, 0, 0, 0, -56, -54, -54, -56, -56, -57, -57, -57, -57, -57, -57, -57, -57, -57, 0, -57, -57, -57, -56, -56, -56, -56, -56, -56, -56, -56, -56, 0, -57, -57, -57, -57, -57, -57, -57, -57, -57, 0, -57, -57, -56, -56, -56, -56, -56, -56, -56, -56, -56, -56, -56, -56, -56, -56, -56, -56, -56, -56, -56, -56, -56, -56, 0, 0, -56, -56, -56, -56, -57, -57, -56, -56, -57, -57, -57, -57, -57, -57, -57, -57, -57, -57, -56, -56, -56, -56, -56, -56, -56, -56, -56, -56, -56, -56, -56, -56, -56, -56, -56, 0, -57, -57, -57, -57, -56, -56, -56, -56, -56, -56, -56, -56, -56, -56, -56, -56, -56, -56, -56, -56, -56, -56, -56, -56, -56, -57, -57, -57, -57, -57, -57, -57, -57, -57, -57, -57, -57, -56, -56, -56, -56, -56, -56, -56, -56, -56, -56, -56, -56, -56, -56, -56, -56, -57, -56, -56, -56, -57, -56, -57, -56, -57, -57, -57, -57, -57, -57, -57, -57, -57, -57, -57, -57, -57, -57, -56, -56, -56, -56, -57, -57, -57, -57, -56, -56, -57, -57, -57, -57, -57, -57, -56, -56, -57, -57, -57, 
00:23:eb:0a:c2:1f, 36, sMobileNet, -62, -65, -63, -68, -64, -72, -69, -72, -63, -63, -63, -61, -64, -72, -70, -64, -71, -69, -64, -64, -70, -70, -61, -61, -63, -64, -63, -63, -63, -64, -63, -62, -71, -62, -74, -64, -64, -64, -64, -64, -71, -64, -64, -72, -69, -69, -70, -73, -73, -74, -72, -73, -64, -72, -64, -62, -63, -64, -71, -63, -64, -64, -63, -71, -64, -66, -63, -62, -62, -64, -74, -64, -65, -63, -64, -71, -70, -65, -65, -64, -64, -65, -62, -64, -63, -64, -63, -61, -62, -63, -64, -64, -62, -63, -72, -64, -62, -64, -64, -61, -64, -64, -64, -63, -61, -64, -64, -63, -64, -64, -70, -62, -64, -64, -63, -64, -64, -63, -63, -70, -64, -63, -64, -63, -62, -63, -64, -63, -71, -64, -61, -64, -63, -64, -63, -64, -61, -64, -63, -64, -62, -64, -63, -64, -63, -63, -62, -61, -64, -64, -64, -63, -64, -63, -62, -64, -64, -65, -63, -63, -71, -62, -64, -63, -70, -64, -63, -63, -64, -63, -64, -64, -62, -64, -64, -64, -62, -64, -71, -66, -64, -64, -64, -63, -64, -62, -64, -62, -63, -64, -62, -64, -64, -64, -64, -64, -64, -64, -62, -63, 
00:23:eb:0a:bd:ff, 48, sMobileNet, -68, -70, -68, -67, -70, -68, -70, -69, -64, -60, -60, -66, -64, -64, -57, -59, -60, -60, -61, -59, -63, -60, -60, -61, -67, -65, -64, -59, -57, -59, -64, -67, -59, -59, -62, -60, -60, -60, -60, -60, -61, -60, -60, -60, -58, -59, -59, -60, -60, -60, -60, -60, -60, -60, -60, -60, -59, -60, -60, -60, -61, -59, -60, -60, -61, -60, -60, -59, -60, -60, -60, -60, -61, -62, -60, -65, -61, -61, -60, -60, -60, -60, -60, -60, -60, -61, -67, -69, -67, -72, -71, -61, -64, -65, -59, -60, -60, -60, -59, -59, -59, -62, -61, -60, -59, -59, -64, -61, -60, -60, -60, -60, -60, -60, -61, -60, -62, -65, -69, -64, -61, -60, -62, -60, -61, -60, -61, -62, -61, -60, -66, -72, -72, -67, -64, -62, -61, -60, -61, -60, -62, -62, -63, -64, -64, -61, -64, -62, -61, -62, -62, -61, -64, -65, -61, -60, -60, -60, -61, -60, -60, -60, -61, -60, -60, -61, -61, -61, -60, -61, -61, -60, -60, -61, -61, -60, -60, -60, -62, -61, -60, -67, -62, -61, -60, -60, -60, -61, -61, -61, -60, -62, -61, -60, -60, -60, -66, -61, -68, -70, 
