5518	5_22.3363840695_114.264083964
5463	5_22.3366270446_114.264073601
5446	5_22.3368275955_114.264069456
5442	5_22.3369118011_114.264042512
5462	5_22.336625759_114.264038366
5527	5_22.3362947215_114.264038366
5528	5_22.3362516545_114.264038366
5531	5_22.336213087_114.264038366
5538	5_22.3361378804_114.264038366
5435	5_22.3369850793_114.264035603
5441	5_22.3369484402_114.264035603
5443	5_22.3368758048_114.264035603
5444	5_22.3368295238_114.264035603
5451	5_22.3367928847_114.264035603
5453	5_22.3367588168_114.264035603
5460	5_22.3367215349_114.264035603
5459	5_22.3366906809_114.264035603
5461	5_22.3366501851_114.264035603
5516	5_22.3363840695_114.264035603
5520	5_22.3363397169_114.264035603
5535	5_22.3361783763_114.264035603
5536	5_22.3361848042_114.264012113
5440	5_22.3369349416_114.264009349
5445	5_22.336828881_114.264003822
5470	5_22.3366270446_114.264003822
5514	5_22.3363866406_114.26399415
5435_1	5_22.3369889361_114.263990005
5466_2	5_22.3365659794_114.26398655
5466_1	5_22.3365286975_114.26398655
5513_3	5_22.3364939868_114.26398655
5513_2	5_22.3364573477_114.26398655
5471	5_22.3366045469_114.263984477
5513_1	5_22.3364181374_114.263984477
5408	5_22.3371978432_114.263983096
5409_2	5_22.337152205_114.263983096
5409_1	5_22.3371065669_114.263983096
5409	5_22.3370545008_114.263983096
5401	5_22.3370140049_114.263983096
5472	5_22.3366251162_114.263962369
5509	5_22.336391783_114.263962369
5474	5_22.3366244734_114.26392368
5507	5_22.336391783_114.26389259
5479	5_22.3366264018_114.263886372
5480	5_22.336625759_114.263849065
5508	5_22.3363930686_114.263821429
5486	5_22.3366264018_114.263813139
5485	5_22.3366270446_114.26377514
5505	5_22.3363924258_114.263749578
5487	5_22.336625759_114.263740596
5490	5_22.3365910483_114.263740596
5491	5_22.3366244734_114.263694307
5502	5_22.336391783_114.263694307
5492	5_22.336579478_114.263691544
5493	5_22.336533197_114.263691544
5504	5_22.3364862733_114.263691544
5501	5_22.3364406351_114.263691544
