00:25:84:23:1e:af, 64, sMobileNet, -49, -49, -50, -50, -49, -50, -52, -49, -52, -49, -47, -50, -40, -51, -50, -49, -50, -48, -47, -48, -47, -48, -46, -47, -47, -47, -49, -47, -50, -47, -47, -49, -46, -48, -47, -51, -47, -49, -49, -47, -49, -49, -48, -45, -48, -47, -46, -48, -47, -47, -46, -48, -48, -48, -48, -49, -46, -47, -48, -37, -50, -54, -53, -52, -42, -53, -53, -48, -50, -50, -49, -48, -47, -48, -49, -49, -48, -49, -49, -49, -48, -48, -49, -51, -51, -54, -54, -46, -50, -48, -50, -48, -48, -47, -53, -51, -54, -53, -55, -54, 
00:25:45:a4:fd:ef, 161, sMobileNet, -44, -45, -47, -45, -45, -45, -45, -45, -46, -45, -45, -45, -46, -45, -45, -45, -44, -45, -46, -44, -46, -45, -45, -45, -45, -45, -47, -45, -46, -46, -45, -44, -45, -45, -45, -45, -45, -45, -45, -45, -46, -45, -46, -46, -44, -46, -45, -46, -45, -45, -45, -45, -44, -45, -45, -46, -45, -44, -45, -45, -46, -47, -46, -45, -44, -44, -46, -45, -45, -47, -45, -45, -43, -44, -45, -44, -45, -45, -46, -46, -44, -44, -43, -43, -43, -42, -41, -39, -44, -44, -45, -45, -45, -46, -41, -43, -42, -44, -45, -46, 
00:1f:f3:c3:db:02, 11, , -52, -67, -53, -58, -55, -45, -55, -46, -48, -58, -57, -63, -41, -60, -55, -59, -55, -51, -54, -54, -60, -42, -60, -52, -41, -62, -48, -61, -55, -60, -59, -51, -65, -52, -53, -56, -62, -62, -62, -56, -58, -55, -56, -56, -63, -60, -54, -53, -59, -56, -56, -43, -62, -65, -59, -58, -61, -64, -65, -56, -65, -58, -55, -59, -57, -64, -57, -57, -70, -56, -63, -61, -59, -61, -66, -44, -69, -63, -63, -70, -64, -55, -65, -61, -62, -44, -58, -62, -63, -62, -63, -58, -60, -64, -64, -63, -57, -63, -73, -54, 
d8:9d:67:ea:ac:7e, 6, HP-Print-7E-Officeje, -65, -64, -64, -65, -63, -63, -64, -61, -63, -65, -48, -63, -49, -66, -63, -63, -66, -66, -65, -82, -66, -65, -64, -64, -51, -65, -61, -68, -64, -68, -66, -65, -66, -58, -66, -63, -63, -70, -65, -67, -66, -66, -64, -63, -66, -66, -54, -67, -66, -72, -64, -66, -63, -49, -67, -65, -68, -63, -63, -49, -64, -64, -66, -63, -63, -63, -61, -63, -49, -63, -70, -77, -67, -69, -63, -65, -65, -67, -67, -69, -66, -79, -68, -70, -65, -67, -68, -66, -69, -66, -66, -65, -67, -60, -62, -63, -66, -64, -57, -61, 
00:25:84:23:1d:af, 40, sMobileNet, -46, -45, -45, -44, -45, -46, -45, -45, -47, -46, -45, -45, -47, -44, -45, -46, -46, -46, -45, -46, -46, -46, -46, -45, -46, -46, -47, -47, -46, -46, -45, -45, -45, -46, -45, -45, -46, -47, -46, -46, -46, -46, -47, -46, -45, -48, -47, -45, -46, -46, -45, -47, -46, -46, -45, -46, -45, -47, -48, -47, -44, -46, -47, -46, -44, -45, -46, -47, -44, -46, -51, -46, -45, -46, -46, -45, -46, -46, -45, -47, -47, -45, -47, -46, -45, -47, -46, -46, -45, -46, -47, -47, -45, -47, -46, -50, -54, -44, -44, -46, 
00:25:84:23:1d:ae, 40, Universitie, -47, -45, -44, -45, -45, -46, -45, -45, -46, -45, -47, -45, -47, -45, -47, -45, -47, -45, -47, -45, -46, -46, -46, -46, -46, -46, -47, -45, -45, -46, -46, -46, -46, -45, -45, -45, -45, -48, -45, -45, -46, -46, -46, -46, -44, -47, -47, -45, -45, -47, -46, -46, -46, -46, -46, -46, -45, -45, -46, -46, -45, -46, -46, -46, -44, -46, -46, -46, -46, -47, -50, -47, -47, -44, -47, -46, -45, -46, -46, -47, -47, -44, -46, -46, -46, -48, -47, -46, -46, -45, -45, -46, -45, -47, -45, -50, -53, -44, -45, -46, 
00:25:84:22:e7:4f, 56, sMobileNet, -59, -58, -58, -58, -60, -58, -59, -58, -58, -59, -58, -59, -58, -59, -59, -58, -58, -61, -58, -55, -58, -59, -58, -59, -58, -58, -58, -58, -59, -59, -58, -57, -62, -60, -59, -59, -59, -60, -57, -58, -59, -58, -57, -58, -58, -59, -59, -58, -59, -59, -59, -60, -58, -58, -48, -60, -60, -58, -59, -59, -58, -59, -59, -57, -59, -59, -58, -59, -59, -60, -58, -64, -63, -62, -63, -62, -63, -63, -63, -62, -63, -62, -64, -63, -62, -60, -61, -63, -65, -65, -64, -61, -62, -65, -60, -59, -62, -63, -60, -62, 
00:23:eb:0b:54:91, 1, Universitie, -61, -50, -65, -65, -65, -66, -49, -49, -65, -66, -64, -65, -65, -65, -51, -51, -63, -63, -65, -65, -66, -52, -52, -66, -66, -66, -66, -67, -65, -65, -67, -52, -66, -65, -65, -65, -53, -66, -65, -65, -65, -66, -65, -67, -65, -66, -65, -65, -66, -51, -51, -65, -65, -52, -65, -66, -52, -52, -65, -65, -65, -66, -65, -65, -65, -65, -66, -65, -66, -65, -65, -65, -65, -51, -66, -66, -65, -65, -65, -65, -65, -65, -67, -67, -64, -65, -65, -64, -64, -64, -52, -66, -65, -65, -65, -65, -64, -61, -62, -65, 
00:25:84:23:1d:a0, 1, sMobileNet, -33, -18, -18, -33, -33, -33, -32, -32, -33, -20, -20, -33, -33, -33, -20, -20, -34, -34, -33, -20, -20, -19, -19, -33, -20, -20, -20, -20, -33, -33, -33, -20, -20, -34, -34, -34, -19, -19, -32, -19, -19, -33, -33, -33, -20, -20, -33, -33, -33, -20, -20, -33, -33, -34, -34, -34, -19, -19, -33, -33, -33, -20, -20, -33, -33, -33, -20, -20, -33, -33, -37, -37, -37, -21, -21, -34, -34, -34, -20, -20, -33, -33, -33, -20, -20, -32, -32, -32, -32, -32, -20, -20, -33, -33, -39, -19, -19, -32, -32, -32, 
00:25:84:23:1e:a0, 1, sMobileNet, -28, -28, -42, -42, -45, -40, -40, -40, -29, -40, -40, -41, -40, -39, -39, -43, -39, -42, -41, -42, -40, -40, -40, -40, -41, -40, -40, -42, -42, -42, -27, -27, -40, -40, -39, -29, -29, -41, -41, -41, -40, -40, -41, -27, -27, -40, -39, -40, -40, -40, -29, -39, -40, -40, -41, -27, -27, -41, -41, -41, -41, -40, -41, -41, -40, -41, -40, -40, -40, -41, -41, -41, -40, -40, -41, -40, -39, -27, -27, -40, -39, -40, -39, -41, -44, -44, -44, -49, -40, -28, -27, -41, -41, -40, -41, -41, -45, -45, -44, -33, 
