00:25:84:23:1c:1f, 161, sMobileNet, -53, -54, -54, -53, -54, -54, -54, -55, -55, -54, -53, -54, -54, -54, -54, -55, -56, -53, -54, -53, -54, -54, -54, -54, -54, -53, -54, -54, -54, -54, -54, -54, -55, -52, -54, -54, -53, -54, -52, -53, -54, -54, -55, -54, -54, -57, -58, -54, -54, -54, -54, -53, -53, -53, -53, -54, -56, -54, -53, -59, -61, -54, -53, -54, -54, -53, -54, -54, -54, -54, -53, -54, -54, -54, -53, -55, -54, -54, -54, -56, -54, -56, -55, -55, -54, -54, -54, -54, -54, -54, -55, -55, -53, -59, -58, -57, -57, -59, -59, -58, 
00:25:45:a4:87:6f, 60, sMobileNet, -73, -73, -73, -74, -72, -74, -74, -76, -75, -73, -72, -76, -71, -74, -74, -72, -74, -72, -75, -72, -75, -72, -75, -73, -73, -72, -74, -73, -73, -72, -74, -76, -71, -73, -72, -74, -70, -73, -71, -77, -75, -74, -73, -73, -73, -73, -74, -76, -74, -73, -74, -74, -73, -73, -71, -75, -77, -77, -75, -75, -80, -74, -73, -73, -73, -73, -75, -75, -74, -74, -74, -73, -74, -72, -74, -75, -73, -73, -74, -75, -73, -75, -74, -75, -73, -74, -73, -74, -62, -73, -73, -75, -75, -77, -78, -71, -73, -75, -81, -75, 
ec:55:f9:c7:54:04, 1, Connectify-929, -61, -61, -64, -45, -46, -46, -58, -67, -58, -65, -43, -64, -56, -64, -62, -63, -45, -58, -61, -61, -64, -64, -62, -62, -64, -64, -61, -61, -67, -61, -64, -65, -63, -66, -75, -60, -66, -66, -44, -62, -65, -64, -62, -62, -51, -59, -56, -63, -64, -64, -63, -57, -65, -65, -44, -60, -65, -63, -62, -47, -42, -67, -58, -65, -57, -66, -42, -59, -59, -55, -46, -48, -67, -69, -64, -53, -62, -57, -65, -58, -55, -46, -61, -60, -64, -61, -62, -65, -65, -60, -65, -46, -67, -60, -61, -53, -77, -43, -60, -54, 
20:aa:4b:cb:c8:f4, 6, Cisco97320, -67, -44, -57, -59, -67, -48, -74, -70, -63, -69, -75, -52, -72, -70, -73, -67, -62, -69, -48, -71, -67, -59, -72, -74, -74, -67, -74, -68, -71, -75, -59, -58, -70, -64, -64, -55, -64, -59, -64, -70, -65, -70, -69, -54, -62, -73, -72, -67, -64, -63, -68, -54, -71, -63, -75, -54, -64, -67, -69, -53, -69, -76, -70, -61, -65, -62, -73, -46, -59, -64, -72, -62, -60, -63, -75, -68, -72, -64, -65, -48, -76, -66, -66, -70, -71, -71, -49, -63, -63, -66, -62, -69, -62, -69, -73, -63, -49, -64, -76, -51, 
00:25:45:a4:e0:1f, 64, sMobileNet, -66, -66, -65, -64, -66, -65, -65, -59, -70, -66, -67, -66, -66, -67, -65, -65, -66, -65, -66, -68, -66, -68, -66, -67, -66, -66, -69, -67, -67, -67, -67, -66, -70, -66, -67, -67, -67, -68, -57, -73, -66, -66, -67, -67, -66, -69, -67, -67, -67, -67, -66, -65, -67, -67, -67, -68, -66, -70, -67, -67, -70, -70, -68, -68, -66, -68, -68, -64, -65, -68, -67, -67, -68, -66, -66, -67, -67, -64, -68, -69, -70, -68, -65, -66, -70, -69, -68, -66, -68, -69, -66, -69, -66, -69, -67, -69, -65, -71, -69, -55, 
64:66:b3:23:dc:49, 1, 55xx, -55, -58, -57, -58, -57, -58, -56, -59, -59, -58, -57, -57, -57, -55, -58, -57, -58, -57, -55, -55, -55, -58, -57, -58, -58, -58, -57, -58, -58, -60, -56, -58, -56, -61, -60, -60, -61, -62, -59, -57, -57, -57, -57, -58, -58, -59, -54, -54, -57, -57, -58, -58, -57, -57, -59, -61, -61, -58, -61, -62, -47, -58, -58, -45, -57, -58, -58, -57, -55, -55, -54, -57, -56, -56, -57, -59, -59, -59, -59, -63, -57, -58, -59, -62, -62, -62, -66, -57, -55, -55, -56, -58, -55, -58, -55, -56, -56, -60, -55, -57, 
00:25:84:23:19:ee, 64, Universitie, -58, -61, -63, -62, -64, -61, -61, -59, -61, -64, -61, -60, -62, -64, -59, -59, -60, -60, -59, -65, -63, -59, -50, -65, -62, -60, -60, -62, -63, -61, -64, -62, -65, -62, -61, -60, -61, -61, -63, -59, -62, -61, -61, -61, -63, -61, -60, -61, -63, -63, -62, -61, -62, -66, -62, -64, -63, -61, -62, -62, -61, -63, -65, -61, -63, -50, -60, -61, -61, -63, -62, -62, -61, -61, -62, -65, -62, -61, -61, -65, -60, -60, -60, -65, -63, -62, -62, -62, -62, -62, -62, -64, -62, -49, -62, -65, -62, -64, -61, -63, 
00:25:84:23:19:ef, 64, sMobileNet, -60, -61, -61, -63, -64, -61, -62, -60, -63, -62, -62, -63, -62, -64, -59, -61, -59, -62, -63, -62, -62, -61, -65, -64, -61, -62, -60, -63, -62, -62, -63, -66, -64, -50, -60, -60, -61, -64, -62, -60, -51, -61, -62, -61, -61, -60, -59, -65, -60, -62, -59, -60, -63, -64, -64, -63, -61, -61, -63, -63, -62, -65, -64, -62, -63, -61, -63, -61, -60, -62, -60, -63, -59, -61, -61, -63, -60, -63, -61, -65, -60, -59, -58, -61, -63, -59, -60, -60, -62, -63, -61, -64, -66, -61, -61, -62, -60, -63, -59, -64, 
00:25:84:23:17:af, 48, sMobileNet, -60, -60, -62, -60, -59, -60, -60, -61, -59, -59, -60, -59, -61, -59, -61, -60, -62, -60, -60, -60, -63, -59, -62, -60, -61, -61, -61, -60, -63, -62, -60, -60, -61, -60, -59, -60, -59, -60, -60, -60, -62, -66, -63, -61, -64, -60, -60, -59, -66, -66, -60, -62, -61, -61, -63, -59, -61, -62, -63, -60, -60, -63, -61, -62, -61, -51, -60, -61, -59, -61, -59, -61, -62, -59, -58, -61, -61, -60, -63, -62, -59, -59, -60, -60, -64, -61, -63, -61, -60, -60, -60, -63, -64, -59, -59, -61, -61, -61, -60, -60, 
00:25:84:23:17:ae, 48, Universitie, -61, -59, -62, -60, -60, -59, -58, -58, -60, -61, -61, -59, -60, -59, -61, -61, -61, -61, -60, -61, -62, -59, -60, -60, -60, -60, -63, -62, -62, -61, -59, -60, -60, -62, -61, -59, -60, -60, -59, -61, -63, -64, -64, -60, -63, -60, -61, -57, -64, -64, -61, -61, -61, -61, -63, -60, -59, -59, -61, -60, -60, -62, -61, -61, -61, -52, -60, -60, -59, -60, -60, -60, -62, -58, -58, -60, -60, -59, -62, -62, -60, -58, -60, -60, -65, -61, -64, -61, -60, -62, -61, -64, -63, -59, -60, -62, -62, -61, -60, -61, 
00:23:eb:0b:4d:af, 52, sMobileNet, -67, -71, -58, -69, -70, -70, -68, -69, -70, -69, -70, -70, -69, -70, -71, -70, -69, -68, -69, -72, -69, -70, -71, -70, -69, -68, -70, -68, -68, -69, -69, -70, -69, -69, -70, -69, -68, -70, -69, -72, -68, -71, -69, -69, -68, -69, -70, -70, -71, -71, -70, -69, -59, -70, -68, -69, -70, -69, -71, -70, -69, -70, -70, -69, -69, -69, -70, -70, -69, -69, -71, -58, -71, -70, -68, -70, -68, -70, -70, -72, -72, -68, -70, -69, -70, -70, -71, -69, -70, -69, -68, -70, -71, -72, -73, -73, -70, -71, -67, -69, 
00:23:eb:0b:4d:ae, 52, Universitie, -68, -72, -68, -69, -69, -69, -68, -69, -68, -69, -69, -70, -69, -69, -71, -71, -69, -69, -69, -73, -68, -69, -71, -69, -68, -68, -69, -69, -68, -69, -69, -70, -70, -70, -69, -69, -69, -70, -70, -71, -68, -72, -68, -69, -68, -70, -69, -68, -71, -71, -69, -69, -71, -70, -69, -69, -70, -70, -70, -69, -70, -70, -72, -69, -69, -68, -69, -71, -69, -69, -70, -69, -59, -69, -68, -70, -70, -70, -70, -70, -70, -67, -70, -70, -70, -70, -70, -69, -71, -69, -69, -70, -70, -72, -75, -70, -70, -70, -67, -70, 
00:25:84:22:fb:4f, 56, sMobileNet, -74, -76, -80, -76, -81, -78, -79, -81, -75, -74, -73, -74, -77, -73, -74, -74, -74, -74, -72, -72, -77, -77, -74, -78, -75, -75, -79, -74, -76, -74, -77, -75, -77, -67, -79, -78, -77, -78, -78, -72, -73, -74, -74, -77, -74, -74, -77, -77, -77, -78, -77, -78, -75, -76, -74, -75, -77, -77, -79, -77, -76, -77, -77, -80, -80, -77, -78, -79, -75, -79, -77, -78, -81, -78, -78, -78, -79, -78, -66, -75, -71, -78, -76, -78, -78, -67, -80, -79, -79, -79, -79, -77, -77, -71, -72, -72, -74, -74, -74, -74, 
