88:51:fb:22:8b:96, 6, HP-Print-96-Officeje, -81, -73, -75, -75, -75, -75, -75, -77, -76, -76, -77, -76, -77, -72, -72, -80, -81, -81, -78, -76, -76, -76, -76, -78, -80, -79, -79, -82, -75, -75, -78, -79, -79, -79, -80, -79, -77, -76, -76, -79, -77, -77, -77, -80, -79, -80, -76, -77, -77, -80, -80, -80, -80, -83, -80, -80, -80, -79, -79, -80, -79, -78, -78, -79, -82, -75, -78, -80, -79, -80, -80, -78, -78, -78, -78, -78, -77, -78, -79, -79, -78, -79, -79, -76, -79, -73, -73, -73, -79, -78, -76, -79, -79, -77, -78, -80, -78, -77, -75, -74, 
00:25:45:a4:87:6f, 60, sMobileNet, -78, -81, -79, -76, -79, -79, -75, -77, -76, -79, -79, -73, -69, -77, -75, -76, -75, -76, -71, -78, -75, -74, -79, -79, -77, -76, -78, -77, -76, -77, -78, -77, -78, -78, -77, -76, -78, -74, -76, -72, -75, -76, -76, -77, -76, -76, -74, -71, -76, -76, -77, -75, -76, -76, -76, -78, -76, -78, -77, -76, -76, -76, -76, -74, -72, -70, -75, -72, -72, -74, -78, -76, -74, -76, -76, -76, -76, -77, -78, -77, -77, -78, -76, -76, -70, -75, -74, -70, -76, -74, -76, -74, -82, -76, -77, -75, -78, -81, -79, -76, 
20:aa:4b:cb:c8:f4, 6, Cisco97320, -77, -69, -72, -70, -72, -72, -70, -70, -72, -73, -73, -72, -71, -69, -77, -71, -73, -70, -72, -72, -71, -71, -72, -72, -70, -72, -71, -77, -79, -68, -71, -71, -74, -73, -69, -73, -78, -73, -73, -72, -72, -67, -69, -72, -72, -71, -70, -71, -73, -71, -71, -71, -72, -72, -71, -74, -73, -73, -72, -75, -73, -72, -73, -72, -73, -71, -72, -72, -69, -73, -73, -72, -72, -73, -73, -72, -77, -72, -73, -77, -73, -73, -77, -72, -74, -71, -73, -72, -73, -72, -72, -72, -73, -73, -78, -74, -74, -73, -73, -73, 
00:25:84:23:1c:1f, 161, sMobileNet, -53, -57, -48, -48, -49, -50, -54, -54, -51, -51, -47, -53, -47, -47, -50, -50, -51, -51, -52, -46, -47, -49, -48, -48, -50, -49, -49, -50, -49, -49, -47, -49, -49, -48, -49, -49, -49, -50, -47, -48, -47, -50, -49, -48, -48, -48, -47, -48, -50, -47, -47, -50, -49, -50, -49, -48, -49, -49, -48, -49, -49, -47, -50, -49, -48, -49, -47, -50, -48, -50, -49, -48, -50, -49, -48, -49, -48, -49, -50, -49, -49, -47, -49, -46, -49, -50, -47, -47, -47, -47, -49, -47, -49, -48, -47, -47, -46, -50, -49, -49, 
64:66:b3:23:dc:49, 1, 55xx, -75, -73, -73, -73, -73, -78, -75, -77, -77, -77, -75, -79, -73, -78, -77, -76, -76, -78, -79, -79, -77, -75, -75, -76, -76, -78, -77, -78, -78, -78, -78, -78, -78, -79, -79, -78, -78, -78, -79, -76, -76, -81, -75, -74, -74, -74, -74, -80, -80, -75, -75, -77, -76, -77, -77, -76, -76, -76, -76, -76, -76, -75, -78, -76, -78, -78, -78, -80, -80, -78, -78, -77, -77, -73, -76, -79, -79, -77, -77, -81, -81, -75, -75, -74, -77, -76, -76, -79, -77, -78, -78, -79, -79, -76, -76, -78, -79, -77, -77, -77, 
ec:55:f9:c7:54:04, 1, Connectify-929, -70, -75, -75, -75, -75, -72, -71, -71, -73, -73, -74, -70, -71, -68, -70, -68, -67, -67, -67, -67, -67, -67, -67, -67, -67, 0, 0, 0, -76, -76, -76, -76, -69, -67, -65, -66, -66, -66, -82, -82, -82, -82, -72, -72, -67, -67, -67, -72, -67, -67, -67, -67, -67, -67, -67, -67, -67, -67, 0, -70, -71, -67, -67, -66, -66, -66, -66, -66, -66, -73, -73, -66, -66, -66, -68, -66, -67, -66, -66, -66, -66, -66, -66, -66, -66, -66, 0, 0, -71, -67, -67, -67, -67, -67, -67, -67, -67, -67, -73, -73, 
00:25:84:23:1a:10, 6, sMobileNet, -76, -76, -76, -76, -76, 0, 0, -75, -75, -75, -75, -75, -78, -78, -76, -76, -77, -77, -77, -77, -80, -80, -80, -80, -80, -73, -73, -73, -73, -73, -73, -73, -73, -73, 0, 0, -76, 0, -76, -76, -76, -74, -74, -74, -74, -76, -76, -76, -80, -80, -80, -80, -80, -80, -80, -80, -80, 0, 0, 0, 0, 0, -74, -74, -74, -74, -74, -74, -74, -72, -72, -75, -75, -75, -75, -75, -75, -75, -77, -77, -77, -77, -77, -77, -77, -77, -77, -77, -77, -77, -77, 0, 0, 0, 0, 0, -74, -74, -74, -74, 
00:25:84:22:fb:40, 6, sMobileNet, -79, -79, -79, -80, -80, -80, -80, -80, -76, -76, -76, -76, -76, -76, -76, -76, -76, 0, 0, 0, 0, 0, 0, 0, 0, 0, -77, -77, -80, -80, -80, -80, -80, -80, -80, -80, -80, -82, -82, -82, -82, -82, -82, -77, -77, -77, -77, -77, -77, -79, -75, -79, -79, -79, -79, -79, -79, -79, -79, -79, -79, -79, -79, -79, -79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -80, -80, -80, -80, -77, -77, -77, -77, -82, -82, -82, -82, -77, -77, -77, 
00:25:84:23:1a:11, 6, Universitie, -76, -76, -76, -76, -76, -76, -76, -76, -74, -74, -74, -74, -74, -74, -74, -74, -74, 0, 0, 0, 0, -80, -80, -80, -78, -78, -78, -78, -76, -76, -76, -76, -76, -76, -76, -78, -78, -79, -79, -76, -76, -76, -76, -76, -76, -76, -76, -76, 0, -78, -76, -76, -77, -77, -73, -73, -73, -73, -73, -73, -73, -73, -73, -73, -73, 0, 0, 0, 0, 0, 0, 0, -73, -73, -73, -73, -73, -73, -73, -73, -76, -76, -76, -76, -76, -78, -78, -78, -78, -78, -78, -78, -78, -78, 0, -74, -74, -74, -74, -74, 
00:25:84:23:19:a1, 11, Universitie, -76, -76, -76, -76, -76, -81, -81, -81, -81, -81, -81, -81, -81, -81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -80, -80, -78, -78, -78, -81, -81, -81, -81, -81, -81, -81, -81, -81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -79, -79, -79, -79, -79, -79, -78, -78, -78, -78, -78, -78, -78, -78, -78, -78, -79, -79, -80, -80, -80, -80, -80, -80, -80, -80, -80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -79, -79, -79, -79, 
00:25:84:23:1e:00, 11, sMobileNet, -73, -74, -74, -74, -75, -75, -75, -76, -76, -77, -77, -77, -77, -78, -78, -77, -75, -75, -75, -75, -75, -75, -75, -75, -75, 0, 0, 0, -78, -78, -78, -78, -78, -77, -77, -77, -77, -77, -77, -77, -77, -77, -77, -77, -77, -77, -68, -68, -68, -68, -68, -68, -77, -77, -77, -77, -77, -76, -76, -76, -76, -76, -76, -76, -74, -74, -74, -74, -74, -74, -74, -74, -76, -78, -80, -80, -80, -78, -77, -77, -78, -78, -78, -78, -74, -74, -74, -74, -74, -74, -74, -77, -77, -77, -77, -77, -77, -72, -80, -80, 
00:25:84:23:17:a1, 11, Universitie, -67, -66, -78, -72, -68, -68, -69, -66, -66, -73, -73, -73, -72, -68, -68, -68, -68, -68, -70, -70, -70, -70, -70, -70, -70, -70, -70, -69, -69, -70, -67, -67, -67, -67, -67, -67, -67, -67, -67, 0, 0, 0, 0, 0, 0, -71, -73, -73, -73, -73, -73, -73, -73, -66, -66, -66, -66, -66, -66, -66, -66, -66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -67, -67, -67, -67, -67, -68, -67, -67, -67, -67, -67, -67, -72, -72, -72, -72, -72, -72, -74, -74, -74, -74, -68, -68, -68, -68, -68, -68, 
00:25:84:23:19:e0, 1, sMobileNet, 0, -72, -72, -72, -72, -73, -71, -71, -71, -71, -71, -71, -71, -71, -70, -70, -70, -70, -70, -71, -71, -71, -71, -71, -71, -71, -71, -71, -74, -74, -74, -71, -74, -74, -70, -70, -70, -70, -70, -70, -70, -70, -70, -70, -70, 0, 0, 0, 0, -74, -74, -74, -74, -74, -74, -75, -75, -75, -75, -75, -75, -75, -75, -75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -68, -68, -68, -68, -68, -68, -69, -69, -69, -69, -69, -69, -69, -69, -69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -68, 
00:23:eb:0b:4f:f0, 11, sMobileNet, 0, -74, -74, -74, -74, -74, -74, -74, -74, -74, -74, 0, 0, 0, -72, -74, -74, -74, -74, -74, -71, -74, -74, -74, -74, -74, -74, -74, -71, -75, -75, -75, -75, -74, -74, -74, -73, -73, -73, -73, -73, -73, -73, -73, -73, -73, -73, -73, -73, -73, -73, -75, -73, -73, -74, -74, -73, -73, -74, -74, -74, -74, -74, -74, -74, -74, -74, -74, -74, -74, -74, -74, -74, -74, 0, 0, 0, 0, 0, -75, -75, -75, -75, -73, -73, -73, -73, -73, -73, -73, -73, -73, -73, 0, 0, 0, 0, 0, 0, -74, 
00:25:84:23:1a:d0, 11, sMobileNet, 0, -71, -71, -71, -71, -71, -71, -71, -71, -71, -71, 0, 0, 0, 0, -79, -79, -79, -79, -79, -79, -79, -79, -79, 0, 0, 0, 0, -78, -78, -78, -78, -78, -79, -79, -75, -75, -79, -79, -79, -79, -79, -79, -79, -79, -79, 0, 0, 0, 0, 0, -79, -79, -76, -76, -76, -76, -76, -74, -75, -75, -75, -75, -75, -82, -82, -82, -82, -82, -77, -77, -77, -79, -79, -79, -78, -78, -76, -76, -79, -80, -80, -80, -80, -80, -80, -80, -80, -80, 0, 0, 0, 0, 0, 0, 0, 0, -77, -79, -80, 
00:25:84:23:1a:d1, 11, Universitie, 0, -71, -71, -71, -71, -71, -83, -83, -83, -83, -83, -78, -78, -74, -74, -74, -74, -74, -74, -74, -74, -74, -74, 0, 0, -76, -76, -75, -75, -75, -75, -75, -75, -75, -75, -75, -75, -75, -75, 0, 0, -76, -76, -76, -76, -75, -75, -79, -78, -78, -78, -78, -78, -76, -76, -75, -76, -76, -76, -75, -76, -76, -76, -76, -76, -76, -76, -76, -76, -78, -78, -76, -76, -76, -76, -78, -78, -75, -75, -79, -79, -79, -76, -79, -79, -77, -76, -76, -76, -76, -76, -76, -76, -77, -77, -77, -78, -78, -78, -78, 
00:25:45:a4:e0:10, 11, sMobileNet, 0, -76, -75, -78, -78, -78, -78, -78, -78, -78, -78, -78, -78, -78, -78, -77, -77, -77, -77, -77, -77, -77, -77, -77, 0, 0, 0, 0, -77, -77, -77, -77, -77, -75, -75, -76, -75, -75, -75, -75, -75, -75, -75, -75, -75, 0, 0, 0, 0, 0, 0, -75, -75, -75, -75, -75, -75, -78, -77, -77, -77, -77, -74, -74, -74, -74, -74, -74, -74, -74, -74, -74, -74, 0, 0, 0, 0, 0, 0, -75, -75, -75, -75, -75, -75, -75, -75, -75, -75, 0, 0, 0, 0, 0, 0, 0, 0, 0, -76, -78, 
00:25:84:23:19:a0, 11, sMobileNet, 0, -76, -76, -76, -76, -76, -76, -76, -76, -76, 0, 0, 0, 0, 0, -78, -78, -78, -78, -78, -78, -78, -78, -78, 0, 0, 0, 0, -81, -81, -81, -81, -81, -79, -79, -77, -79, -79, -79, -79, -79, -79, -79, -79, -79, 0, 0, 0, 0, 0, 0, 0, -80, -80, -78, -78, -78, -76, -78, -78, -78, -78, -78, -78, -79, -79, -79, -79, -79, -79, -79, -79, -79, -79, -79, -79, -79, -80, -80, -80, -80, -80, -80, -80, -80, -80, -80, -80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -81, -81, 
00:25:84:23:1e:0f, 36, sMobileNet, 0, -77, -77, -77, -77, -77, -77, -77, -77, -77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -81, -81, -81, -81, -81, -81, -81, -81, -81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -79, -79, -79, -79, -79, -79, -79, -79, -79, -79, -79, -79, -79, -79, -79, 0, 0, 0, 0, 0, 0, 0, 0, 0, -80, -82, -82, -80, -80, -80, -80, -80, -80, -80, -80, -80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -83, -83, -79, -79, -83, -83, -83, -81, -81, -81, -82, -80, -82, -82, 
88:1f:a1:3a:a0:f4, 11, Airpor, 0, 0, -86, -86, -86, -86, -86, -86, -86, -86, -84, -85, -85, -85, -85, -85, -85, -85, -85, -85, -85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -86, -86, -86, -86, -86, -86, -86, -86, -86, -86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
00:25:45:a4:87:60, 1, sMobileNet, 0, 0, 0, -67, -67, -67, -67, -67, -68, -68, -68, -68, -68, -68, -68, -68, -68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -67, -67, -67, -67, -67, -67, -67, -67, -67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -68, -68, -68, -68, -65, -65, -65, -65, -65, -65, -65, -65, -65, 0, 0, 0, 0, 0, 0, -64, -64, -64, -64, -64, -64, -64, -64, -64, -64, -64, -64, -64, 
00:25:84:23:1c:10, 6, sMobileNet, 0, 0, 0, -38, -38, -38, -38, -38, -38, -38, -38, -31, -31, -31, -31, -35, -35, -35, -35, -35, -35, -35, -35, -35, -35, -35, -35, -35, -39, -39, -39, -35, -35, -35, -35, -35, -35, -35, -35, -35, -35, -35, -35, -35, -35, -35, -34, -34, -34, -34, -34, -34, -35, -35, -35, -35, -35, -35, -36, -36, -36, -36, -36, -36, -35, -35, -31, -31, -31, -31, -31, -31, -35, -35, -35, -35, -35, -35, -35, -35, -35, -35, -35, -35, -35, -31, -31, -35, -35, -35, -36, -35, -35, -35, -35, -35, -35, -35, -35, -35, 
00:25:45:a4:e0:1f, 64, sMobileNet, 0, 0, 0, -81, -81, -79, -81, -81, -81, -81, -78, -78, -78, -78, -78, -78, -78, -78, -78, 0, 0, 0, 0, 0, -81, -81, -81, -81, -83, -80, -82, -82, -82, -82, -82, -82, -80, -80, -80, -80, -80, -83, -83, -83, -83, -83, -83, -83, -83, -83, -83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -79, -80, -80, -80, -80, -81, -81, -81, -81, -81, -81, -81, -81, -81, -81, -81, -81, 0, 0, -82, -82, -82, -82, -82, -82, -82, -82, -82, -82, 0, 0, 0, 0, 0, 0, 
00:25:84:23:19:e1, 1, Universitie, 0, 0, 0, 0, -71, -72, -71, -71, -71, -71, -71, -79, -79, -79, -79, -73, -73, -73, -73, -73, -73, -73, -73, -73, -73, -73, -73, -73, -73, -77, -77, -71, -71, -71, -71, -70, -70, -70, -70, -70, -70, -70, -70, -70, -74, -74, -70, -70, -70, -70, -70, -70, -74, -74, -74, -74, -74, -74, -73, -73, -73, -73, -73, -73, -73, -73, -71, -71, -71, -71, -71, -71, -71, -70, -70, -76, -76, -73, -73, -69, -69, -70, -70, -70, -70, -70, -70, -70, -70, -70, 0, -68, -68, -68, -68, -68, -68, -68, -70, -70, 
